species,Experiment ID,Experiment name,Library count,Condition count,Organ-stage count,Organ count,Stage count,Sex count,Strain count,Data source,Data source URL,Bgee normalized data URL,Experiment description
Anolis_carolinensis,GSE41338,The evolutionary landscape of alternative splicing in vertebrate species,4,4,4,4,1,1,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41338,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Anolis_carolinensis/Anolis_carolinensis_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,"How species with similar repertoires of protein coding genes differ so dramatically at the phenotypic level is poorly understood. From comparing the transcriptomes of multiple organs from vertebrate species spanning ~350 million years of evolution, we observe significant differences in alternative splicing complexity between the main vertebrate lineages, with the highest complexity in the primate lineage. Moreover, within as little as six million years, the splicing profiles of physiologically-equivalent organs have diverged to the extent that they are more strongly related to the identity of a species than they are to organ type. Most vertebrate species-specific splicing patterns are governed by the highly variable use of a largely conserved cis-regulatory code. However, a smaller number of pronounced species-dependent splicing changes are predicted to remodel interactions involving factors acting at multiple steps in gene regulation. These events are expected to further contribute to the dramatic diversification of alternative splicing as well as to other gene regulatory changes that contribute to phenotypic differences among vertebrate species."
Bos_taurus,GSE41637,Evolutionary dynamics of gene and isoform regulation in mammalian tissues,27,9,9,9,1,1,6,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41637,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,"Most mammalian genes produce multiple distinct mRNAs through alternative splicing, but the extent of splicing conservation is not clear. To assess tissue-specific transcriptome variation across mammals, we sequenced cDNA from 9 tissues from 4 mammals and one bird in biological triplicate, at unprecedented depth. We find that while tissue-specific gene expression programs are largely conserved, alternative splicing is well conserved in only a subset of tissues and is frequently lineage-specific. Thousands of novel, lineage-specific and conserved alternative exons were identified; widely conserved alternative exons had signatures of binding by MBNL, PTB, RBFOX, STAR and TIA family splicing factors, implicating them as ancestral mammalian splicing regulators. Our data also indicates that alternative splicing is often used to alter protein phosphorylatability, delimiting the scope of kinase signaling."
Bos_taurus,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,6,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Caenorhabditis_elegans,SRP000401,Deep sequencing of the Caenorhabditis elegans transcriptome using RNA isolated from various developmental stages under various experimental conditions RW0001,21,14,13,3,12,0,1,SRA,http://www.ncbi.nlm.nih.gov/sra/SRP000401,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,"The goal of this study, started as a part of the modENCODE project, is to detect and characterize previously unannotated transcripts of the C. elegans genome."
Caenorhabditis_elegans,SRP021083,Deep sequencing of endogenous mRNA from Caenorhabditis elegans in the presence and absence of rotenone at 4 different time points,11,4,4,1,4,0,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP021083,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP021083.tsv.zip,"We here show that inhibitors of mitochondrial complex I promote physical activity, stress resistance as well as lifespan of Caenorhabditis elegans despite normal food uptake, i.e. in the absence of DR. Dietary restriction (DR) extends lifespan and promotes metabolic health in evolutionary distinct species. The RNA-seq data comprises 4 age groups (1, 5, 10 and 20 days after L4) and 2 different conditions (rotenone and normal feeding (DMSO)) Overall design: 22 samples: mRNA profiles of 1-day, 5-day and 10-day old worms as triplicates for each, rotenone and solvent control treatment; mRNA profiles of 20-day old worms as duplicates for each, rotenone and solvent control treatment"
Caenorhabditis_elegans,GSE16552,Transcriptome of wild type N2 worms at embronic stage and starved L1 stage,6,2,2,1,2,0,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16552,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE16552.tsv.zip,Non-coding RNA profiling by high throughput sequencing
Caenorhabditis_elegans,GSE41367,Caenorhabditis sex-specific RNAseq,6,1,1,1,1,0,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41367,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE41367.tsv.zip,Expression profiling by high throughput sequencing
Caenorhabditis_elegans,SRP001010,A high resolution transcriptome map for both wild-type and NMD defective C. elegans,3,3,3,2,3,0,1,SRA,http://www.ncbi.nlm.nih.gov/sra/SRP001010,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP001010.tsv.zip,Both genome-scale tiling arrays and massively parallel sequencing now allow transcriptomes to be mapped at unprecedented depth. We used both technologies to map the C. elegans transcriptome across development.
Caenorhabditis_elegans,SRP003492,Caenorhabditis angaria genome sequencing project,2,2,2,1,2,0,1,SRA,http://www.ncbi.nlm.nih.gov/sra/SRP003492,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP003492.tsv.zip,Whole Genome Sequencing
Caenorhabditis_elegans,GSE22410,"Multimodal RNA-seq using single-strand, double-strand, and circligase-based capture yields a refined and extended description of the C. elegans transcriptome",1,1,1,1,1,1,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22410,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE22410.tsv.zip,Expression profiling by high throughput sequencing
