species,Experiment ID,Library ID,Anatomical entity ID,Anatomical entity name,Stage ID,Stage name,Sex,Strain,Platform ID,Library type,Library orientation,TPM expression threshold,FPKM expression threshold,Read count,Mapped read count,Min. read length,Max. read length,All genes percent present,Protein coding genes percent present,Intergenic regions percent present,Run IDs,Data source,Data source URL,Bgee normalized data URL,Raw file URL
Anolis_carolinensis,GSE41338,SRX191162,UBERON:0000948,heart,UBERON:0000113,post-juvenile adult stage,mixed,NA,Illumina HiSeq 2000,paired,NA,0.111607,0.20551,86529136,34186548,0,0,66.83,75.31,31.47,SRR579558,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX191162,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Anolis_carolinensis/Anolis_carolinensis_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX191162
Anolis_carolinensis,GSE41338,SRX191160,UBERON:0000955,brain,UBERON:0000113,post-juvenile adult stage,mixed,NA,Illumina HiSeq 2000,paired,NA,0.189816,0.361981,91641467,45899619,0,0,73.1,81.49,33.51,SRR579556,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX191160,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Anolis_carolinensis/Anolis_carolinensis_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX191160
Anolis_carolinensis,GSE41338,SRX191163,UBERON:0001134,skeletal muscle tissue,UBERON:0000113,post-juvenile adult stage,mixed,NA,Illumina HiSeq 2000,paired,NA,0.073975,0.082731,81401754,38139984,0,0,65.57,74.65,29.74,SRR579559,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX191163,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Anolis_carolinensis/Anolis_carolinensis_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX191163
Anolis_carolinensis,GSE41338,SRX191161,UBERON:0002113,kidney,UBERON:0000113,post-juvenile adult stage,mixed,NA,Illumina HiSeq 2000,paired,NA,0.080306,0.293846,43858614,14611731,0,0,67.64,77.11,29.36,SRR579557,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX191161,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Anolis_carolinensis/Anolis_carolinensis_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX191161
Bos_taurus,GSE41637,SRX196347,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.200595,0.238477,115720336,86123556,0,0,67.75,75.14,25.28,SRR594476,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196347,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196347
Bos_taurus,GSE41637,SRX196356,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.448338,0.286856,27567792,16346508,0,0,59.47,71.75,25.92,SRR594485,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196356,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196356
Bos_taurus,GSE41637,SRX196365,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.471635,0.304318,22535945,13786531,0,0,56.82,68.74,24.44,SRR594494,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196365,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196365
Bos_taurus,GSE41637,SRX196352,UBERON:0000473,testis,UBERON:0018241,prime adult stage,male,NA,Illumina HiSeq 2000,paired,NA,0.760565,0.561316,107483976,81960913,0,0,68.7,76.56,19.95,SRR594481,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196352,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196352
Bos_taurus,GSE41637,SRX196361,UBERON:0000473,testis,UBERON:0018241,prime adult stage,male,NA,Illumina HiSeq 2000,paired,NA,1.071755,0.601282,38368885,19055320,0,0,58.77,71.31,18.69,SRR594490,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196361,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196361
Bos_taurus,GSE41637,SRX196370,UBERON:0000473,testis,UBERON:0018241,prime adult stage,male,NA,Illumina HiSeq 2000,paired,NA,1.156411,0.648211,25780071,11945540,0,0,58.32,70.75,19.3,SRR594499,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196370,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196370
