TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						macaca_mulatta	1	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	24	GSE41637						2.6185554927160428e-08						9.902722422825788e-07																	1.1945929140929412e-08						7.562036737142217e-08	1.4508394303046842e-08																	9.425355408197175e-08				5.2714628764145724e-08				
						macaca_mulatta	24	GSE30352												3.2674025591207756e-07		7.951392179141743e-07															6.803881451074683e-08						9.71711297771453e-08														2.2678757055670574e-06												
						macaca_mulatta	24	GSE43520												1.262248926697115e-06																																																	
						macaca_mulatta	24	GSE53690		2.8413570889728354e-07																																											1.3509808006804172e-07																
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	3	GSE30352												9.736631896505055e-08		6.594938234163834e-07																																															
						macaca_mulatta	3	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	3	GSE41637																																			1.2517253782613954e-08																										
						macaca_mulatta	3	GSE30352												0.0		0.0																																															
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	1	GSE41637												2.936300700094835e-08																																																	
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	1	GSE30352														9.421340334519763e-08																																															
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	1	GSE30352														9.421340334519763e-08																																															
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	2	GSE41637												0.0																																																	
						macaca_mulatta	2	GSE43520												0.0																																																	
						macaca_mulatta	5	GSE41637												0.0																																																	
						macaca_mulatta	5	GSE30352														0.0																					0.0																										
						macaca_mulatta	5	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	2	GSE41637												0.0																																																	
						macaca_mulatta	2	GSE43520												0.0																																																	
						macaca_mulatta	4	GSE41637												0.0																																																	
						macaca_mulatta	4	GSE30352														0.0																					0.0																										
						macaca_mulatta	4	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE43520												0.0																																																	
						macaca_mulatta	4	GSE41637												7.340751750237087e-08																																																	
						macaca_mulatta	4	GSE30352														0.0																					0.0																										
						macaca_mulatta	4	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	1	GSE43520												0.0																																																	
						macaca_mulatta	2	GSE41637												0.0																																																	
						macaca_mulatta	2	GSE30352														0.0																																															
						macaca_mulatta	1	GSE41637												1.4681503500474176e-08																																																	
						macaca_mulatta	1	GSE30352																																																									8.750828812873939e-08				
						macaca_mulatta	1	GSE43520																																																									2.3810556734151657e-08				
						macaca_mulatta	3	GSE53690		4.612729488370243e-07																																											4.6879452815526026e-08																
						macaca_mulatta	1	GSE41637																																																									1.3178657191036431e-08				
						macaca_mulatta	1	GSE53690																																													8.975130720535162e-08																
						macaca_mulatta	32	GSE41637												2.3827259716896182e-07				1.4352154509554588e-08																			1.2517253782613954e-08																		5.006209905462264e-08				3.953597157310929e-08				
						macaca_mulatta	32	GSE30352						1.1119517466315646e-07								9.421340334519763e-08															6.803881451074683e-08																				6.872350622930477e-08												
						macaca_mulatta	32	GSE43520												5.048995706788461e-08																																													2.3810556734151657e-08				
						macaca_mulatta	32	GSE53690		4.572164951327047e-07																																											2.0568748115619735e-07																
						macaca_mulatta	2	GSE53690		2.355776977651215e-07																																											2.7663605467412853e-08																
						macaca_mulatta	2	GSE41637																																																									5.163107463700185e-08				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	14	GSE30352						1.751320628075712e-07						7.74580213894544e-08																	3.179330384695161e-08																												2.898292973126166e-07				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	14	GSE43520												9.316126881735356e-08										3.514719276396535e-07																										3.2742905153621824e-07									1.2129587270415417e-07				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	3	GSE30352																													3.179330384695161e-08						1.0547332737760611e-07																										
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	3	GSE43520																						4.152006968064174e-08																																							
ENSMODT00000024743	ENSMODE00000202460	1_5	ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	19	GSE30352						3.4943774385327757e-06						1.0888887315698304e-06		1.8209975155962464e-06															1.6726711537975418e-06						6.351612888488796e-07																						6.538338066122839e-07				
ENSMODT00000024743	ENSMODE00000202460	1_5	ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	19	GSE43520												5.170450419363123e-06										9.350795926829924e-06																										6.472488667691566e-06									6.186089507911863e-07				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	16	GSE30352						8.144287454254556e-08						2.0059775351786243e-07		5.623859079454846e-07															3.1713886457495225e-07						1.0547332737760611e-07																						8.76359442573436e-08				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	16	GSE43520												6.055482473127981e-07										1.2398074318360469e-07																										2.429921063669226e-07													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	6	GSE30352												3.426128305421522e-08		8.708555982081276e-08															1.2717321538780645e-07																																
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	6	GSE43520												4.658063440867678e-08										4.152006968064174e-08																										9.413907089632257e-08													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	13	GSE30352						8.144287454254556e-08						1.3207518740943197e-07		8.662678095958798e-08															3.854564618409352e-07						1.0547332737760611e-07																										
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	13	GSE43520												9.316126881735356e-08										6.170063866264208e-08																										2.677437280292809e-07													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	15	GSE30352						8.144287454254556e-08						1.1171930444366962e-07																	1.1407759033702208e-07						9.1301630424591e-08																						5.054833826381825e-08				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	15	GSE43520												1.3974190322603035e-07										2.0673114961572793e-07																										1.239616833049335e-07									9.703669816332334e-08				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	2	GSE43520																						4.123033675148148e-08																																							
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	3	GSE43520																						2.0615168375740738e-07																										4.7069535448161286e-08													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	1	GSE43520																						4.152006968064174e-08																																							
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	14	GSE30352						2.423373755757204e-07						9.458866291656201e-08		8.616800209836318e-08															7.251913757502009e-08																												4.5493504437436425e-07				
