TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						macaca_mulatta	1	GSE43520												0.0																																																	
						macaca_mulatta	24	GSE30352												0.0		0.0															0.0						0.0														0.0												
						macaca_mulatta	24	GSE43520												0.0																																																	
						macaca_mulatta	24	GSE41637						0.0						4.8938345001580585e-09																	0.0						0.0	0.0																	0.0				0.0				
						macaca_mulatta	24	GSE53690		0.0																																											0.0																
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	3	GSE30352												0.0		0.0																																															
						macaca_mulatta	3	GSE43520												0.0																																																	
						macaca_mulatta	1	GSE30352														3.6928733268744977e-07																																															
						macaca_mulatta	3	GSE30352												9.736631896505055e-08		3.6928733268744977e-07																																															
						macaca_mulatta	3	GSE41637																																			0.0																										
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE41637												0.0																																																	
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	2	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	2	GSE41637												1.4681503500474176e-08																																																	
						macaca_mulatta	5	GSE30352														9.326761825853004e-08																					4.858556488857265e-08																										
						macaca_mulatta	5	GSE43520												1.5146987120365383e-07																																																	
						macaca_mulatta	5	GSE41637												1.6149653850521592e-07																																																	
						macaca_mulatta	1	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	1	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	2	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	2	GSE41637												1.4681503500474176e-08																																																	
						macaca_mulatta	4	GSE30352														9.421340334519763e-08																					4.858556488857265e-08																										
						macaca_mulatta	4	GSE43520												1.5146987120365383e-07																																																	
						macaca_mulatta	4	GSE41637												2.349040560075868e-07																																																	
						macaca_mulatta	1	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	4	GSE30352														9.421340334519763e-08																					4.858556488857265e-08																										
						macaca_mulatta	4	GSE43520												1.5146987120365383e-07																																																	
						macaca_mulatta	4	GSE41637												2.349040560075868e-07																																																	
						macaca_mulatta	1	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	1	GSE30352														0.0																																															
						macaca_mulatta	1	GSE43520												5.048995706788461e-08																																																	
						macaca_mulatta	2	GSE30352														9.232183317186244e-08																																															
						macaca_mulatta	2	GSE41637												1.4681503500474176e-08																																																	
						macaca_mulatta	1	GSE41637												0.0																																																	
						macaca_mulatta	1	GSE30352																																																									0.0				
						macaca_mulatta	1	GSE43520																																																									0.0				
						macaca_mulatta	3	GSE53690		0.0																																											0.0																
						macaca_mulatta	1	GSE41637																																																									0.0				
						macaca_mulatta	1	GSE53690																																													0.0																
						macaca_mulatta	32	GSE30352						0.0								0.0															0.0																				0.0												
						macaca_mulatta	32	GSE43520												0.0																																													0.0				
						macaca_mulatta	32	GSE41637												0.0				0.0																			0.0																		0.0				0.0				
						macaca_mulatta	32	GSE53690		0.0																																											0.0																
						macaca_mulatta	2	GSE53690		0.0																																											0.0																
						macaca_mulatta	2	GSE41637																																																									0.0				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	14	GSE30352						0.0						0.0																	0.0																												0.0				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	14	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	3	GSE30352																													0.0						0.0																										
ENSMODT00000024743	ENSMODE00000202460	1_5				monodelphis_domestica	3	GSE43520																						0.0																																							
ENSMODT00000024743	ENSMODE00000202460	1_5	ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	19	GSE30352						0.0						0.0		4.354277991040638e-08															1.5896651923475806e-08						0.0																						0.0				
ENSMODT00000024743	ENSMODE00000202460	1_5	ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	19	GSE43520												0.0										2.076003484032087e-08																										1.5689845149387095e-08									0.0				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	16	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	16	GSE43520												0.0										0.0																										0.0													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	6	GSE30352												0.0		0.0															0.0																																
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	6	GSE43520												0.0										0.0																										0.0													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	13	GSE30352						0.0						0.0		0.0															0.0						0.0																										
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	13	GSE43520												0.0										0.0																										0.0													
			ENSMODT00000024743	ENSMODE00000238812	2_0	monodelphis_domestica	15	GSE30352						0.0						0.0																	0.0						0.0																						0.0				
