Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	14_0,5_2,9_0	0.00010415619588661666					3.963931131123885e-05	1.1740618739096177e-06	5.484692054693497e-06	5.195017092786334e-08											7.4919599069975e-08	1.0457364441524608e-08							7.027417774131386e-08						3.658076515328017e-08		1.1050002427030219e-07
xenopus_tropicalis	14_0,5_2,9_0						7.196748154402681e-06				4.538670990754814e-07					8.625533434261041e-07							3.4022953879132625e-08										2.2142277270298737e-07				
bos_taurus	14_0,5_2,9_0					4.716925300011515e-08	5.1203518318386195e-05			1.0320033409388158e-07												2.6425654829047956e-08					2.450130121543339e-05						1.579978345544834e-07				
gorilla_gorilla	14_0,5_2,9_0							1.85443617826827e-07							1.5707288139464085e-05												2.6775342493046538e-05										
sus_scrofa	14_0,5_2,9_0																1.8416096738032e-05					1.003386764793433e-06					5.935271738381664e-05										
ornithorhynchus_anatinus	14_0,5_2,9_0						1.2423702654382012e-05	4.369352312583324e-06					1.191106599845972e-07																				9.881356393507001e-07				
homo_sapiens	14_0,5_2,9_0				6.54959814715106e-08		1.3340737269977041e-05	3.8362199105659833e-07		5.0575762779570213e-08					1.34259718186476e-05				6.881449886500268e-08			1.6447640466721082e-07		4.835899012949894e-07	9.280253151564116e-08		1.8208041953438342e-05				1.3078897787027248e-07	1.5195615326905444e-05					
rattus_norvegicus	14_0,5_2,9_0					4.800382201044791e-08	6.985062044714286e-05			3.364292089328894e-07							1.8385129312786325e-07												7.580256468174832e-07	1.7739977876998495e-07			5.417173614802162e-08				
homo_sapiens	14_0,9_0						8.06213389849967e-08								4.9328491248632365e-08												5.962962068141035e-08										
bos_taurus	14_0,9_0						1.1095682611637576e-07																														
rattus_norvegicus	6_1,4_1,4_2,12_0						8.456952818829899e-05			8.913896533692797e-08							9.505546108974636e-07				5.3959934089996874e-08	3.7271176360987267e-07							8.430512942360201e-06	9.85599058362512e-08							
mus_musculus	6_1,4_1,4_2,12_0	0.00014683506537916042				5.4481313452888605e-08	6.543885604185992e-05	2.468531924120485e-06	1.6697676214961897e-05	3.281509787487171e-08			6.422129242095689e-08				1.3820163955901085e-06				7.663686589318379e-08	1.78377234365499e-07				5.1621827189540535e-08			1.4144755112919445e-05	9.656416237902028e-08					4.603928139917317e-07		1.4915311950975138e-06
ornithorhynchus_anatinus	6_1,4_1,4_2,12_0						9.601553554786868e-06	3.6338626350612046e-06									3.2003859950659897e-07																8.981026250560977e-07				
rattus_norvegicus	6_1,12_0						2.4437943490297695e-08			1.2301853431683207e-08												1.1451829848616088e-07								2.3438613059449078e-08							
homo_sapiens	6_1,12_0						1.1271475401188442e-07								8.950381664276018e-08					4.4631567747193945e-08				2.2103493237935798e-08	5.1749862735908735e-08		5.962962068141035e-08				6.419322880835477e-08						
mus_musculus	6_1,12_0	3.5045051640460624e-08																												3.7962015828394756e-08					1.4209423034481305e-07		
rattus_norvegicus	6_1,4_1,4_2,12_0,1_1						8.59289681052132e-05			1.8546629003108862e-07							1.3280967749745207e-06				4.892817610536055e-08	6.151708501577527e-07							1.1285047374653674e-05	1.266628014457248e-07							
mus_musculus	6_1,4_1,4_2,12_0,1_1	0.00013709134756457363				5.574920437891271e-08	5.992203118997909e-05	2.152630026581957e-06	1.415833023001632e-05	3.6024546929315787e-08			5.6556682924195603e-08				1.3387693914517136e-06				6.934831819864721e-08	1.7149692054254423e-07				5.131479491708122e-08			1.4212299135613568e-05	1.0021042482562371e-07					5.176909095701331e-07		1.346656094602374e-06
ornithorhynchus_anatinus	6_1,4_1,4_2,12_0,1_1						1.0183857018667673e-05	3.6974457096665633e-06									3.041642273093673e-07																8.229218802674528e-07				
gorilla_gorilla	6_1,1_1														3.5735298766102365e-07												1.0147018900892977e-06						1.7495291186115485e-08				
ornithorhynchus_anatinus	6_1,1_1						6.592484812964625e-08	2.196313714833347e-07									9.741394233153063e-08																				
gorilla_gorilla	6_1,4_2,12_0,1_1							1.5416783689690367e-07							1.8723130777754847e-05		1.884335027424546e-07										3.7957758012817997e-05						3.499058237223097e-08				
bos_taurus	6_1,4_2,12_0,1_1					4.1623126957507254e-08	0.0001588723969473233			8.490837960036866e-08							8.181041080240812e-07					3.18205777826579e-08					2.9357437702583624e-05		8.704062568776581e-06	9.349277499221783e-08			9.631593287751477e-08				
gorilla_gorilla	6_1,1_1														3.5735298766102365e-07												1.0147018900892977e-06						1.7495291186115485e-08				
