,path,brain,embryo,gastrula,mesonephros,testis,Species,adult mammalian kidney,colon,heart,skeletal muscle tissue,spleen,lung,prefrontal cortex,cerebellum,female gonad,frontal cortex,Ammon's horn,cerebral cortex,liver,thymus,zone of skin,adrenal tissue,intestine,multi-cellular organism,muscle of leg,stomach,temporal lobe,placenta,kidney,adipose tissue,heart left ventricle,prostate gland,thoracic mammary gland,thyroid gland,fibroblast,adrenal gland
0,"14_0,9_0",0.0021622909676834684,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"14_0,5_2,9_0",0.9978377090323165,,,,1.0,bos_taurus,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,"14_0,5_2,9_0",,,,,,gorilla_gorilla,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
3,"14_0,9_0",0.006006943211483988,,,,,homo_sapiens,,,,,,,0.0032642157178854178,,,0.0036606598824670067,,,,,,,,,,,,,,,,,,,,
4,"14_0,5_2,9_0",0.9939930567885159,,,,,homo_sapiens,,1.0,,,,1.0,0.9967357842821145,1.0,,0.996339340117533,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
5,"14_0,5_2,9_0",1.0,,,,,mus_musculus,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
6,"14_0,5_2,9_0",1.0,,,,1.0,ornithorhynchus_anatinus,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,"14_0,5_2,9_0",1.0,,,,1.0,rattus_norvegicus,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,"14_0,5_2,9_0",,,,,,sus_scrofa,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,"14_0,5_2,9_0",1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6_1,4_2,1_1",0.3000399580710732,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"6_1,4_2,12_0,1_1",0.6999600419289268,,,,1.0,bos_taurus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,"6_1,1_1",,,,,0.33333333333333337,gorilla_gorilla,,,,,,,0.01768408102154539,,,0.01327166700180977,,,,,,,,,,,,,,,,,,,,
13,"6_1,4_2,1_1",,,,,,gorilla_gorilla,,,,,,,0.3207934810574857,,,0.2913734164488237,,,,,,,,,,,,,,,,,,,,
14,"6_1,4_2,12_0,1_1",,,,,0.6666666666666667,gorilla_gorilla,,,1.0,,,,0.661522437920969,1.0,,0.6953549165493665,,,,,,,,,,,,,,,,,,,,
15,"6_1,12_0",0.0059530703430903656,,,,,homo_sapiens,,,,,,,0.0023546116214473523,,,0.0023659656712938988,,,,,,,,0.005613836875635389,0.011844554159324864,0.2834641129599906,,,0.3082337923101465,,,,,,,
16,"6_1,4_2,12_0",0.9940469296569096,,,,1.0,homo_sapiens,1.0,1.0,1.0,1.0,,1.0,0.9976453883785527,1.0,1.0,0.997634034328706,,,,,,1.0,1.0,0.9943861631243646,0.9881554458406752,0.7165358870400095,1.0,1.0,0.6917662076898534,1.0,1.0,1.0,1.0,1.0,,
17,"6_1,12_0,1_1",,,,,,mus_musculus,,,,,0.41267935493385394,,,,,,0.28621712146215295,,,0.41609375520050046,,,,,,,,,,,,,,,,
18,"6_1,4_1,4_2,12_0,1_1",1.0,,,,,mus_musculus,1.0,1.0,1.0,1.0,0.587320645066146,1.0,,1.0,1.0,,0.713782878537847,1.0,1.0,0.5839062447994995,1.0,,,,,,,1.0,,,,,,,,
19,"6_1,1_1",0.006358661799462431,,,,,ornithorhynchus_anatinus,,,0.2641765761522444,,,,,0.037223421915372576,,,,,,,,,,,,,,,,,,,,,,
20,"6_1,4_1,4_2,12_0,1_1",0.9936413382005376,,,,0.56902097181622,ornithorhynchus_anatinus,,,0.7358234238477557,,,,,0.6234983389025976,,,,,,,,,,,,,,,,,,,,,,
21,"6_1,4_1,4_2,1_1",,,,,0.43097902818378,ornithorhynchus_anatinus,,,,,,,,0.3392782391820298,1.0,,,,,,,,,,,,,,,,,,,,,
22,"6_1,12_0,1_1",0.3429024688385042,,,,,rattus_norvegicus,,0.5172465879054498,,,0.44931343673097657,0.4897220285157207,,,,,,,,,,,,,,,,,,,,,,,,
23,"6_1,4_1,4_2,12_0,1_1",0.6570975311614957,,,,,rattus_norvegicus,,0.4827534120945503,1.0,1.0,0.5506865632690234,0.5102779714842793,,,,,,,1.0,,,,,,,,,,,,,,,,,
24,"6_1,4_2,12_0",,,,,,sus_scrofa,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
25,"6_1,4_2,12_0",1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"7_2,6_1",0.9616244710890617,,,,0.10517592432659878,bos_taurus,,0.5454545454545454,0.12341305611902606,0.15108226810321237,,1.0,0.8810142867162414,,,,,,,,,,,,,,,,,,,,,,,
27,"7_2,24_0,6_1",0.03837552891093823,,,,0.8948240756734013,bos_taurus,1.0,0.45454545454545464,0.8765869438809739,0.8489177318967877,,,0.11898571328375873,,,,,,,,,,,,,,,,,,,,,,,
