TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE41637												1.0343958016025956e-08																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE30617	5.027255517148999e-08																																																												
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE41637												1.0343958016025956e-08																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE30617	5.027255517148999e-08																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43721												9.1174091274495e-07																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43013												4.823886924590706e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	SRP022612																																																													7.832170571365527e-08
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30352												1.545449407701551e-05		1.1536597041487943e-06																																															
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30617	6.211172385836556e-05																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41338												3.389186953519168e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41637												6.967211386046188e-05				3.140809942103949e-08																			4.7482675115037465e-08																	1.312726428899905e-07									
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE36026														5.979130819417221e-07	5.684001187232829e-06																																														
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43520												1.7000378065898974e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43721												9.1174091274495e-07																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43013												4.823886924590706e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	SRP022612																																																													7.832170571365527e-08
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30352												1.545449407701551e-05		1.1536597041487943e-06																																															
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30617	6.211172385836556e-05																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41338												3.389186953519168e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41637												6.967211386046188e-05				3.140809942103949e-08																			4.7482675115037465e-08																	1.312726428899905e-07									
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE36026														5.979130819417221e-07	5.684001187232829e-06																																														
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43520												1.7000378065898974e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43721												9.1174091274495e-07																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43013												4.823886924590706e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	SRP022612																																																													7.832170571365527e-08
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30352												1.545449407701551e-05		1.1536597041487943e-06																																															
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30617	6.211172385836556e-05																																																												
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41338												3.389186953519168e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41637												6.967211386046188e-05				3.140809942103949e-08																			4.7482675115037465e-08																	1.312726428899905e-07									
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE36026														5.979130819417221e-07	5.684001187232829e-06																																														
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43520												1.7000378065898974e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43721												9.1174091274495e-07																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43013												4.823886924590706e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	SRP022612																																																													7.832170571365527e-08
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30352												1.545449407701551e-05		1.1536597041487943e-06																																															
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30617	6.211172385836556e-05																																																												
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41338												3.389186953519168e-05																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41637												6.967211386046188e-05				3.140809942103949e-08																			4.7482675115037465e-08																	1.312726428899905e-07									
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE36026														5.979130819417221e-07	5.684001187232829e-06																																														
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000115297	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43520												1.7000378065898974e-05																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	1	GSE30617	5.027255517148999e-08																																																												
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	1	GSE30617	5.027255517148999e-08																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000469335	21_0	mus_musculus	7	GSE41637												3.273779352404401e-08																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000469335	21_0	mus_musculus	7	GSE30617	1.0206295573469532e-07																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000469335	21_0	mus_musculus	7	GSE43013												1.1582129284128279e-07																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000469335	21_0	mus_musculus	7	GSE41637												3.273779352404401e-08																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000469335	21_0	mus_musculus	7	GSE30617	1.0206295573469532e-07																																																												
