TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE41637												0.0																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE30617	0.0																																																												
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE41637												0.0																																																	
ENSMUST00000115297	ENSMUSE00000702374/ENSMUSE00000793151	20_0				mus_musculus	2	GSE30617	0.0																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE41338												7.659215638721294e-09																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE43520												0.0																																																	
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	SRP022612																																																													0.0
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30617	2.9066715743251393e-08																																																												
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE30352												3.7420295084406104e-08		0.0																																															
ENSMUST00000102888	ENSMUSE00000702374/ENSMUSE00000793151	20_0	ENSMUST00000102888	ENSMUSE00000143832	13_0	mus_musculus	42	GSE36026														0.0	1.4763639447357999e-08																																														
