gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
CAMK2B	20_0	I	19_0,20_0,10_1,17_0	19_0,17_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens	[0.0004396285865343303, 2.8220529714953556e-05, 8.014569988030292e-05, 8.142761780860726e-05, 3.801935281557886e-05, 2.9271454824614926e-05, 0.00031408106804819204, 0.00013322580487833797]	[3.1348775487754216e-07, 7.353970320714785e-07]	ENSBTAT00000016813,ENSBTAT00000072316,ENSBTAT00000084257,ENSBTAT00000086175,ENST00000258682,ENST00000346990,ENST00000347193,ENST00000350811/ENST00000440254,ENST00000353625,ENST00000358707,ENST00000395747,ENST00000395749,ENSGGOT00000014885,ENSGGOT00000023636,ENSGGOT00000048031,ENSGGOT00000051999,ENSGGOT00000054779,ENSGGOT00000059295,ENSGGOT00000062572,ENSMMUT00000003462,ENSMMUT00000003466,ENSMMUT00000003468,ENSMMUT00000003470,ENSMMUT00000003472,ENSMMUT00000003473,ENSMMUT00000003474,ENSMMUT00000062760,ENSMMUT00000065866,ENSMODT00000020558,ENSMUST00000090443,ENSMUST00000109812,ENSMUST00000109813,ENSRNOT00000067162,ENSRNOT00000081607,ENSRNOT00000085265,ENSSSCT00000018230,ENSSSCT00000038417,ENSSSCT00000040541/ENSSSCT00000060521,ENSSSCT00000060685,ENSXETT00000014170,ENSXETT00000041159,ENSXETT00000041162	
CAMK2B	10_7	I	8_3,10_7,2_0	8_3,2_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[6.659500434290549e-05, 0.0002703663456843888]	[2.8906469418169434e-07, 7.492020447350156e-07]	ENST00000347193,ENSGGOT00000051999	ENSMMUT00000003473,ENSMMUT00000003474,ENSMMUT00000062760,ENSMMUT00000065866,ENSMMUT00000068730
CAMK2B	13_0	I	18_0,13_0,14_1	18_0,14_1	bos_taurus,sus_scrofa	sus_scrofa,bos_taurus	[8.424616608686055e-05, 4.200652638338073e-05]	[1.692875589701745e-06, 5.749271531611188e-06]	ENSBTAT00000072316,ENST00000258682,ENST00000350811/ENST00000440254,ENST00000395747,ENST00000395749,ENSGGOT00000014885,ENSGGOT00000023636,ENSGGOT00000059295,ENSMMUT00000003468,ENSMMUT00000065866,ENSMODT00000020558,ENSMUST00000109812,ENSMUST00000109813,ENSRNOT00000067162,ENSRNOT00000085265,ENSSSCT00000018230,ENSSSCT00000038417,ENSSSCT00000040541/ENSSSCT00000060521	ENSBTAT00000086175,ENST00000358707,ENSGGOT00000054779,ENSMMUT00000003466,ENSMUST00000090443,ENSRNOT00000081607,ENSSSCT00000060685
CAMK2B	12_0	I	16_1,12_0,7_0	16_1,7_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	xenopus_tropicalis,mus_musculus	[0.0004567343472162129, 2.7130697701573266e-05, 0.00015671580276233076, 0.00011180915239239364, 6.397998409181275e-05, 2.5555886322945442e-05, 0.00043762923794238057, 0.00014580069162284807]	[1.3344057138024875e-07, 1.134418694153261e-06]	ENSBTAT00000016813,ENSBTAT00000072316,ENSBTAT00000084257,ENSBTAT00000086175,ENST00000258682,ENST00000346990,ENST00000347193,ENST00000350811/ENST00000440254,ENST00000353625,ENST00000358707,ENST00000395747,ENST00000395749,ENSGGOT00000014885,ENSGGOT00000023636,ENSGGOT00000048031,ENSGGOT00000051999,ENSGGOT00000054779,ENSGGOT00000059295,ENSGGOT00000062572,ENSGGOT00000065791,ENSMMUT00000003462,ENSMMUT00000003466,ENSMMUT00000003468,ENSMMUT00000003470,ENSMMUT00000003472,ENSMMUT00000003473,ENSMMUT00000003474,ENSMMUT00000062760,ENSMMUT00000065866,ENSMODT00000020558,ENSMUST00000090443,ENSMUST00000109813,ENSRNOT00000067162,ENSRNOT00000081607,ENSRNOT00000085265,ENSSSCT00000018230,ENSSSCT00000038417,ENSSSCT00000040541/ENSSSCT00000060521,ENSSSCT00000060685,ENSXETT00000014170,ENSXETT00000041159,ENSXETT00000041162	
CAMK2B	17_0	I	10_1,17_0,17_1,9_0	10_1,9_0	gorilla_gorilla,sus_scrofa,bos_taurus	homo_sapiens,xenopus_tropicalis,sus_scrofa	[4.029979412663304e-05, 2.5461401657279355e-05, 8.379457888229474e-05]	[2.540627043767421e-07, 3.884752310701776e-06, 1.1507043787950256e-07]	ENSBTAT00000016813,ENSBTAT00000072316,ENSBTAT00000084257,ENSBTAT00000086175,ENST00000258682,ENST00000346990,ENST00000347193,ENST00000350811/ENST00000440254,ENST00000353625,ENST00000358707,ENST00000395747,ENST00000395749,ENSGGOT00000014885,ENSGGOT00000023636,ENSGGOT00000048031,ENSGGOT00000051999,ENSGGOT00000054779,ENSGGOT00000059295,ENSGGOT00000062572,ENSMMUT00000003462,ENSMMUT00000003466,ENSMMUT00000003468,ENSMMUT00000003470,ENSMMUT00000003472,ENSMMUT00000003473,ENSMMUT00000003474,ENSMMUT00000062760,ENSMMUT00000065866,ENSMODT00000020558,ENSMUST00000090443,ENSMUST00000109812,ENSMUST00000109813,ENSRNOT00000067162,ENSRNOT00000081607,ENSRNOT00000085265,ENSSSCT00000018230,ENSSSCT00000038417,ENSSSCT00000040541/ENSSSCT00000060521,ENSSSCT00000060685,ENSXETT00000014170,ENSXETT00000041159,ENSXETT00000041162	
CAMK2B	3_2	I	3_0,3_2,3_3,10_4	3_0,10_4	bos_taurus,sus_scrofa	sus_scrofa,bos_taurus	[8.323236870780317e-05, 2.9417314174183264e-05]	[3.6790388587749873e-06, 1.2372315079197885e-05]	ENSBTAT00000072316,ENSMMUT00000003472,ENSMMUT00000065866,ENSSSCT00000018230,ENSSSCT00000040541/ENSSSCT00000060521,ENSSSCT00000060685	
CAMK2B	3_2	I	3_0,3_2,3_3,10_3	3_0,10_3	bos_taurus,sus_scrofa	sus_scrofa,bos_taurus	[4.7423681106410106e-05, 1.3520783481171478e-05]	[1.5773535760838009e-06, 9.381746075072133e-06]		ENSBTAT00000086175,ENSMMUT00000003473,ENSSSCT00000038417
CAMK2B	3_2	I	3_0,3_2,3_3,10_3,10_4	3_0,10_4	sus_scrofa,bos_taurus	sus_scrofa,bos_taurus	[1.3520783481171478e-05, 4.7423681106410106e-05]	[3.6790388587749873e-06, 1.2372315079197885e-05]		
CAMK2B	3_2	E	3_0,3_2,3_3,10_4	3_0,10_3,10_4	bos_taurus,sus_scrofa	bos_taurus,sus_scrofa	[8.323236870780317e-05, 2.9417314174183264e-05]	[9.381746075072133e-06, 1.5773535760838009e-06]	ENSBTAT00000072316,ENSMMUT00000003472,ENSMMUT00000065866,ENSSSCT00000018230,ENSSSCT00000040541/ENSSSCT00000060521,ENSSSCT00000060685	ENSBTAT00000086175,ENSMMUT00000003473,ENSSSCT00000038417
CAMK2B	10_3	I	3_0,10_3,10_4	3_0,10_4	bos_taurus,sus_scrofa	sus_scrofa,bos_taurus	[9.381746075072133e-06, 1.5773535760838009e-06]	[3.6790388587749873e-06, 1.2372315079197885e-05]	ENSBTAT00000086175,ENSMMUT00000003473,ENSSSCT00000038417	
