,path,brain,embryo,gastrula,Species,colon,heart,lung,skeletal muscle tissue,spleen,testis,cerebellum,prefrontal cortex,adult mammalian kidney,frontal cortex,liver,Ammon's horn,cerebral cortex,female gonad,thymus,zone of skin,temporal lobe,adrenal tissue,heart left ventricle,intestine,kidney,multi-cellular organism,muscle of leg,stomach,thyroid gland,mesonephros,blastula,egg cell,placenta,adrenal gland,lymph node,thoracic mammary gland
0,"19_0,20_0,10_1,17_0",1.0,,,bos_taurus,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,"19_0,17_0",,,,gorilla_gorilla,,,,,,,0.01251568441988754,0.008931828029372953,,,,,,,,,,,,,,,,,,,,,,,,
2,"19_0,20_0,10_1,17_0",,,,gorilla_gorilla,,1.0,,,,1.0,0.9874843155801125,0.991068171970627,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
3,"19_0,17_0",0.019521929264930946,,,homo_sapiens,,,,,,,0.006632862672452872,,,0.02546720626061706,,,,,,,0.0638297872340426,,,,,,,,,,,,,,,
4,"19_0,20_0,10_1,17_0",0.9804780707350691,,,homo_sapiens,,1.0,1.0,1.0,,1.0,0.9933671373275471,1.0,1.0,0.974532793739383,1.0,,,,,,0.9361702127659574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
5,"19_0,20_0,10_1,17_0",1.0,,,monodelphis_domestica,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,"19_0,20_0,10_1,17_0",1.0,,,mus_musculus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,"19_0,20_0,10_1,17_0",1.0,,,rattus_norvegicus,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"19_0,20_0,10_1,17_0",,,,sus_scrofa,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,"19_0,20_0,10_1,17_0",1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
