TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000016813	ENSBTAE00000136394	16_0				bos_taurus	4	GSE41637												2.677446530489148e-08																																								6.84798582102059e-08									
ENSBTAT00000016813	ENSBTAE00000136394	16_0				bos_taurus	4	GSE43013																																																	1.0234450275181341e-07												
ENSBTAT00000072316	ENSBTAE00000499878	16_0				bos_taurus	4	GSE41637												2.677446530489148e-08																																								6.84798582102059e-08									
ENSBTAT00000072316	ENSBTAE00000499878	16_0				bos_taurus	4	GSE43013																																																	1.0234450275181341e-07												
ENSBTAT00000086175	ENSBTAE00000499878	16_0				bos_taurus	4	GSE41637												2.677446530489148e-08																																								6.84798582102059e-08									
ENSBTAT00000086175	ENSBTAE00000499878	16_0				bos_taurus	4	GSE43013																																																	1.0234450275181341e-07												
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000016813	ENSBTAE00000340070	10_0	bos_taurus	16	GSE41637						6.54212480570623e-08						8.745747276559849e-06				4.5866815152836256e-08													1.8851038142793161e-06																							3.160510157475766e-06					8.371325197521418e-08				
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000016813	ENSBTAE00000340070	10_0	bos_taurus	16	GSE43013						1.0728504047435437e-07																																											6.364558499395987e-06												
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000072316	ENSBTAE00000340070	10_0	bos_taurus	16	GSE41637						6.54212480570623e-08						8.745747276559849e-06				4.5866815152836256e-08													1.8851038142793161e-06																							3.160510157475766e-06					8.371325197521418e-08				
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000072316	ENSBTAE00000340070	10_0	bos_taurus	16	GSE43013						1.0728504047435437e-07																																											6.364558499395987e-06												
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000084257	ENSBTAE00000340070	10_0	bos_taurus	16	GSE41637						6.54212480570623e-08						8.745747276559849e-06				4.5866815152836256e-08													1.8851038142793161e-06																							3.160510157475766e-06					8.371325197521418e-08				
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000084257	ENSBTAE00000340070	10_0	bos_taurus	16	GSE43013						1.0728504047435437e-07																																											6.364558499395987e-06												
ENSBTAT00000016813	ENSBTAE00000136394	16_0	ENSBTAT00000086175	ENSBTAE00000340070	10_0	bos_taurus	16	GSE41637						6.54212480570623e-08						8.745747276559849e-06				4.5866815152836256e-08													1.8851038142793161e-06																							3.160510157475766e-06					8.371325197521418e-08				
