Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
gorilla_gorilla	12_0,10_0,10_1						7.957960772374549e-07															4.119448345298096e-07					2.5886360319858896e-07		
homo_sapiens	12_0,10_0,10_1			6.724903564419485e-07			3.910706286723423e-07				2.3493072982664076e-06		2.1587688740991036e-06	1.4621266421691474e-06	1.7576853121224614e-07	1.3490028752032573e-07		3.723544748768297e-07	1.9398825267729245e-06		1.258487617742543e-07				1.9434462421985557e-06		2.3222378745806644e-07		
gorilla_gorilla	12_0,10_1				0.0		3.588824343358436e-07			2.9237971717720115e-07						0.0						4.151258931036232e-07					0.0		
homo_sapiens	12_0,10_1	0.0	0.0	4.7024408301275235e-08	3.5463693178794095e-09	6.434865025271856e-07	1.1302362450531321e-06	0.0	0.0	8.279135515957925e-07	1.1598604095927063e-08	0.0	0.0		1.3076504717987876e-08	2.5058781637025054e-08	0.0	1.2781882403159773e-07	1.5471991502710408e-07	0.0	0.0	6.602104120667768e-07		0.0	0.0	1.0854010947789605e-06	1.0223346067839894e-08	0.0	9.737875622685303e-08
gorilla_gorilla	12_0,10_0,3_0				4.646418611154454e-07		1.2425034537041634e-06			6.984626577010915e-07	2.0869921630700262e-07					1.8317943154874688e-07						6.928642514179239e-07					4.2706551586778595e-07		
homo_sapiens	12_0,10_0,3_0	2.4556769860112505e-06	7.718161201075013e-07	1.062401881172977e-06	3.1671016502805034e-07	7.08803376139533e-07	7.268930431084075e-07	8.924710387084659e-07	9.014135294715998e-07	7.372682493644827e-07	4.131259594550991e-06	2.340139008711254e-06	3.595255315494078e-06	2.4630073875391235e-06	1.463941632518103e-07	1.561694564383856e-07	1.941053959425229e-06	5.70831859400116e-07	2.528106146763084e-06	1.1099222675888198e-06	1.7368527000092455e-07	7.29298585297384e-07	6.258773090356402e-07	1.1638877718841616e-06	3.3530168031935e-06		3.289798014416562e-07	6.285293277224611e-07	1.4156282824007507e-06
gorilla_gorilla	12_0,10_1,3_0				0.0		3.010694954995047e-07			1.9491981145146745e-07												3.4961318428277547e-07					8.74764559305774e-09		
homo_sapiens	12_0,10_1,3_0	1.095257811553539e-08	0.0	4.446900358702541e-08	9.015314844075609e-09	5.146965628178591e-07	1.1484229746563972e-06	0.0	5.2994026114266185e-09	6.563475383562143e-07	1.4380022693811185e-08	1.1921057138365968e-08	4.0369623459610936e-08		2.975650920073095e-08	1.2529390818512527e-08	1.4052162045553109e-08	1.419083084534982e-07	9.196409388470775e-08	1.509043570712081e-09	0.0	5.215193221801547e-07		0.0	1.589090332488665e-08	1.0854010947789605e-06	5.111673033919947e-09	0.0	9.737875622685303e-08
gorilla_gorilla	10_0,10_1,3_0						1.6253954906756277e-07															1.8487709465851205e-07					3.1678504441973576e-08		
homo_sapiens	10_0,10_1,3_0			6.159269595203846e-08			5.994119901111132e-07				4.3600276035300166e-08		1.21432169748188e-07	5.712621332446092e-08	5.581398332663292e-08	2.6121767652323345e-08		9.570928321009514e-08	2.6633954537085775e-08		2.236727949731955e-08				7.829238954558401e-08		2.052825439138365e-08		
gorilla_gorilla	10_0,3_0				5.19179383348951e-07		9.752372944053766e-07			6.172460695963136e-07	1.4707335146810324e-07					1.7294109998070669e-07						6.474925476313249e-07					3.8226554303622567e-07		
homo_sapiens	10_0,3_0	1.7031445012402152e-06	6.751228908861415e-07	8.610948424933581e-07	2.607586571734114e-07	4.808611223027187e-07	7.038591048346945e-07	7.609492369920485e-07	6.556380650998656e-07	4.0755308814625273e-07	3.6339437033480724e-06	2.0126713601403327e-06	3.035097975367103e-06	2.0726325181962697e-06	6.442717048920157e-09	9.478187314076644e-08	1.6780993488847541e-06	4.3237554259136414e-07	1.2005068763121784e-06	1.0999715479140088e-06	1.4040757544797962e-07	6.490142139079999e-07	7.383881160628873e-07	1.2440322958441708e-06	2.9439440944312833e-06		2.3456853674994682e-07	5.230973926905006e-07	1.0225591278429168e-06
gorilla_gorilla	12_0,10_1,3_0				0.0		3.010694954995047e-07			1.9491981145146745e-07												3.4961318428277547e-07					8.74764559305774e-09		
homo_sapiens	12_0,10_1,3_0	1.095257811553539e-08	0.0	4.446900358702541e-08	9.015314844075609e-09	5.146965628178591e-07	1.1484229746563972e-06	0.0	5.2994026114266185e-09	6.563475383562143e-07	1.4380022693811185e-08	1.1921057138365968e-08	4.0369623459610936e-08		2.975650920073095e-08	1.2529390818512527e-08	1.4052162045553109e-08	1.419083084534982e-07	9.196409388470775e-08	1.509043570712081e-09	0.0	5.215193221801547e-07		0.0	1.589090332488665e-08	1.0854010947789605e-06	5.111673033919947e-09	0.0	9.737875622685303e-08
gorilla_gorilla	12_0,10_0,3_0				4.646418611154454e-07		1.2425034537041634e-06			6.984626577010915e-07	2.0869921630700262e-07					1.8317943154874688e-07						6.928642514179239e-07					4.2706551586778595e-07		
homo_sapiens	12_0,10_0,3_0	2.4556769860112505e-06	7.718161201075013e-07	1.062401881172977e-06	3.1671016502805034e-07	7.08803376139533e-07	7.268930431084075e-07	8.924710387084659e-07	9.014135294715998e-07	7.372682493644827e-07	4.131259594550991e-06	2.340139008711254e-06	3.595255315494078e-06	2.4630073875391235e-06	1.463941632518103e-07	1.561694564383856e-07	1.941053959425229e-06	5.70831859400116e-07	2.528106146763084e-06	1.1099222675888198e-06	1.7368527000092455e-07	7.29298585297384e-07	6.258773090356402e-07	1.1638877718841616e-06	3.3530168031935e-06		3.289798014416562e-07	6.285293277224611e-07	1.4156282824007507e-06
gorilla_gorilla	7_1,14_0,17_0																					5.896143793876295e-07							
homo_sapiens	7_1,14_0,17_0					7.584513121799935e-07				5.579840279726456e-07																			
gorilla_gorilla	7_1,17_0				2.846754662090528e-07		6.981774015414932e-08			2.274064466933788e-07	7.312231366142402e-08					2.2980719194291625e-07						1.738522745692436e-07					3.47401803995438e-07		
homo_sapiens	7_1,17_0	1.885842990768891e-06	6.51737725454775e-07	1.5953671847578135e-06	2.860903368243348e-07	2.3095159072183013e-07	3.56776761087795e-08	9.90854763327643e-07	2.1477124279753835e-06	3.3652825901198297e-07	1.8032256775101961e-06	3.634441565502525e-07	5.7795687432017585e-06	4.87024713712092e-06	4.330532206547804e-07	1.6364555242673014e-07	2.9397584025875036e-06	7.511625044944882e-07	4.075883290777272e-06	4.729702132318937e-08	7.405473699170142e-07	9.29157792515054e-08	6.185621832519907e-07	3.238075372965407e-08	4.342351846643719e-06		1.303743816200676e-06	8.977700782552846e-07	1.2034507881950304e-06
gorilla_gorilla	7_1,14_0,19_0,17_0						1.287732812397495e-06			9.312835436014556e-07												1.3171799153332915e-06							
homo_sapiens	7_1,14_0,19_0,17_0					1.2481554875295438e-06	7.590467512557358e-07			3.040321520896112e-06									1.6797429154337073e-06	6.046469990152043e-07		1.4039486586966231e-06		9.508235635318993e-07					
gorilla_gorilla	7_1,17_0				2.846754662090528e-07		6.981774015414932e-08			2.274064466933788e-07	7.312231366142402e-08					2.2980719194291625e-07						1.738522745692436e-07					3.47401803995438e-07		
