,path,adipose tissue,adrenal gland,adrenal tissue,adult mammalian kidney,brain,cerebellum,colon,female gonad,frontal cortex,heart,heart left ventricle,intestine,leukocyte,liver,lung,lymph node,multi-cellular organism,muscle of leg,placenta,prefrontal cortex,skeletal muscle tissue,stomach,temporal lobe,testis,thoracic mammary gland,thyroid gland,kidney,prostate gland,Species
0,"12_0,10_1,3_0",,,,0.0,,0.13969515874539273,,,0.21818181818181823,,,,,,,,,,,0.24763516858778864,,,,0.014241861522087855,,,,,gorilla_gorilla
1,"12_0,10_0,3_0",,,,1.0,,0.5765171158204813,,,0.7818181818181819,1.0,,,,1.0,,,,,,0.49076397407700034,,,,0.6952965655895971,,,,,gorilla_gorilla
2,"12_0,10_0,10_1,3_0",,,,,,0.2837877254341259,,,,,,,,,,,,,,0.26160085733521105,,,,0.2904615728883151,,,,,gorilla_gorilla
3,"12_0,10_1,3_0",0.004440301160264705,0.0,0.028339206234546176,0.027677646979336286,0.42067559337719196,0.4548390526399337,0.0,0.00584463111081045,0.4709673527950567,0.002515060657185333,0.005068347238002954,0.007912947997291187,0.09635909049991995,0.04844478944581114,0.007187416524982278,0.1400905289503898,0.023441920911720253,0.0013577479377809944,0.0,0.4169426413408778,0.0,0.003399027391453686,1.0,0.010455300403952298,0.0,0.06436107284416993,,,homo_sapiens
4,"12_0,10_0,3_0",0.9955596988397353,1.0,0.6770474619610147,0.9723223530206637,0.579324406622808,0.2878898719323395,1.0,0.9941553688891895,0.5290326472049433,0.7225557770048855,0.994931652761997,0.7047147312868085,0.4740612660672822,0.6038279549749525,0.9928125834750178,0.563519768479951,0.6444217720793387,0.9986422520622189,0.6742847780522643,0.5830573586591221,1.0,0.7172025230441376,,0.6728878447586094,1.0,0.9356389271558302,0.7134563085736891,1.0,homo_sapiens
5,"12_0,10_0,10_1,3_0",,,0.29461333180443905,,,0.25727107542772676,,,,0.2749291623379291,,0.28737232071590046,0.42957964343279786,0.34772725557923634,,0.29638970256965924,0.33213630700894103,,0.3257152219477358,,,0.27939844956440874,,0.31665685483743833,,,0.2865436914263108,,homo_sapiens
6,"7_1,17_0",,,,1.0,,0.022279521215638757,,,0.09502262443438918,0.13243278540431566,,,,1.0,,,,,,0.08355685061329528,,,,1.0,,,,,gorilla_gorilla
7,"7_1,20_0,17_0",,,,,,,,,0.04072398190045249,0.37647698632475207,,,,,,,,,,,,,,,,,,,gorilla_gorilla
8,"7_1,19_0,17_0",,,,,,0.5667923901561721,,,0.2714932126696833,0.4910902282709322,,,,,,,,,,,,,,0.0,,,,,gorilla_gorilla
9,"7_1,14_0,17_0",,,,,,,,,,,,,,,,,,,,0.2833803626671602,,,,,,,,,gorilla_gorilla
10,"7_1,14_0,19_0,17_0",,,,,,0.41092808862818914,,,0.3891402714932127,,,,,,,,,,,0.6330627867195445,,,,,,,,,gorilla_gorilla
11,"7_1,20_0,19_0,17_0",,,,,,,,,0.2036199095022625,,,,,,,,,,,,,,,,,,,,gorilla_gorilla
12,"7_1,17_0",0.9884832594471745,0.7191743269751694,0.7713206815955447,1.0,0.07715211568845118,0.014332598599346115,0.9364994645780916,0.9923443916601506,0.053053917400631936,0.2048049157312383,0.10693301975652397,0.8952386246083293,1.0,1.0,0.9662610670537211,0.8870881298674543,0.3847471443220112,0.016754689522827566,1.0,0.05855510690695108,0.008643933188315791,0.8235521204245798,,0.9270956756071995,0.9680402317358124,0.7604416352217366,0.9632154654099864,0.47231706164809356,homo_sapiens
13,"7_1,20_0,17_0",,,0.045470282965702276,,,0.022647214997452224,,,0.016690585692792984,0.24382135471056704,0.13838531632665924,0.0237390929266062,,,0.021035513324428202,,0.009168047277380959,0.027472803615456384,,0.05668275189280262,,0.019283546915152182,,,,,,,homo_sapiens
14,"7_1,19_0,17_0",0.01151674055282539,0.2808256730248307,0.18320903543875305,,0.25251710430454366,0.42044514619481355,0.06350053542190831,0.007655608339849304,,0.33159752307027124,0.515194924993056,0.05089872748989604,,,0.01270341962185073,0.11291187013254565,0.29329040170660137,0.5219895305043865,0.0,,0.7375369177682417,0.11071065875484447,,0.07290432439280044,0.03195976826418751,0.23955836477826337,0.03678453459001361,0.5276829383519064,homo_sapiens
15,"7_1,14_0,17_0",,,,,0.2533696485851369,,,,0.08796657557925482,,,,,,,,,,,,,,,,,,,,homo_sapiens
16,"7_1,14_0,19_0,17_0",,,,,0.41696113142186825,0.3049277192470803,,,0.479308832234628,,,,,,,,0.15856103911773278,0.21419261627882222,,0.8847621412002463,0.2538191490434425,,,,,,,,homo_sapiens
17,"7_1,20_0,19_0,17_0",,,,,,0.23764732096130767,,,0.3629800890926923,0.21977620648792343,0.23948673892376085,0.03012355497516846,,,,,0.1542333675762737,0.21959036007850743,,,,0.04645367390542343,,,,,,,homo_sapiens
