TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	1	SRP022612																																																													2.6314678717245726e-08
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	1	SRP022612																																																													4.9454734353647144e-08
						danio_rerio	1	SRP022612																																																													3.53408103414562e-08
						danio_rerio	1	GSE71755																													1.0742133159912336e-07																																
						danio_rerio	1	SRP044781																			2.0906406887557213e-08																																										
						danio_rerio	2	SRP044781																						1.5630297205412273e-07										2.5368718467475717e-08																													
						danio_rerio	3	SRP044781											1.2774745493216699e-08																																														4.353667952188715e-08				
						danio_rerio	3	SRP022612																																																													1.2021198301296488e-07
						danio_rerio	63	GSE39703																			2.944985310311132e-07								2.0291754851251292e-07																												2.778123242547661e-07						
						danio_rerio	63	GSE42846																			2.3009007192050486e-07																																										
						danio_rerio	63	GSE63191																											4.505116207210841e-08																																		
						danio_rerio	63	SRP022612																																																													4.1146756989170704e-07
						danio_rerio	63	GSE71755																													3.509420990954562e-07																																
						danio_rerio	63	SRP044781											6.38737274660835e-07	4.2995505464836235e-07							4.808473584138159e-07			1.0941208043788591e-06							7.032413900275857e-07		2.2177932268007006e-06	1.0147487386990287e-06			4.6063146124496227e-07				4.459604523162807e-08					2.2321110410192814e-07		1.275846010131829e-06											1.5020154435051067e-06				
						danio_rerio	63	GSE71681																					9.123269264241018e-08																																								
						danio_rerio	63	GSE63133																												4.50488067218676e-07																									8.511268946683124e-07								
						danio_rerio	63	GSE68666																			1.733771248494797e-07																																										
						danio_rerio	61	GSE39703																			4.698400166463334e-07								3.0437632276876935e-07																												2.778123242547661e-07						
						danio_rerio	61	GSE42846																			1.6452462119081199e-07																																										
						danio_rerio	61	GSE63191																											9.797052047764703e-08																																		
						danio_rerio	61	SRP022612																																																													5.70484887308429e-07
						danio_rerio	61	GSE71755																													2.222182436355986e-07																																
						danio_rerio	61	SRP044781											5.10989819728668e-07	3.941254667609988e-07							3.763153239760298e-07			1.1983227857482742e-06							5.72405782580593e-07		2.7522012332587006e-06	1.446016952646116e-06			1.6021963869389992e-07				3.1217231662139645e-07					3.826476070318768e-07		1.1639296934535982e-06											1.9156138989630347e-06				
						danio_rerio	61	GSE71681																					7.227019658396848e-08																																								
						danio_rerio	61	GSE63133																												5.63110084023345e-07																									4.787588782509258e-07								
						danio_rerio	61	GSE68666																			1.4664551232464627e-07																																										
						danio_rerio	61	GSE39703																			3.3568347088626115e-07								2.0291754851251292e-07																												3.7041643233968814e-07						
						danio_rerio	61	GSE42846																			3.011395172248941e-07																																										
						danio_rerio	61	GSE63191																											5.942967758273926e-08																																		
						danio_rerio	61	SRP022612																																																													6.192073306186014e-07
						danio_rerio	61	GSE71755																													2.2891240966184344e-07																																
						danio_rerio	61	SRP044781											7.281604931133519e-07	5.016142304230894e-07							2.5087688265068653e-07			1.4067267484871044e-06							7.68659193751082e-07		2.7789216335816006e-06	1.6489667003859217e-06			2.002745483673749e-07				1.337881356948842e-07					2.8698570527390763e-07		1.2534627467961827e-06											1.7196988411145425e-06				
						danio_rerio	61	GSE63133																												6.75732100828014e-07																									7.447360328347733e-07								
						danio_rerio	4	SRP044781																													1.6354450930874085e-08																																
						danio_rerio	4	SRP022612																																																													2.7111263922244028e-08
						danio_rerio	4	GSE39703																			3.302139779973143e-08																																										
						danio_rerio	63	GSE39703																			2.711156523617308e-07								2.0291754851251292e-07																												1.8520821616984407e-07						
						danio_rerio	63	GSE42846																			2.625261622524319e-07																																										
						danio_rerio	63	GSE63191																											3.4966753149165224e-08																																		
						danio_rerio	63	SRP022612																																																													6.02068904255792e-07
						danio_rerio	63	GSE71755																													3.4306627067639084e-07																																
						danio_rerio	63	SRP044781											5.49314056208318e-07	4.657846425357259e-07							5.017537653013731e-07			1.1462217950635665e-06							6.541780372349634e-07		2.3781156287381004e-06	1.6743354188533973e-06			2.8038436771432484e-07				1.7838418092651228e-07					2.550984046879179e-07		8.729472700901987e-07											1.6543938218317117e-06				
						danio_rerio	63	GSE71681																					1.3355523880885685e-07																																								
						danio_rerio	63	GSE63133																												6.75732100828014e-07																									6.383451710012343e-07								
						danio_rerio	63	GSE68666																			1.2569661032252426e-07																																										
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000026985	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000033104	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000052788	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000033104	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052788	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000052903	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000058329	ENSGGOE00000360086	11_0	ENSGGOT00000052903	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000058329	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE30352						3.0823686436819566e-07								1.912249117104609e-06															5.151710922109889e-07						2.10851827955513e-07														1.1961887052356942e-06								5.938251536763827e-07				
ENSGGOT00000026985	ENSGGOE00000360086	11_0	ENSGGOT00000058329	ENSGGOE00000349791	4_0	gorilla_gorilla	13	GSE43520																									7.147059753220473e-07																																2.1869113982644355e-07				
