TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	1	SRP022612																																																													4.90578561373463e-08
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	1	GSE71755																													0.0																																
						danio_rerio	1	SRP044781																			0.0																																										
						danio_rerio	2	SRP044781																						0.0										0.0																													
						danio_rerio	3	SRP022612																																																													0.0
						danio_rerio	3	SRP044781											0.0																																														0.0				
						danio_rerio	63	GSE39703																			0.0								0.0																												0.0						
						danio_rerio	63	GSE68666																			0.0																																										
						danio_rerio	63	SRP022612																																																													0.0
						danio_rerio	63	GSE71755																													0.0																																
						danio_rerio	63	GSE63191																											0.0																																		
						danio_rerio	63	GSE71681																					0.0																																								
						danio_rerio	63	GSE42846																			0.0																																										
						danio_rerio	63	GSE63133																												0.0																									0.0								
						danio_rerio	63	SRP044781											0.0	0.0							0.0			0.0							1.6354450930874085e-08		0.0	0.0			0.0				0.0					0.0		0.0											0.0				
						danio_rerio	61	GSE39703																			0.0								0.0																												0.0						
						danio_rerio	61	GSE68666																			0.0																																										
						danio_rerio	61	SRP022612																																																													0.0
						danio_rerio	61	GSE71755																													0.0																																
						danio_rerio	61	GSE63191																											0.0																																		
						danio_rerio	61	GSE71681																					0.0																																								
						danio_rerio	61	GSE42846																			0.0																																										
						danio_rerio	61	GSE63133																												0.0																									0.0								
						danio_rerio	61	SRP044781											0.0	0.0							0.0			0.0							0.0		0.0	0.0			0.0				0.0					0.0		0.0											0.0				
						danio_rerio	61	GSE39703																			0.0								0.0																												0.0						
						danio_rerio	61	SRP022612																																																													0.0
						danio_rerio	61	GSE71755																													0.0																																
