Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	19_1,10_1,12_0					1.4899027083202947e-07					1.20269771684454e-06								3.7684496880617047e-06		6.038277862101643e-08					1.0542591397775649e-07							4.6153474794770156e-06						7.760364380552672e-08				
rattus_norvegicus	19_1,10_1,12_0					1.548392226513445e-07			4.029159963000629e-06				1.0161898603221841e-07								9.17874883650362e-08					2.786942154548353e-08	2.2820111744935333e-07								5.334461497250908e-08	1.6430161570816088e-07			1.885194069348255e-07				
gorilla_gorilla	19_1,12_0					3.9679926342693365e-07					1.492867944902591e-06								6.4973270483822485e-06		1.4541590317759274e-07					1.698985016833522e-07							7.375561895221281e-06						3.5164878346052354e-07				
rattus_norvegicus	19_1,12_0					5.192469368692635e-07			7.652000984115134e-06				1.145299347097298e-06								1.1527479343857577e-06					1.5252492125006139e-07	3.142750048970553e-06								3.757322030840033e-06	1.4192047227561242e-06			2.4811176927793107e-07				
monodelphis_domestica	19_1,10_1,12_1					6.536836570977719e-07			1.4188134210469707e-06		3.1382709996248583e-06						1.1408823494005583e-06				2.5667457825829964e-07					1.5623492900478045e-07						3.7572515813973804e-07							1.5928333211349485e-06				
sus_scrofa	19_1,10_1,12_1					1.8423923961563084e-06															7.621315475033596e-07			1.4951085325668054e-06		5.924076510710423e-07	1.720091596788742e-06						7.705303464073323e-06										
mus_musculus	19_1,10_1,12_1	1.9783818510908954e-06				1.289658852621664e-07			1.2549311835673346e-06		7.186699603560568e-07	7.381819723679e-08	3.6797410844825725e-08				5.660615386619015e-07				2.816841611571481e-07					5.3756701958818364e-08	3.403850033811775e-07					9.427137120859684e-08			1.1877522074472273e-07	5.68242543989197e-08			5.563012513081751e-08		1.1217984480304357e-07		3.8461833225080484e-08
bos_taurus	19_1,10_1,12_1					7.799877339957548e-07			7.258130033340409e-06				4.6286336732564747e-07								1.9453339216949516e-07					2.1989877064315618e-07	1.3876455953465267e-06						3.85050291661387e-06		1.3087459600779472e-07	4.15526673835671e-07			4.006664062495176e-07				
sus_scrofa	19_1,12_1					2.457043734956047e-07															1.1494443011526076e-06			9.674231681314627e-07		3.561969985446396e-07	1.0511670869264535e-06						2.190283296867146e-06										
mus_musculus	19_1,12_1	5.339752645194795e-06				3.761144326392598e-07		7.520790096102159e-08	4.029467863973174e-06	4.2559012113401394e-08	1.0707589659966316e-06	1.7716367336829592e-07	4.37225180983042e-07			7.291310569691605e-08	5.11861540005825e-06	1.5293407073384293e-07			9.103378411019222e-07					2.0420728857192468e-07	1.1997320344952857e-06					9.584161703101144e-07			3.7776663961100833e-06	4.965310581060174e-07			4.432833502722922e-07		2.0360479129032135e-06		9.229370505220126e-07
monodelphis_domestica	19_1,12_1					8.144287454254557e-08			3.1351414886339038e-06		1.4281949386801397e-06						2.1036163731130358e-06				2.677452255972882e-07					1.6843156389616688e-07						4.300533942212901e-07							5.492842786266707e-07				
homo_sapiens	19_1,12_1		5.630432738611869e-07	1.1784148986745009e-06	6.951775725120023e-07	6.050916828910744e-07			2.6525343887524645e-06		1.0588964081781122e-06		2.178800694971302e-06				1.0509614854182762e-06		6.977445731761733e-06		3.012451272306121e-07	5.54111688421605e-07	7.785091538258052e-07	6.125711564771632e-07	2.5808481949473005e-06	1.6015797576979443e-07	6.324455325291105e-07	1.1984439332522058e-06		4.595698492060304e-06	3.3317238188670526e-06	3.3650631513861136e-06	3.2142596458565624e-06	3.3145699703936684e-06	2.572381487792421e-06		1.0994828858251489e-06	2.1708021895579206e-07	9.6617916685616e-07	3.6041698898666614e-07		8.138444438865523e-07	
xenopus_tropicalis	19_1,12_1						1.2911615942984775e-06		1.0009792205599022e-05					4.1385193912596953e-07	3.0523612289255937e-06		2.1307089258196207e-06			3.2160307569465953e-06	3.207986562658883e-06					2.7949778901943915e-06			1.690341342762512e-06						5.130267163018401e-06				2.8622937067249216e-06				
bos_taurus	19_1,12_1					7.513510282478765e-07			4.900825761847165e-06				3.955602276475294e-06								2.9815552843974027e-07					4.6854198630567237e-07	2.6741640733387113e-06						2.655672646871071e-06		3.2528862839531832e-06	2.12321888373857e-06			2.2500500546162887e-07				
mus_musculus	15_0,14_0,8_0	5.7897252987173275e-06				3.890829869687442e-07		5.0138600640681085e-08	3.2080140371302894e-06	6.383851817010209e-08	8.787940419564906e-07	2.65745510052444e-07	2.2061058721020253e-07			7.291310569691603e-08	2.1396479948996126e-06	3.2498490030941635e-07			8.846097472772062e-07					1.754047566627208e-07	5.334253773290881e-07					3.259039265198789e-07			2.9216332561911267e-06	5.619580390373759e-07			3.6394436243677737e-07		1.424982905761451e-06		6.72726829512554e-07
monodelphis_domestica	15_0,14_0,8_0					4.3270262418364605e-07			4.139307941033496e-06		3.5287796822348413e-06						2.631403730430837e-06				5.283091120269e-07					1.2986659716037894e-07						6.788533908175491e-07							2.8550470023073245e-06				
xenopus_tropicalis	15_0,14_0,8_0						2.303454460677604e-06		3.759292795341856e-06					5.193844051363703e-07	3.930893757122413e-06		1.1305326973016608e-06			5.929977143642385e-06	1.2407455722401808e-06					1.1035890645319914e-06			7.0977980983457e-07						4.089694106368442e-06				8.457540648981427e-07				
bos_taurus	15_0,14_0,8_0					7.059421312090481e-07			5.761407317430337e-06				2.0398974314009984e-06								1.823005886893118e-07					1.7359532348458918e-07	1.756929649235918e-06						3.351744559044307e-06		1.651802591657393e-06	1.095026491189299e-06			2.320840419832262e-07				
gorilla_gorilla	15_0,14_0,8_0					2.1018033079303833e-07					8.25808080531981e-07								4.304479169553238e-06							9.51875824097163e-08							5.825524293537633e-06						1.4527105382028125e-07				
sus_scrofa	15_0,14_0,8_0					2.0261046547007755e-06															2.073997325992751e-06			1.7149774344148655e-06		6.758814633933678e-07	2.0545538517198867e-06						8.537774959826057e-06										
homo_sapiens	15_0,14_0,8_0		2.8500031240854717e-07	6.30182511637923e-07	7.942163225068811e-07	3.55469229836355e-07			3.012867668690566e-06		9.28663253474893e-07		1.2991003871989522e-06				3.9821611082192673e-07		2.590565949445542e-06		2.2381827366922865e-07	6.256033400805493e-07	1.0398354612734588e-06	4.938516460624141e-07	1.0560023656506061e-06	1.127137119096332e-07	6.160667923290887e-07	6.733043669782466e-07		8.592743928419457e-07	2.4715705192667668e-06	9.039895346564536e-07	3.608167884216789e-06	1.621666635575136e-06	6.044446245217827e-07		1.1109238353261066e-06	5.427005473894801e-07	3.199254169275532e-07	4.2648592364314114e-07		2.6087417787123135e-07	
rattus_norvegicus	15_0,14_0,8_0					3.4097605437363397e-07			5.251187080659828e-06				3.2380756054837096e-07								5.272804780627553e-07					1.3680923932637438e-07	1.433495334462035e-06								2.056821540568593e-06	4.992345897329293e-07			1.228337856119021e-07				
monodelphis_domestica	15_0,8_0																																						6.064793635207709e-08				
rattus_norvegicus	15_0,8_0					1.0321391620846569e-08			5.390572091122244e-08				4.230289515938124e-08													2.920436560875215e-08	0.0								0.0	5.8596532648622696e-09							
homo_sapiens	15_0,8_0			4.087337823719463e-08	9.944033982343967e-08				5.635737700594221e-08								2.909614688408454e-08				4.367479843727961e-08	6.243952978060115e-08	7.403543633911563e-08	8.738788266250353e-08		5.0117563274050114e-08	9.900308129439243e-08			2.798190758939495e-08	5.8792631559110216e-08			2.6867304893225372e-08			8.957201743217609e-08						
mus_musculus	15_0,8_0	7.009010328092121e-08				9.508007487023448e-09			5.487166805644688e-08		6.065701270302508e-08						9.864375408335911e-08										6.897088200138045e-08					3.272894396800569e-08			2.8129852047855102e-08	2.6322057675104397e-08			2.729599859968554e-08		5.4179605094181536e-08		3.423701995381357e-08
gorilla_gorilla	10_0,20_1,20_2,18_1										8.943100192766956e-07								3.541043241368325e-06		4.874820910761599e-08												6.084254589621676e-06						5.6109585333546686e-08				
rattus_norvegicus	10_0,20_1,20_2,18_1					4.8728225672941955e-08			2.673802050553303e-06				8.569940983331716e-08								3.8714703510903163e-07						7.002496022505948e-08								1.1656994065243103e-06	2.5521038815959758e-08			3.996871813984065e-08				
mus_musculus	10_0,18_1	2.954518075377017e-06				4.5045713945759337e-07		5.0138600640681085e-08	1.7094151609657478e-06	4.2559012113401394e-08	1.99614176901072e-06	3.10036428394518e-07	2.809865730320787e-07			7.291310569691605e-08	3.5642422943825036e-06	5.73502765251911e-07			1.3743022914657176e-06					2.3408188123633073e-07	1.0229988869735004e-06					5.659956926498633e-07			2.5573612092239857e-06	4.894772284907741e-07			4.574315810169457e-07		1.564515663003725e-06		7.865110292826944e-07
monodelphis_domestica	10_0,18_1					5.253961884227135e-07			2.6330726712180575e-06		2.0785839641688862e-06						1.8106580219152614e-06				1.670664300819414e-07					3.8564966735787933e-07						4.841671082712272e-07							3.5748041362010338e-06				
xenopus_tropicalis	10_0,18_1						3.717909141118984e-07		1.3009422374676786e-06					8.975029857761207e-08	3.25643952725705e-07		1.2850282241940538e-06			5.30964451207087e-07	8.956621251106112e-07					1.090870262497853e-06			1.0350048622610466e-06						6.775824554929964e-07				8.518599537227354e-07				
bos_taurus	10_0,18_1					1.0451404908542606e-06			2.960037649259212e-06				2.7139675961367323e-06								2.6527138458374063e-07					2.5222015099885596e-07	3.1684451546177023e-06						4.4638476536650686e-06		2.2152021252159167e-06	1.9141723588378652e-06			6.486042351409042e-07				
gorilla_gorilla	10_0,18_1					5.678265560426715e-07					2.02518919574745e-06								3.9308828642712585e-06		7.229358951616862e-08					3.413183025153816e-07							5.799456711032074e-06						3.9313667836182665e-07				
sus_scrofa	10_0,18_1					2.5733765517546136e-06															1.4992751754164461e-06			2.726374382915939e-06		8.943671313153207e-07	7.358169608485181e-06						3.470236599204055e-06										
homo_sapiens	10_0,18_1		4.820800666582906e-07	7.918460729721874e-07	9.252542033156562e-07	6.740730354402069e-07			2.832941631535874e-06		1.6903409708060826e-06		1.4015755655332712e-06				6.679088798709232e-07		1.5653499839701244e-06		2.861351273473865e-07	5.06534128150258e-07	9.888477240266551e-07	7.346756281095574e-07	1.7215666119269544e-06	1.1775359962222214e-07	7.471216608511118e-07	9.357896947623516e-07		5.256909096386499e-07	1.9099959003316107e-06	1.6006841502986838e-06	3.559093487844172e-06	1.6805545571542691e-06	1.2836792928509587e-06		9.96536835052458e-07	8.683208758231683e-07	5.574930431993404e-07	8.511663884110374e-07		7.722432348057348e-07	
rattus_norvegicus	10_0,18_1					4.329523817181411e-07			3.283724361961047e-06				7.099848343256375e-07								5.988452417760523e-07					1.488899652199307e-07	2.167405956187521e-06								2.5019496141519106e-06	7.766773306796998e-07			1.6686821759360008e-07				
gorilla_gorilla	24_1,25_0,22_0,17_0					5.517489357860664e-07					3.4518204658690064e-06								7.2553485373601804e-06		2.8151005884965836e-07					3.2817429347422057e-07							1.5032278074968552e-05						5.155191544436731e-07				
rattus_norvegicus	24_1,25_0,22_0,17_0					6.231690188425792e-07			1.0008066918472884e-05				9.80690113237976e-07								1.2250521727157302e-06					2.411311473351986e-07	2.6307888002670393e-06								4.694160237816535e-06	1.2748946336281213e-06			3.661463092025077e-07				
homo_sapiens	24_1,25_0,22_0,17_0		7.572484792098493e-07	1.1822784110492071e-06	8.817409386991663e-07	8.832620781346825e-07			5.60221340484735e-06		3.2035795069758375e-06		2.5635208337683345e-06				7.687891474234926e-07		6.198949094368605e-06		4.4917123444986255e-07	1.5107763232860623e-06	1.5970003152871131e-06	8.643902630731813e-07	1.3509024751464688e-06	1.844351220214992e-07	7.666204768233521e-07	7.278770929480279e-07		1.179469471277289e-06	3.7036747050752363e-06	1.7432681587736136e-06	5.965255506177987e-06	3.474103851366548e-06	1.4244803085646017e-06		1.715965656331114e-06	4.124524160160049e-06	6.556675414434155e-07	6.321528147848055e-07		8.209027819148131e-07	
gorilla_gorilla	24_1,17_0										1.636450829439194e-07								3.2486635241911244e-08														8.819856071414722e-08						3.499058237223097e-08				
homo_sapiens	24_1,17_0				2.4381537909390397e-07	4.870815539384827e-08			6.442660385629744e-08		2.1302238200605048e-07						6.742633384759253e-08		1.1114169249622057e-07			7.18463476765466e-08	1.2181043190629368e-07	4.463156774719395e-08			6.39985705279287e-08	1.4145787990483446e-07		2.179731240349072e-08	7.567144185844175e-08	1.342036769839173e-07	2.3718440761563555e-07	4.006163751570085e-08			9.983245059002172e-08		1.2316952634830194e-07			1.391699096618891e-08	
gorilla_gorilla	24_1,25_0,22_0					4.794713129458859e-07					3.0680331625542644e-06								6.6597602245918066e-06		2.0455559558072625e-07					3.3260127009601876e-07							1.3163575344287486e-05						3.3209342420758674e-07				
rattus_norvegicus	24_1,25_0,22_0					6.337509940654259e-07			9.84177266587451e-06				9.388394485157049e-07								1.2010823178238102e-06					2.2807434889218001e-07	2.695654589570875e-06								4.377853598626926e-06	1.4242632092863006e-06			3.2563753880253673e-07				
homo_sapiens	24_1,25_0,22_0		6.316042256483653e-07	1.1476071581373453e-06	8.688469218538517e-07	7.699694423440342e-07			5.022494948346631e-06		2.684990530504774e-06		2.4844062074083877e-06				7.303528915671675e-07		6.539513578543527e-06		4.4276616599308387e-07	1.2255377516552964e-06	1.6879231561769603e-06	8.736047760036752e-07	1.1865226581742402e-06	1.5072181791835147e-07	7.720242400531355e-07	8.93098964732278e-07		1.42747749700905e-06	3.8111945558914516e-06	2.074356559314223e-06	5.7763322224921976e-06	3.1641074454593846e-06	1.182087915742842e-06		1.8131813250593065e-06	4.124524160160049e-06	6.117617717037414e-07	4.85088486471449e-07		8.313447867115045e-07	
gorilla_gorilla	24_1,22_0										1.5653714840865756e-07								1.2994654096764498e-07														1.94629491318255e-07						5.2485873558346484e-08				
rattus_norvegicus	24_1,22_0					5.160695810423284e-09			1.0879816961440982e-08				0.0								0.0						1.5703531150976968e-08								3.5380197459358636e-08	4.101757285403589e-08							
homo_sapiens	24_1,22_0		1.4581220210749377e-08	3.253600808819132e-08	1.6254358606260268e-07	1.0001354226308944e-07			3.17400908071302e-08		3.2214275962564176e-08		4.7022043004345146e-08				4.324584565805205e-08		9.542239436886802e-08		1.1256259425635934e-07	1.0670543346201298e-07	1.586762406728678e-07	2.195805032439588e-07		4.5635040338210446e-08	1.100227308054993e-07	3.5392621760500114e-08		2.3066896503973546e-08	7.162900058634706e-08	5.093845745870144e-08	5.9296101903908886e-08	2.6867304893225372e-08			1.029249731905372e-07		7.148474046002471e-08	5.8828245187713504e-08		1.391699096618891e-08	
gorilla_gorilla	18_2,21_0,4_3					3.9679926342693365e-07					1.2135969842859937e-06								2.0629013378613637e-06		1.3226200606455748e-07					1.4713988982425591e-07							3.634992473085048e-06						1.9663176084663478e-07				
rattus_norvegicus	18_2,21_0,4_3					9.310487074805534e-08			2.3420283906516327e-06				2.6736608819569144e-07								2.698482226317171e-07					9.03612894512554e-08	7.051038115144503e-07								1.4396265573188304e-06	5.150264526560182e-07			1.1668260827230877e-07				
gorilla_gorilla	18_2,4_3					1.858567444461781e-07					3.2507909813512537e-07								9.745990572573369e-08							4.09533262721608e-08							5.020520303882453e-07						3.499058237223097e-08				
rattus_norvegicus	18_2,4_3					4.72943828629707e-08			1.0585435226330581e-07				9.921729606648033e-08								1.2972059739967278e-07					3.2544117186881506e-08	3.0063366188920275e-07								2.215336460137939e-07	6.640940366843907e-08			0.0				
mus_musculus	5_5,21_0,4_3	2.8801549360223193e-06				1.2157576870340857e-07			1.7500170647425436e-06		5.052876484084262e-07	9.596365640782702e-08	5.3924357818936347e-08				7.166450504909764e-07				3.0439318003273844e-07						1.2921792086441916e-07								1.524274938240856e-06	1.5561707833821465e-07			1.321785637914868e-07				2.6787063000810953e-07
bos_taurus	5_5,21_0,4_3					4.023800651916071e-07			1.7501734132518756e-06				1.2021721980393983e-06														1.5757278060533972e-06						1.0383291165859908e-06		1.1695224610452284e-06	5.165302274028383e-07			2.2164906842977497e-07				
gorilla_gorilla	5_5,21_0,4_3										5.803404561161016e-07								2.014171384998497e-06														3.413223647870154e-06						4.698688422982462e-08				
sus_scrofa	5_5,21_0,4_3																				6.746738289373997e-07					2.2977920210524543e-07							1.3362945469529622e-06										
homo_sapiens	5_5,21_0,4_3					1.8873029851918746e-07			1.1186760921733358e-06		2.679304623647216e-07		2.8002628347369737e-07				1.5981256570092338e-07		1.2592726228877777e-06		8.42034186143474e-08						2.1947095758126092e-07			3.0241561837395347e-07	7.766789811056752e-07		1.2876804918601328e-06	9.088893953287533e-07				5.427005473894801e-07				9.73933673310237e-08	
rattus_norvegicus	5_5,21_0,4_3								2.5969789671188602e-06				2.039117454566196e-07								2.2660802349849288e-07														1.167286435696858e-06								
gorilla_gorilla	5_5,4_3					5.017154906915471e-08					8.76513084833058e-07								2.826337266046278e-06														5.095559090625025e-06						1.7495291186115485e-08				
sus_scrofa	5_5,4_3																				2.4987919590274067e-07						3.8224257706416475e-07						2.601304621904399e-06										
mus_musculus	5_5,4_3	3.258545560824177e-06							1.7294656643273707e-06		1.2856870347216808e-06	2.9527278894716e-08					6.303609043107106e-08				2.4888087222030885e-07					2.3089003362923684e-08									3.8156992960698884e-07								5.650495280469505e-08
homo_sapiens	5_5,4_3				7.335735723959679e-08	6.449548573187761e-08			1.6565196925661829e-06		1.0110890738863097e-06		1.3437233095482865e-07				0.0		5.29418983949113e-06		9.147467003784359e-08	1.8779859661132966e-07	1.0026821936165649e-07		1.3267575338135435e-08	0.0	1.0802486377390409e-07			8.188078727308547e-07	6.167266593880636e-07	5.575215953729714e-08	1.5936295922613692e-06	2.0690535388974193e-07	7.771380895116978e-08		5.9027467725532976e-08	6.512406568673761e-07	1.695452899275913e-08	1.4707061296928376e-08		4.1750972898566715e-08	
bos_taurus	5_5,4_3					2.3222450313129197e-08			3.542345338975637e-06				8.026692651746344e-08								2.033736847061158e-07												1.3406293862795118e-06		2.2585481989739486e-07	7.747173672872675e-08							
rattus_norvegicus	5_5,4_3					1.548208743126985e-08			3.913624014522556e-06				1.6921158063752494e-08								8.804442023359736e-08					8.808334904520072e-09	1.0545580441140014e-07								6.017873561876309e-07	4.6877226118898156e-08			2.166869445920865e-08				
mus_musculus	5_5,21_0,4_3,19_1	4.18018099550947e-06				2.395547698054487e-07			3.5129755550940884e-06		1.0098859398185802e-06	1.5747882077181868e-07	1.7192115663789668e-07				2.741074027455932e-06				5.746232032001961e-07						4.614572081584106e-07								2.4401272519541305e-06	3.95178989526224e-07			3.2310170625030075e-07				5.7005879459366e-07
bos_taurus	5_5,21_0,4_3,19_1					8.369231019399414e-07			4.5181515551600764e-06				1.9163343907552262e-06														2.6609121164601944e-06						2.8850100095014606e-06		1.532543487284011e-06	1.0835709492893749e-06			3.22914779329733e-07				
gorilla_gorilla	5_5,21_0,4_3,19_1										1.1357760432533044e-06								4.14746043255067e-06														6.167363456617718e-06						1.2671401776789438e-07				
