,path,blastula,brain,egg cell,embryo,female gonad,gastrula,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland
0,"19_1,12_1",,0.4030630462351772,,,,,0.6051597995567984,0.6805843227269864,,0.9613227409824231,0.35962168200439826,bos_taurus,0.49064978094529477,0.8952434160091207,0.6583676468041666,0.8363259868260666,,0.40817721885275987,,,,,,,,,,,,,,,,,,,,,,,,,
1,"19_1,10_1,12_1",,0.5969369537648227,,,,,0.3948402004432016,0.3194156772730135,,0.03867725901757691,0.6403783179956016,bos_taurus,0.5093502190547052,0.1047565839908792,0.3416323531958335,0.16367401317393335,,0.5918227811472402,,,,,,,,,,,,,,,,,,,,,,,,,
2,"19_1,12_0",,,,,,,0.706592976722242,0.6170847626259084,,,0.8192121025388447,gorilla_gorilla,0.7270188204793655,,,,,0.6150961253017441,0.5538236245133752,,0.6329113924050632,,,,,,,,,,,,,,,,,,,,,,
3,"19_1,10_1,12_0",,,,,,,0.293407023277758,0.3829152373740916,,,0.18078789746115528,gorilla_gorilla,0.27298117952063444,,,,,0.3849038746982559,0.4461763754866247,,0.3670886075949367,,,,,,,,,,,,,,,,,,,,,,
4,"19_1,12_1",,1.0,,,1.0,,1.0,1.0,,1.0,1.0,homo_sapiens,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,"19_1,12_1",,0.6884436826480576,,,0.6483640626874132,,0.5105551385145984,0.5187833286743075,,,0.2564211594581906,monodelphis_domestica,0.11078755974270008,,,,,,0.31275716450657765,0.533711641940806,,,,,,,,,,,,,,,,,,,,,,,
6,"19_1,10_1,12_1",,0.3115563173519424,,,0.35163593731258685,,0.48944486148540156,0.4812166713256925,,,0.7435788405418094,monodelphis_domestica,0.8892124402573,,,,,,0.6872428354934224,0.4662883580591939,,,,,,,,,,,,,,,,,,,,,,,
7,"19_1,12_1",,0.7625214953909639,,,0.9004232703522208,,0.7636921460985518,0.7916116049832471,,0.9695170023256764,0.8884974492102669,mus_musculus,0.744662619604718,0.9223720314617663,0.7789875736648524,0.8973096433434662,,,0.5983802710617353,0.9104469583893892,,0.7296603591946799,1.0,1.0,0.7058823529411764,1.0,1.0,0.9477802833518815,0.9599938861222993,,,,,,,,,,,,,,
8,"19_1,10_1,12_1",,0.23747850460903608,,,0.09957672964777918,,0.23630785390144815,0.20838839501675283,,0.030482997674323598,0.11150255078973312,mus_musculus,0.255337380395282,0.07762796853823373,0.22101242633514756,0.10269035665653377,,,0.40161972893826475,0.0895530416106109,,0.27033964080532,,,0.2941176470588236,,,0.05221971664811843,0.04000611387770064,,,,,,,,,,,,,,
9,"19_1,12_0",,0.6550719589224149,,,,,0.9262475887089187,0.8455083395987083,,0.9860012381216477,0.568241075751847,rattus_norvegicus,0.7702975792271688,0.9185038960994542,0.9323036418555678,0.8962418957744723,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"19_1,10_1,12_0",,0.3449280410775851,,,,,0.07375241129108122,0.15449166040129172,,0.013998761878352257,0.431758924248153,rattus_norvegicus,0.2297024207728312,0.08149610390054578,0.06769635814443216,0.1037581042255276,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"19_1,12_1",,,,,,,0.6013071895424836,0.3754957333267862,,,,sus_scrofa,0.11766905493396447,,0.37931034482758624,,0.39285714285714296,0.221339406119156,,,,,,,,,,,,,,,,,,,,,,,,,
12,"19_1,10_1,12_1",,,,,,,0.3986928104575164,0.6245042666732137,,,,sus_scrofa,0.8823309450660356,,0.6206896551724138,,0.607142857142857,0.778660593880844,,,,,,,,,,,,,,,,,,,,,,,,,
13,"19_1,12_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"15_0,14_0,8_0",,1.0,,,,,1.0,1.0,,1.0,1.0,bos_taurus,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,"15_0,14_0,8_0",,,,,,,,1.0,,,1.0,gorilla_gorilla,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
