TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000006260	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000006260	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000027295	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000027295	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000058286	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000058286	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000059652	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000059652	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000064102	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000006260	ENSGGOE00000063302	2_1	ENSGGOT00000064102	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000027295	ENSGGOE00000063302	2_1	ENSGGOT00000006260	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000027295	ENSGGOE00000063302	2_1	ENSGGOT00000006260	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
ENSGGOT00000027295	ENSGGOE00000063302	2_1	ENSGGOT00000027295	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE30352						4.956179851898085e-07								2.7909732696903797e-06															1.700662491131524e-07						2.7836701395846314e-07														1.0350990895894228e-05								5.195970094668348e-07				
ENSGGOT00000027295	ENSGGOE00000063302	2_1	ENSGGOT00000027295	ENSGGOE00000184837	24_0	gorilla_gorilla	13	GSE43520																									5.912567614027846e-06																																2.9741995016396324e-07				
