Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	22_0,7_2,14_0		4.642034635017944e-07	1.8657398771779713e-07	2.6312401862712626e-07	2.371896084875467e-07		1.3107497723713493e-05		5.670868128462202e-06		2.834559108012495e-07		2.3904388892267423e-07		3.313470022645842e-05	1.1502961193205651e-07	2.160054720198766e-07	5.597417644317045e-07	5.369397349896697e-07	1.7133205567487528e-07	1.4740057472455265e-07	3.3171228308187073e-07	3.829497399775464e-07	5.553989286101312e-06	1.156147961408018e-07	2.0779467509312005e-07	1.8568265481895147e-05	7.9409711439847e-07	2.5077641845730144e-07		6.548221286686081e-07	3.3647433938147774e-06	9.754302667132989e-08	3.116034691543237e-07		2.956392594663836e-07	
bos_taurus	22_0,7_2,14_0					2.7342581951363375e-07		5.1023175473314924e-05				4.936705694185496e-07					1.9457514612129745e-07					9.27799995336519e-08	5.378139783727187e-07					2.892775833456208e-05		2.0190387275856419e-07	4.54417158111105e-07			4.061197048341788e-06				
rattus_norvegicus	22_0,7_2,14_0					9.064775882484771e-08		5.895023259504001e-05				1.3698477811657828e-07					2.676752696305401e-07					2.6425004713560217e-08	1.1499899595191354e-07							1.74711508034054e-07	9.549923434046283e-08			7.80107362717225e-08				
mus_musculus	22_0,7_2,14_0	7.477889602665093e-05				5.985275596897868e-08		3.998435435024968e-05		1.5844242776531632e-05	3.5654189265369575e-06	3.631905615793818e-07	1.0936965854537404e-07	2.6107646956341255e-07	8.28392883141649e-08		1.374107628210518e-07					5.34104200455026e-08	2.269034286791077e-07				9.38512839299193e-08			6.499967737330114e-08	8.35111839511399e-08			4.7579359911686146e-07				2.507869790237222e-07
sus_scrofa	22_0,14_0					8.572716438372371e-08																8.444622907475223e-08	9.556064426604121e-08					8.633348788109846e-08										
mus_musculus	22_0,14_0	1.2193363857742863e-07				1.0614609958987604e-07		4.285284834833838e-08	0.0	8.626926625642526e-09	0.0	3.6148914712438057e-06		1.0278576280281416e-06	8.921154126140839e-08		1.686524804656842e-07					8.533923999211159e-09	6.868739341155342e-07				3.2016298898169283e-07			2.76689480558731e-07	1.9080197626787926e-07			2.1291390159828916e-07		1.030333309646225e-07		6.073391179034654e-07
homo_sapiens	22_0,14_0		2.1905156231070773e-08	7.361275445234142e-08	5.942211253292504e-08	8.185345956378801e-08		0.0						1.117921814247317e-07		3.09066006237941e-08	8.862740521852929e-07	5.335271673100648e-08	2.0626863696783518e-07	5.283086952011336e-07		5.011756327405012e-08	2.155504994312743e-07		1.0124499427623917e-07	6.252368872760407e-08	8.432333749867903e-08			1.4602770201263211e-07		1.733244984596154e-07			6.7761552352017e-08			
bos_taurus	22_0,14_0					1.5845199088978298e-07		8.003170670925149e-08				3.2270732055726893e-07					4.742397872740732e-08						1.485321335336917e-07					7.360288468924704e-08			3.231168137035018e-07			3.7484244623013426e-07				
rattus_norvegicus	22_0,14_0					1.0938144943294419e-06		6.500544330493907e-08				4.0610779353005984e-07					2.5235717693984954e-07					6.347287318356618e-08	5.587484177508963e-07							4.561311601284461e-07	3.776518240070124e-07			6.665528899206616e-08				
bos_taurus	18_0,11_0,17_0					3.1008091761776387e-07		1.0491819187251467e-05				9.198783367799139e-07					1.1760915294726604e-07					1.900977210007986e-08	3.2996110507731183e-07					6.119399279136549e-06		1.5849947111519241e-07	2.762075511330364e-07			1.958226912851233e-06				
homo_sapiens	18_0,11_0,17_0		4.056453012541699e-07	3.112278036989359e-07	1.931126326953945e-07	1.1370439002684127e-07		2.986512659478074e-06		4.0821756246461575e-06		6.07819164637778e-08		1.1411365311552211e-07		5.53094339212101e-06	1.1587288307164665e-07	1.4007708211825188e-07	3.1854961114537057e-07	4.007225581230856e-07		9.204421712547004e-08	2.712364631777756e-07	6.365604595717553e-08	9.9900016187327e-07	7.174324242210054e-08	1.1224094256278421e-07	3.248556399091656e-06	8.354151809908915e-08			3.778705773246984e-07	3.690363722248465e-06	1.3996780214113803e-07	3.0623408613454955e-07		1.07829284167644e-07	
sus_scrofa	18_0,11_0,17_0																4.9975839180548165e-08						2.8668193279812367e-07					7.516610544144234e-06										
