,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,prefrontal cortex,Ammon's horn,brown adipose tissue,cerebellum,cerebral cortex,female gonad,fibroblast,placenta,thymus,zone of skin,embryonic stem cell,adipose tissue,adrenal gland,adrenal tissue,frontal cortex,heart left ventricle,intestine,kidney,multi-cellular organism,muscle of leg,stomach,thoracic mammary gland,leukocyte,lymph node,prostate gland,temporal lobe,thyroid gland,bone marrow macrophage
0,"22_0,14_0",0.3668907896466667,0.0015660799218984289,0.3952915978246639,0.1959675629284043,,0.21640995841169045,,0.4155661687031019,0.08449934827875255,bos_taurus,0.0025379113805316447,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"22_0,7_2,14_0",0.6331092103533332,0.9984339200781016,0.6047084021753362,0.8040324370715958,1.0,0.7835900415883096,1.0,0.584433831296898,0.9155006517212475,bos_taurus,0.9974620886194683,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"22_0,14_0",0.2565592791711043,0.0,,0.8851201528025414,0.2537365114003082,0.3938701960352966,0.36800954042435874,,,homo_sapiens,,,,,,0.31864506210559396,,0.28866188959224187,,,,0.04506226662491291,0.2829227724608864,0.18422826006069523,0.0009318870836566913,0.19807349083546866,0.26927654845283033,0.4959488136551442,0.01790288240180209,0.3509836112830501,0.2092920417494851,0.178618345157276,,,,,,
3,"22_0,7_2,14_0",0.7434407208288957,1.0,1.0,0.1148798471974586,0.7462634885996917,0.6061298039647035,0.6319904595756414,,1.0,homo_sapiens,1.0,,,1.0,,0.681354937894406,,0.7113381104077581,,,,0.954937733375087,0.7170772275391135,0.8157717399393047,0.9990681129163432,0.8019265091645313,0.7307234515471697,0.5040511863448559,0.982097117598198,0.6490163887169499,0.790707958250515,0.821381654842724,1.0,1.0,1.0,1.0,1.0,
4,"22_0,14_0",0.6394387433125529,0.0010705930127905435,0.9087020934755258,0.5510380098392991,0.13776760624103232,0.7516863101257402,0.8097695643411937,0.6955626048547496,0.3091499676963012,mus_musculus,,0.0016279344183824788,,0.0005441870643726024,0.0,0.7974477748309641,0.5185185185185186,0.7733138926107612,1.0,0.7077504344387727,,,,,,,,,,,,,,,,,,
5,"22_0,7_2,14_0",0.36056125668744715,0.9989294069872096,0.09129790652447423,0.448961990160701,0.8622323937589678,0.2483136898742598,0.1902304356588063,0.3044373951452503,0.6908500323036988,mus_musculus,,0.9983720655816175,,0.9994558129356275,1.0,0.20255222516903587,0.48148148148148134,0.22668610738923872,,0.29224956556122733,1.0,,,,,,,,,,,,,,,,,
6,"22_0,14_0",0.9234692717446692,0.0011015026875381237,0.7477690079589101,0.48527198370821545,0.7060553003954179,0.829314378633534,0.723050584794861,0.7981633293307999,0.46075288838913475,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"22_0,7_2,14_0",0.07653072825533075,0.9988984973124618,0.25223099204109,0.5147280162917846,0.293944699604582,0.170685621366466,0.27694941520513905,0.20183667066920008,0.5392471116108652,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"22_0,14_0",1.0,,,,1.0,1.0,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"18_0,11_0,17_0",0.7737584691529747,0.3180498403324092,0.7637019946328982,0.6705720122583623,1.0,0.7953463675270404,0.7513524703683409,1.0,0.9201357950623595,bos_taurus,0.30605190299887236,,,,,,,,,,,,,,,,,,,,,,,,,,,
