TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												4.0161697957337216e-08																																													1.2200937781159173e-08				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												4.0161697957337216e-08																																													1.2200937781159173e-08				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												4.0161697957337216e-08																																													1.2200937781159173e-08				
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	2	GSE41637												4.0161697957337216e-08																																													1.2200937781159173e-08				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	5.1172251375906704e-08												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	5.1172251375906704e-08												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	5.1172251375906704e-08												
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE43013																																																	5.1172251375906704e-08												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						1.7437272567525176e-07						2.5496848940210814e-05				3.218758256685429e-07													9.940721405364352e-08						6.385674040963634e-08	2.512114408784367e-07																1.3823636011903664e-07	2.435593441451643e-07				1.1532098758563142e-07				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						1.5146903109462337e-07																																											1.519238042296682e-05												
