TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000084232	ENSBTAE00000491830	7_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000032743	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000068013	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000073787	ENSBTAE00000121781/ENSBTAE00000524585	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000032743	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000068013	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000073787	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE43013						0.0																																											4.991005442606149e-07												
ENSBTAT00000084232	ENSBTAE00000491830	7_0	ENSBTAT00000084232	ENSBTAE00000404454	19_0	bos_taurus	28	GSE41637						0.0						1.3125540662983815e-07				2.0749609954019487e-08													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000404454	19_0				bos_taurus	3	GSE43013																																																	0.0												
ENSBTAT00000032743	ENSBTAE00000404454	19_0				bos_taurus	3	GSE41637						0.0						0.0																																																	
ENSBTAT00000068013	ENSBTAE00000404454	19_0				bos_taurus	3	GSE43013																																																	0.0												
ENSBTAT00000068013	ENSBTAE00000404454	19_0				bos_taurus	3	GSE41637						0.0						0.0																																																	
ENSBTAT00000073787	ENSBTAE00000404454	19_0				bos_taurus	3	GSE43013																																																	0.0												
ENSBTAT00000073787	ENSBTAE00000404454	19_0				bos_taurus	3	GSE41637						0.0						0.0																																																	
ENSBTAT00000084232	ENSBTAE00000404454	19_0				bos_taurus	3	GSE43013																																																	0.0												
ENSBTAT00000084232	ENSBTAE00000404454	19_0				bos_taurus	3	GSE41637						0.0						0.0																																																	
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000032743	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000068013	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000073787	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000073787	ENSBTAE00000404454	19_0	ENSBTAT00000084232	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000084232	ENSBTAE00000404454	19_0	ENSBTAT00000032743	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000084232	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE43013						0.0																																											9.918901037720038e-08												
ENSBTAT00000084232	ENSBTAE00000404454	19_0	ENSBTAT00000068013	ENSBTAE00000453486	5_0	bos_taurus	27	GSE41637						0.0						1.784964353659432e-08				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
