Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	9_0,10_0,21_0	1.424083437122622e-06				1.5086963474499577e-06		9.993341103711229e-08	2.5069300320340535e-07	8.579355325119442e-07	1.2767703634020418e-07	4.30559413728804e-07	5.905455778943198e-08	1.9799433797434156e-06			1.0025552033325954e-07	2.753145076031234e-06	1.1470055305038219e-07			1.5171707816517699e-06					1.0936133459436782e-06	2.815750662495406e-06					6.575087174145968e-06			8.649233858443356e-07	2.88323683820646e-06			3.423632737172107e-06		7.069799680641097e-06		1.04686876668854e-06
monodelphis_domestica	9_0,10_0,21_0					2.2206127807213067e-06				7.970693697846163e-07		6.49242078335685e-07						5.006059488184685e-06				4.5998135455806634e-07					7.721137344857662e-07						3.154921544456814e-06							2.012335712396529e-06				
bos_taurus	9_0,10_0,21_0					4.1954156950823955e-06				1.5333224134025923e-06				8.435658384214097e-06								5.00083444953155e-06					1.5516723370072976e-06	4.611688625784796e-06						3.601123737829087e-06		3.5689247530008574e-06	2.735475817640983e-06			2.5338237406092893e-05				
gorilla_gorilla	9_0,10_0,21_0					3.139052010176755e-06						1.6327407908494508e-06								1.5593584916117394e-06		9.620865264210365e-07					8.680979853025259e-07							2.0249502981752558e-06						5.229123720872907e-06				
sus_scrofa	9_0,10_0,21_0					3.2638003834977142e-06																3.923103375673029e-06			6.420171933963341e-06		2.674957917310157e-06	1.017720861433339e-05						2.570309003228507e-06										
homo_sapiens	9_0,10_0,21_0		1.3447048731387739e-06	1.4903541292896947e-06	4.681064406184236e-06	3.0193553516442776e-06				2.0103110693148848e-06		1.2627384524953113e-06		9.80441788897314e-07				2.831414755454332e-06		2.1991568984422852e-06		1.742854983427069e-06	6.47477005475517e-06	2.4473620923788746e-06	3.2704438622684524e-06	3.2549837771122396e-06	6.695647948856897e-07	2.47424488853916e-06	1.6339899496454016e-06		6.082989536421057e-06	2.239540312028882e-06	6.280367427168882e-06	2.206140573745845e-06	2.106123678611405e-06	4.1201556143205e-06		3.0368075016722514e-06	5.427005473894802e-07	3.2726766031105843e-06	9.074462800715466e-07		1.5408812010964506e-06	
rattus_norvegicus	9_0,10_0,21_0					2.4321807170008085e-06				2.054814233664969e-06				3.4190421097912478e-06								1.657024969820026e-06					1.1282273704874586e-06	3.87079652562481e-06								1.279728753587225e-06	2.752101072836833e-06			4.0977124824130725e-06				
gorilla_gorilla	9_0,21_0											1.1562587767267786e-07															4.09533262721608e-08													1.7495291186115485e-08				
homo_sapiens	9_0,21_0				4.972016991171983e-08					1.796889010119001e-08								1.3988072482498748e-08							4.463156774719394e-08						3.930800506730194e-08	6.316374222712382e-08	5.4361963151830496e-08											
xenopus_tropicalis	9_0,21_0																				1.0576566263438019e-07																							
mus_musculus	22_0,1_0,12_1	6.886726051424213e-07				2.222768111579596e-06		1.4990011655566842e-07	5.139206565669809e-07	7.434512345765853e-07	4.2559012113401394e-08	4.1493809013707586e-07	3.6909098618395e-08	1.2574036763548935e-06			2.4608173172709157e-07	3.4959799470423663e-06	8.921154126140835e-08			4.4385963273189416e-07					7.427277804505166e-07	2.747913692550078e-06					9.348765565398082e-06			2.0169879695624372e-07	3.442515751548213e-06			6.869477263374739e-06		6.8020491111348665e-06		1.4099914243751988e-06
bos_taurus	22_0,1_0,12_1					4.069654671654048e-06				1.4042804121372803e-06				9.029793521836735e-06								4.612952670782357e-07					8.38403812911599e-07	3.9732597668132775e-06						2.7679969067832963e-06		6.660616138126462e-07	5.83101762197361e-06			1.4998422779458121e-05				
gorilla_gorilla	22_0,1_0,12_1					2.5446153032240723e-06						2.4236400013043573e-06								1.055815645362115e-06		4.719801422182346e-07					1.1756586948164323e-06							1.92360906128925e-06						7.596517595090757e-06				
sus_scrofa	22_0,1_0,12_1					1.7823131344810995e-06																6.371919495519892e-07			2.550479261437492e-06		6.588773483686092e-07	4.348009314104875e-06						8.727074548313095e-07										
homo_sapiens	22_0,1_0,12_1		1.2612294419913786e-06	1.5379382941883347e-06	9.429978384555793e-07	2.0466782716251568e-06				5.201658403245897e-07		6.153529399892273e-07		1.1033256775419808e-06				1.922168940749273e-06		3.1797349606915993e-07		3.4517337728276187e-07	8.01336925331782e-07	9.038777561519026e-07	1.5536907005297194e-06	4.4811867839727635e-06	6.467788638158009e-07	1.5695234361210243e-06	2.130260828360419e-06		3.2756377616769916e-06	1.7341491978818413e-07	3.1816779041202785e-06	8.336589722643522e-07	3.247948113338645e-06	2.549919601836796e-07		1.7838706657423674e-06	3.2562032843368807e-07	3.805671394825163e-06	4.935704289169412e-07		9.321425198752007e-07	
rattus_norvegicus	22_0,1_0,12_1					2.9249398028177823e-06				1.1459448292348488e-06				1.9697942145154294e-06								7.749416811989751e-07					8.716892504217083e-07	4.763508531497907e-06								3.643214306651129e-07	3.6440653008203483e-06			1.8067958406891057e-06				
mus_musculus	22_0,12_1	4.7312101911592994e-07				5.103479823368376e-07			1.5041580192204318e-07	6.414839369518486e-07	4.2559012113401394e-08	4.4913027809728e-07	7.381819723679003e-08	3.375608710935668e-06			1.0936965854537404e-07	9.570328012906612e-07	2.6763462378422515e-07			1.192624405742942e-06					4.076607667510246e-07	1.2813177712031019e-06					1.4593904948009618e-06			1.0912744966129199e-06	3.65464928953434e-07			1.6762739034698371e-06		6.404799372520763e-07		3.9411603862469306e-07
monodelphis_domestica	22_0,12_1					9.855783121291942e-07				1.0095104408367427e-07		3.4467200839345274e-07						3.895152021703721e-07				6.465973050397933e-07					5.580313553773038e-07						5.713616323793666e-07							1.3685313752128436e-07				
xenopus_tropicalis	22_0,12_1						3.619720867251127e-06			1.346622961698127e-07					1.803344018793525e-07	4.85285648840792e-06		1.8400001008710803e-06			4.446936838196053e-06	9.796209463885205e-07					6.834098129412335e-07			1.189286052648348e-06						7.74379949134853e-07				1.5564688734917053e-06				
bos_taurus	22_0,12_1					1.358776226766219e-06				8.173506115731446e-07				3.4302620598815675e-06								3.980576849605131e-06					1.1877968634868316e-06	8.484010356925336e-07						2.6525171544964576e-06		2.06834651987787e-06	3.1407544385791934e-07			2.134942219490947e-06				
gorilla_gorilla	22_0,12_1					2.551822873177341e-06						8.476066154148886e-07								1.8192515735470305e-06		8.34796865228011e-07					4.5435071223652403e-07							2.4563999260245524e-06						9.397376845964928e-08				
sus_scrofa	22_0,12_1					2.971406721258393e-06																3.498308742638373e-06			2.198689018480598e-06		1.5851802487289532e-06	3.4401831935774863e-06						2.287810981725582e-06										
