,path,gastrula,Species,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adrenal tissue,multi-cellular organism,muscle of leg,adipose tissue,adrenal gland,heart left ventricle,intestine,leukocyte,lymph node,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland,blastula,egg cell,embryo,mesonephros
0,"9_0,10_0,21_0",,bos_taurus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"9_0,21_0",,gorilla_gorilla,,,,,0.045050621181350246,,,,0.003334583880762766,,,0.06613365477300873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"9_0,10_0,21_0",,gorilla_gorilla,1.0,,,1.0,0.9549493788186497,,,,0.9966654161192372,,1.0,0.9338663452269912,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"9_0,21_0",,homo_sapiens,,0.008859176475008463,,,,,,,,0.01346321333840156,,,0.004916025367361197,0.008581576228795825,,,,,,,,,,,0.01050992052416621,0.006420466303855265,0.027430247543265722,,,,,,,,,,,,,,,
4,"9_0,10_0,21_0",,homo_sapiens,1.0,0.9911408235249916,1.0,1.0,1.0,1.0,1.0,,1.0,0.9865367866615985,1.0,1.0,0.9950839746326388,0.9914184237712041,1.0,,,,,,,,,,0.9894900794758339,0.9935795336961447,0.9725697524567343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
5,"9_0,10_0,21_0",,monodelphis_domestica,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"9_0,10_0,21_0",,mus_musculus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7,"9_0,10_0,21_0",,rattus_norvegicus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"9_0,10_0,21_0",,sus_scrofa,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"9_0,21_0",1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"22_0,12_1",,bos_taurus,0.2503073636180278,0.36790565258134467,0.2753007029049318,0.89614845836159,0.586218767628752,0.1759561840707709,0.7564147042988456,0.051109957244466875,0.12460729224071868,,0.4893478966218589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"22_0,1_0,12_1",,bos_taurus,0.7496926363819723,0.6320943474186553,0.7246992970950682,0.10385154163841015,0.4137812323712481,0.824043815929229,0.24358529570115442,0.9488900427555331,0.8753927077592814,,0.510652103378141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"22_0,12_1",,gorilla_gorilla,0.5007071183544071,,,0.638821207039297,0.27874115957280665,,,,0.012219475195700004,,0.5608207501717999,0.25910813666043886,,,0.6327683615819211,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"22_0,1_0,12_1",,gorilla_gorilla,0.499292881645593,,,0.36117879296070304,0.7212588404271933,,,,0.9877805248043,,0.43917924982820006,0.7408918633395611,,,0.36723163841807893,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"22_0,12_1",,homo_sapiens,0.4489472590378337,0.8193845861651753,0.26485355549717465,0.8169771707481069,0.37953038650874293,0.3647656653304005,0.9390595351496357,,0.10938956541227744,0.4142663069326584,0.8215301326424989,0.5351332991493081,0.22068880398028054,0.3236547943098178,0.8166231779164101,,,,,,,,,,0.7451604707144263,0.38189595965210976,0.9178455014247922,0.3112289238629019,0.3831661097795828,0.8482377697053672,0.42370098328989714,0.02273073610679577,0.07395113235552038,0.13645845221468164,0.35016467437747184,0.8,0.5766140760935402,0.4346095048826644,,,,
15,"22_0,1_0,12_1",,homo_sapiens,0.5510527409621664,0.1806154138348247,0.7351464445028254,0.18302282925189303,0.620469613491257,0.6352343346695996,0.06094046485036429,,0.8906104345877226,0.5857336930673416,0.17846986735750112,0.4648667008506918,0.7793111960197195,0.6763452056901822,0.1833768220835898,,,,,,,,,,0.25483952928557374,0.6181040403478901,0.08215449857520794,0.6887710761370981,0.6168338902204171,0.15176223029463276,0.5762990167101028,0.9772692638932043,0.9260488676444796,0.8635415477853183,0.6498353256225281,0.19999999999999996,0.42338592390645985,0.5653904951173356,,,,
16,"22_0,12_1",,monodelphis_domestica,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"22_0,12_1",,mus_musculus,0.18672751716358,0.46318697809074916,0.7285991119289371,0.7287724033376086,0.3543678939978223,0.31800550123014526,0.8440038955487874,0.09597341993481155,0.19615290344204847,,,0.519785580179305,0.2149180465851852,0.13502677854321116,,0.4072332721036871,,0.2264150943396226,0.5,0.6666666666666667,0.3076923076923077,0.75,0.08605676015344417,0.2184548574336875,,,,,,,,,,,,,,,,,,
18,"22_0,1_0,12_1",,mus_musculus,0.81327248283642,0.5368130219092508,0.2714008880710629,0.2712275966623913,0.6456321060021776,0.6819944987698547,0.1559961044512127,0.9040265800651885,0.8038470965579516,,,0.480214419820695,0.7850819534148148,0.8649732214567889,,0.5927667278963129,1.0,0.7735849056603773,0.5,0.33333333333333326,0.6923076923076923,0.24999999999999992,0.9139432398465558,0.7815451425663125,,,,,,,,,,,,,,,,,,
19,"22_0,12_1",,rattus_norvegicus,0.10098488292193841,0.3902123074865228,0.5364676685033282,0.49413469769598123,0.2737646382440778,0.2101316320310956,0.639082580570768,0.13036681481301504,0.48843201043609474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"22_0,1_0,12_1",,rattus_norvegicus,0.8990151170780617,0.6097876925134772,0.4635323314966718,0.5058653023040187,0.7262353617559221,0.7898683679689045,0.3609174194292319,0.869633185186985,0.5115679895639053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"22_0,12_1",,sus_scrofa,0.6250698003734506,,,0.8459214501510575,0.706390179458498,0.44171779141104317,,,,0.46296296296296313,0.7238720569584628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"22_0,1_0,12_1",,sus_scrofa,0.3749301996265494,,,0.15407854984894256,0.29360982054150186,0.5582822085889568,,,,0.537037037037037,0.2761279430415372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"22_0,12_1",1.0,xenopus_tropicalis,,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
24,"6_0,20_0,8_0,3_0",,bos_taurus,0.6084469123368986,0.5642946283889526,0.5600911449672042,1.0,0.5972965347456475,0.6056510057068146,0.6044912243881096,0.552458508841334,0.6238242378349147,,0.6295631443628146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6_0,8_0,3_0",,bos_taurus,0.3915530876631013,0.43570537161104733,0.43990885503279575,,0.4027034652543524,0.39434899429318543,0.39550877561189035,0.4475414911586659,0.37617576216508525,,0.3704368556371855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"6_0,20_0,8_0,3_0",,gorilla_gorilla,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6_0,20_0,8_0,3_0",,homo_sapiens,1.0,1.0,1.0,0.751328757375971,1.0,1.0,1.0,,0.6866765085487718,0.8262758525771574,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.7175576104488071,1.0,1.0,0.5606012599382696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
28,"6_0,20_0,3_0",,homo_sapiens,,,,0.24867124262402895,,,,,0.31332349145122823,0.17372414742284262,,,,,,,,,,,,,,,,,0.2824423895511929,,,0.43939874006173035,,,,,,,,,,,,
29,"6_0,8_0,3_0",,mus_musculus,0.39660914602375885,0.3942795849561347,0.3706620034565804,0.35367626165155747,0.33483618881813193,0.1961631202462693,0.400499706245651,0.36297105728153983,0.4383873740108023,,,,0.4181800198587971,0.3941239226891316,,0.3492240231085605,,,,,,0.511520737327189,0.23344861002316958,0.4062143872792707,,,,,,,,,,,,,,,,,,
