Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	female gonad	fibroblast	frontal cortex	heart	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
monodelphis_domestica	24_0,20_1,14_0						1.771753187061527e-07		3.4604834497712713e-07										7.712993347157589e-08												3.212846182498128e-07				
bos_taurus	24_0,20_1,14_0					1.379751800804423e-07	1.7408320622410122e-07								2.8074069687943486e-08				4.728584351948507e-08	2.7577163812507246e-07					6.287800122332131e-07		6.410844002464709e-08	8.363307776237556e-08			4.27032822340571e-08				
gorilla_gorilla	24_0,20_1,14_0													8.121658810477811e-08											1.94629491318255e-07						6.441875375021862e-08				
sus_scrofa	24_0,20_1,14_0														2.123973165173297e-07		1.7589512147844777e-07			1.9112128853208245e-07					2.2240774647873722e-07										
ornithorhynchus_anatinus	24_0,20_1,14_0					7.049548314290857e-08	1.6966458023307844e-07		1.8302614290277888e-07			7.273411237871316e-08																			3.363290385011994e-08				
rattus_norvegicus	24_0,20_1,14_0					7.045773604291305e-08	3.129053615044513e-07								9.530463805218905e-08					4.2985443400410784e-07							1.7690098729679318e-08	2.712085311461645e-08			1.8044722673350523e-07				
mus_musculus	24_0,14_0	2.295539386387569e-06				1.4680166804031674e-07	1.2954855868863867e-06		1.322778830605931e-06	1.18109115578864e-07	1.2976525594963966e-08	2.0994686404407142e-07			6.213607499092252e-08				7.847992045383762e-08	2.6720450625398023e-07							3.0587690945229195e-08	2.6295842395225277e-08			3.94001655894146e-07		6.529283958059673e-08		4.3243638048252274e-08
monodelphis_domestica	24_0,14_0						5.7551600258553614e-08		3.48342239283251e-07										9.130163042459099e-08												7.109292618955871e-07				
bos_taurus	24_0,14_0					3.5866868821966537e-07	2.982045782724647e-06				1.78946088115274e-07				2.8074069687943483e-08				6.995474437894844e-08	4.952566782852426e-07					3.974555773219341e-06			7.688246267456999e-08			3.2175225822890347e-07				
gorilla_gorilla	24_0,14_0					2.2119884168489229e-07			2.560196245622147e-06					1.2669787744345385e-06	4.7643243580608924e-08				8.190665254432164e-08						2.8829776299939036e-06						4.4562255192017306e-07				
sus_scrofa	24_0,14_0					4.0950728915934154e-07									9.995167836109632e-08		4.397378036961194e-07		1.4363968669837428e-07	1.5289703082566596e-06					3.4063972937717316e-06										
ornithorhynchus_anatinus	24_0,14_0					7.049548314290857e-08	1.5962472864918066e-07		3.546264759508264e-07			3.9347012653199505e-07			9.741394233153063e-08																4.3193436482301933e-07				
homo_sapiens	24_0,14_0			1.155029733243135e-07	2.3064269273763304e-06	1.2427278073363187e-07	1.4245294588157292e-06		1.8503841913148166e-06			1.6171687621908496e-07		9.116493050629769e-07	5.816846498478135e-08	2.978843816785734e-07	4.51754185858577e-07	1.978672063511461e-07		1.6853936263827237e-07	1.487841399586996e-07	9.202335004329862e-08	6.386308498518158e-08	5.4361963151830496e-08	1.2683598162621653e-06	6.668962258478898e-08			3.2299795715343517e-07	2.1708021895579204e-07	1.6510668335160442e-07	1.6380881550086265e-07		6.259723713950875e-08	
rattus_norvegicus	24_0,14_0					1.1047874391775799e-07	2.339143535173407e-06				6.306532762294068e-08				3.459215930657942e-08				8.808334904520072e-09	1.2419150232123785e-07								3.0301484221293e-08			1.7159612973505394e-06				
gorilla_gorilla	9_0,8_1,6_0								1.0041437638235459e-06					8.121658810477811e-07											1.2818424190907903e-06										
homo_sapiens	9_0,8_1,6_0				1.6254358606260268e-07		1.4701388040049393e-06		1.7010945781361431e-06					2.7892865873667804e-06		1.5626801948619034e-07	1.5058472861952568e-07					7.554687770024888e-07	3.384315336424297e-08		1.0879451321906362e-06				2.0573192704753102e-07	3.2562032843368807e-07					
