,path,adult mammalian kidney,brain,colon,heart,liver,lung,spleen,testis,skeletal muscle tissue,Species,kidney,prefrontal cortex,cerebellum,female gonad,frontal cortex,thymus,Ammon's horn,cerebral cortex,zone of skin,adrenal tissue,thoracic mammary gland,adrenal gland,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,placenta,prostate gland,stomach,thyroid gland,brown adipose tissue,fibroblast,adipose tissue,temporal lobe
0,"21_0,24_0,20_1,14_0",0.3732923050925685,0.2742779907423107,,0.46127241879221825,0.4291747893395038,0.41355209003827015,0.4948684938316089,0.3195511848982816,1.0,bos_taurus,,0.30925029176119356,,,,,,,,,,,,,,,,,,,,,,,
1,"21_0,24_0,14_0",0.6267076949074315,0.7257220092576893,1.0,0.5387275812077817,0.5708252106604962,0.5864479099617298,0.5051315061683912,0.6804488151017184,,bos_taurus,,0.6907497082388064,,,,,,,,,,,,,,,,,,,,,,,
2,"21_0,24_0,20_1,14_0",,,,,,,,0.2998097332208076,,gorilla_gorilla,,0.26955984729417265,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,
3,"21_0,24_0,14_0",1.0,,,1.0,,,,0.6398782438100876,,gorilla_gorilla,,0.7304401527058273,1.0,,0.7142857142857143,,,,,,,,,,,,,,,,,,,,
4,"21_0,14_0",,,,,,,,0.06031202296910476,,gorilla_gorilla,,,,,,,,,,,,,,,,,,,,,,,,,
5,"21_0,14_0",,,,0.45829706043662727,,0.19410156843304469,,0.4508029075398621,,homo_sapiens,,0.10443774441888362,,0.2308113890249065,0.054651584082498476,,,,,0.041460531376608635,1.0,,,,,,,,,,,,,,
6,"21_0,24_0,14_0",1.0,1.0,,0.5417029395633728,,0.8058984315669554,,0.549197092460138,,homo_sapiens,1.0,0.8955622555811164,1.0,0.7691886109750934,0.9453484159175015,,,,,0.9585394686233915,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
7,"21_0,24_0,20_1,14_0",,0.5407960563199916,,,0.4780414110840276,,,0.3920990763964805,,monodelphis_domestica,,,0.41977352545478125,,,,,,,,,,,,,,,,,,,,,,
8,"21_0,24_0,14_0",,0.4592039436800084,,,0.5219585889159725,,,0.6079009236035195,,monodelphis_domestica,,,0.5802264745452188,,,,,,,,,,,,,,,,,,,,,,
9,"21_0,14_0",0.05838154084525402,0.00940294208390537,,,,0.09734340792195817,0.3623539375928323,0.07072413387857533,0.21067797451149853,mus_musculus,,,,0.10932149091023878,,0.44348756215940055,,,,,,,,,,,,,,,,,,,
10,"21_0,24_0,14_0",0.941618459154746,0.9905970579160946,1.0,1.0,1.0,0.9026565920780418,0.6376460624071677,0.9292758661214245,0.7893220254885015,mus_musculus,,,1.0,0.8906785090897612,,0.5565124378405996,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11,"21_0,24_0,14_0",0.5,0.5712948201839426,,1.0,,,,0.7453467867243351,,ornithorhynchus_anatinus,,,0.5984673016251397,0.6977283317337469,,,,,,,,,,,,,,,,,,,,,
12,"21_0,24_0,20_1,14_0",0.5,0.42870517981605744,,,,,,0.2546532132756648,,ornithorhynchus_anatinus,,,0.4015326983748604,0.3022716682662531,,,,,,,,,,,,,,,,,,,,,
13,"21_0,24_0,20_1,14_0",0.423166321392829,0.3087069888313669,,0.5704828838869601,,0.5689888743345206,0.4328685372344225,0.3003913053052309,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
14,"21_0,24_0,14_0",0.5768336786071709,0.6912930111686332,1.0,0.4295171161130398,1.0,0.4310111256654793,0.5671314627655776,0.699608694694769,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
15,"21_0,24_0,20_1,14_0",,,,0.5289256198347108,,0.2900763358778626,,,,sus_scrofa,0.380952380952381,0.2908213176523898,,,,,,,,,,,,,,,,,,,,,,,
16,"21_0,24_0,14_0",1.0,,,0.4710743801652892,1.0,0.7099236641221374,,,,sus_scrofa,0.6190476190476191,0.7091786823476102,,,,,,,,,,,,,,,,,,,,,,,
17,"9_0,6_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,"9_0,6_0",1.0,,,1.0,1.0,,,1.0,,gorilla_gorilla,,0.09273720742678636,0.1609027375287393,,0.21875000000000003,,,,,,,,,,,,,,,,,,,,
19,"9_0,8_1,6_0",,,,,,,,,,gorilla_gorilla,,0.9072627925732136,0.8390972624712607,,0.78125,,,,,,,,,,,,,,,,,,,,
20,"9_0,6_0",1.0,0.2051262908458662,1.0,1.0,,1.0,,1.0,,homo_sapiens,0.6380081203755906,0.1963337544761084,0.024433388485442593,1.0,0.09802337178454733,,,,,0.9232143489263026,1.0,1.0,0.5751309087909885,1.0,1.0,0.39857423696624034,0.6339531823238369,1.0,1.0,0.7676237646035701,1.0,,,1.0,
21,"9_0,8_1,6_0",,0.7948737091541338,,,,,,,,homo_sapiens,0.3619918796244094,0.8036662455238917,0.9755666115145575,,0.9019766282154527,,,,,0.0767856510736974,,,0.4248690912090115,,,0.6014257630337597,0.3660468176761631,,,0.23237623539642996,,,,,1.0
22,"9_0,6_0",1.0,1.0,,,,,,1.0,,monodelphis_domestica,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,
23,"9_0,6_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mus_musculus,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,
24,"9_0,6_0",,1.0,,1.0,,,,1.0,,ornithorhynchus_anatinus,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
25,"9_0,6_0",1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
26,"9_0,6_0",1.0,,,1.0,1.0,1.0,,,,sus_scrofa,,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,"2_0,1_0,1_1,1_4",1.0,1.0,1.0,,,,,,,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,"2_0,1_4",,,,,,,,,,gorilla_gorilla,,0.02209065979803918,0.025563129299337357,,0.04819277108433735,,,,,,,,,,,,,,,,,,,,
29,"2_0,1_0,1_1,1_4",,,,,,,,1.0,,gorilla_gorilla,,0.9779093402019607,0.9744368707006625,,0.9518072289156626,,,,,,,,,,,,,,,,,,,,
30,"2_0,1_4",,0.035112300755126225,,,,,,,,homo_sapiens,,,0.022153818134515762,,,,,,,0.053229851148481666,,,,,,,,,,,,,,,
31,"2_0,1_0,1_1,1_4",,0.9648876992448737,1.0,1.0,,1.0,,1.0,,homo_sapiens,1.0,1.0,0.9778461818654843,,1.0,,,,,0.9467701488515183,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0
32,"2_0,1_0,1_1,1_4",1.0,1.0,,,,,,1.0,,ornithorhynchus_anatinus,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
33,"2_0,1_0,1_1,1_4",,,,,,,,,,sus_scrofa,,1.0,,,,,,,,,,,,,,,,,,,,,,,
