TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_0	bos_taurus	29	GSE41637						1.6180576319829687e-07						1.7340410194192505e-07				8.477215718956117e-07													1.1873494089402451e-07						3.3579350796592305e-07	3.671499103237556e-06																1.8115510416158598e-07	2.1916070221663558e-06				2.001396307183649e-07				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_0	bos_taurus	29	GSE43013						2.130157522165728e-07																													1.6379701127783372e-07														9.918901037720038e-08												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0				bos_taurus	1	GSE41637																																				7.927696448714385e-08																									
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1				bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	bos_taurus	29	GSE41637						2.2081762630151014e-07						2.6075934751726897e-07				7.879727119415132e-07													1.251849105738458e-07						4.327394221663542e-07	3.3815144010388705e-06																2.564337600985885e-07	2.979332797589032e-06				9.944501810100634e-08				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	bos_taurus	29	GSE43013						1.7829029121321197e-07																													3.2274271211739536e-07														2.0153351312901378e-07												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	2	GSE41637																1.1466703788209064e-08																																					7.629318862041316e-08								
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	28	GSE41637						3.2073333203774993e-07						2.537740419856232e-07				7.944853229024882e-07													1.0840959536316023e-07						3.831314275119221e-07	3.860080643045351e-06																7.430770412050741e-08	4.373752949219267e-06				1.4766084789026232e-07				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	28	GSE43013						2.934795325723386e-07																													2.623882175448485e-07														3.2946414156878053e-07												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_0	bos_taurus	5	GSE41637												1.338723265244574e-08				2.2933407576418128e-08																				5.582325110440179e-08																	3.8735868364363366e-08								
