TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_0	bos_taurus	29	GSE43013						0.0																													0.0														7.360288468924702e-08												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_0	bos_taurus	29	GSE41637						6.883202613553238e-08						2.2214824685601915e-08				5.979117440155188e-08													3.22498483991064e-09						1.6897575200070986e-08	4.617766243927529e-07																0.0	5.049394195997994e-07				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	2_0				bos_taurus	1	GSE41637																																				0.0																									
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1				bos_taurus	1	GSE41637																																			0.0																										
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	bos_taurus	29	GSE41637						3.870408385521533e-09						0.0				3.986078293436792e-08													0.0						8.448787600035493e-09	1.76171032193653e-08																0.0	5.164782448581782e-08				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	12_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	2	GSE41637																0.0																																					0.0								
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	bos_taurus	28	GSE41637						0.0						0.0				1.7200055682313596e-08													0.0						2.3668959772999523e-08	0.0																0.0	2.326271506309405e-08				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	13_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_0	bos_taurus	5	GSE41637												0.0				0.0																				0.0																	0.0								
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	11_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000295396	7_1	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000295396	7_1	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	9_1				bos_taurus	1	GSE41637						0.0																																																							
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000295396	7_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000295396	7_1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	4.404275804841325e-09																0.0	0.0				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127144	14_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127144	14_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127135	6_0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127147	8_0	bos_taurus	1	GSE41637																																																					0.0								
