gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
FMR1	2_0	I	14_0,2_0,2_1,2_2,2_3	14_0,2_3	homo_sapiens,mus_musculus	homo_sapiens,sus_scrofa,mus_musculus	[9.80588463614375e-07, 4.55163891866766e-07]	[2.837858711063252e-06, 1.670306865477207e-07, 4.233712454548879e-06]		
FMR1	2_0	I	1_2,2_0,2_1,2_2,2_3	1_2,2_3	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	homo_sapiens,sus_scrofa,mus_musculus	[7.661031121680494e-05, 1.9411523464869454e-05, 1.814259382186959e-05, 2.0457657910417857e-05, 8.900751708848682e-06, 6.795324905274732e-05, 0.00013653693973817016]	[3.276298319071056e-05, 5.252592142051004e-06, 3.3879537469751314e-05]	ENSBTAT00000016665,ENSBTAT00000073017,ENSBTAT00000074884,ENSDART00000123434,ENST00000218200,ENST00000370475,ENST00000439526,ENST00000463120,ENST00000621453,ENSGGOT00000010418,ENSGGOT00000022424,ENSMMUT00000055789,ENSMMUT00000061414,ENSMODT00000007006,ENSMUST00000088546,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000035645,ENSSSCT00000036178,ENSSSCT00000036460,ENSXETT00000042520	ENST00000440235,ENSMMUT00000022215,ENSMUST00000114653,ENSSSCT00000013914
FMR1	2_0	E	14_0,2_0,2_1,2_2,2_3	14_0,1_1,1_2,2_3	homo_sapiens,mus_musculus	homo_sapiens,sus_scrofa,mus_musculus	[9.80588463614375e-07, 4.55163891866766e-07]	[0.00014687046297684952, 1.4376303091875287e-05, 0.00011935150230891201]		ENST00000440235,ENSMMUT00000022215,ENSMUST00000114653,ENSSSCT00000013914
FMR1	4_1	I	15_0,4_1,4_2	15_0,4_2	mus_musculus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	gorilla_gorilla,sus_scrofa,mus_musculus,ornithorhynchus_anatinus	[0.00022161052005840152, 2.594666221138887e-05, 7.4034860813046525e-06, 7.599671342032784e-05, 0.00013612985413054374]	[2.594666221138887e-05, 7.4034860813046525e-06, 0.00022161052005840152, 7.599671342032784e-05]	ENST00000439526,ENSGGOT00000022424,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000087893,ENSRNOT00000089743,ENSSSCT00000036460	
FMR1	7_1	I	10_1,7_1,22_0,14_0	10_1,14_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	monodelphis_domestica,homo_sapiens,ornithorhynchus_anatinus	[0.00010225087204994513, 5.088095396424247e-06, 1.9042694618212746e-05, 6.697790062539981e-06, 9.608448804127117e-06, 2.2353073381075553e-05, 6.466746032023215e-05]	[8.301015437627189e-06, 9.478070022389244e-07, 7.992317190947021e-06]	ENSBTAT00000073017,ENSBTAT00000074884,ENST00000370475,ENSGGOT00000010418,ENSGGOT00000063696,ENSMMUT00000047747,ENSMMUT00000055789,ENSMODT00000007006,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000036460	ENSDART00000123434,ENST00000621453,ENSGGOT00000054980,ENSMMUT00000022213,ENSXETT00000042153,ENSXETT00000042520
FMR1	7_1	I	10_1,7_1,14_0	10_1,14_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	monodelphis_domestica,homo_sapiens,ornithorhynchus_anatinus	[0.00014168416127068194, 1.490296671904583e-06, 2.6964591297537055e-05, 1.5110846901426988e-05, 1.5951664141621683e-05, 8.319039745624534e-06, 0.00014368341969835796]	[8.301015437627189e-06, 9.478070022389244e-07, 7.992317190947021e-06]	ENSBTAT00000016665,ENST00000218200,ENST00000439526,ENST00000440235,ENSGGOT00000022424,ENSMMUT00000022215,ENSMMUT00000061414,ENSRNOT00000087893,ENSSSCT00000013914,ENSSSCT00000035645,ENSSSCT00000036178	ENSDART00000123434,ENST00000621453,ENSGGOT00000054980,ENSMMUT00000022213,ENSXETT00000042153,ENSXETT00000042520
FMR1	7_1	I	10_1,7_1,22_0	10_1,22_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	monodelphis_domestica,ornithorhynchus_anatinus	[0.00012691646246823317, 3.5525336898019513e-06, 2.148194625247471e-05, 9.356697801837226e-06, 1.2594830551535467e-05, 1.5589558903353336e-05, 8.940264465107709e-05]	[9.011308602731012e-06, 1.10785160204786e-05]	ENSBTAT00000073017,ENSBTAT00000074884,ENST00000370475,ENSGGOT00000010418,ENSGGOT00000063696,ENSMMUT00000047747,ENSMMUT00000055789,ENSMODT00000007006,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000036460	
FMR1	7_1	E	10_1,7_1,14_0	10_1,22_0,14_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	monodelphis_domestica,ornithorhynchus_anatinus	[0.00014168416127068194, 1.490296671904583e-06, 2.6964591297537055e-05, 1.5110846901426988e-05, 1.5951664141621683e-05, 8.319039745624534e-06, 0.00014368341969835796]	[8.585263706199924e-06, 2.3479309178499294e-05]	ENSBTAT00000016665,ENST00000218200,ENST00000439526,ENST00000440235,ENSGGOT00000022424,ENSMMUT00000022215,ENSMMUT00000061414,ENSRNOT00000087893,ENSSSCT00000013914,ENSSSCT00000035645,ENSSSCT00000036178	
FMR1	4_0	I	15_0,4_0,4_1	15_0,4_1	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	gorilla_gorilla,sus_scrofa,mus_musculus,ornithorhynchus_anatinus,homo_sapiens	[3.1780854933481245e-05, 2.1691280014269265e-05, 1.2971646895980056e-05, 6.8542979290509255e-06, 0.00011935202665326447]	[2.594666221138887e-05, 7.4034860813046525e-06, 0.00022161052005840152, 7.599671342032784e-05, 0.00013612985413054374]	ENSBTAT00000016665,ENSBTAT00000073017,ENSBTAT00000074884,ENST00000218200,ENST00000370475,ENST00000440235,ENSGGOT00000010418,ENSGGOT00000054980,ENSMMUT00000022213,ENSMMUT00000055789,ENSMMUT00000061414,ENSMODT00000007006,ENSSSCT00000013914,ENSSSCT00000034989,ENSSSCT00000035645,ENSXETT00000042153,ENSXETT00000042520	ENST00000439526,ENSGGOT00000022424,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000087893,ENSRNOT00000089743,ENSSSCT00000036460
FMR1	4_0	I	15_0,4_0,4_1,4_2	15_0,4_2	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	gorilla_gorilla,sus_scrofa,mus_musculus,ornithorhynchus_anatinus	[3.1780854933481245e-05, 2.1691280014269265e-05, 1.2971646895980056e-05, 6.8542979290509255e-06, 0.00011935202665326447]	[2.594666221138887e-05, 7.4034860813046525e-06, 0.00022161052005840152, 7.599671342032784e-05]	ENSBTAT00000016665,ENSBTAT00000073017,ENSBTAT00000074884,ENST00000218200,ENST00000370475,ENST00000440235,ENSGGOT00000010418,ENSGGOT00000054980,ENSMMUT00000022213,ENSMMUT00000055789,ENSMMUT00000061414,ENSMODT00000007006,ENSSSCT00000013914,ENSSSCT00000034989,ENSSSCT00000035645,ENSXETT00000042153,ENSXETT00000042520	
