Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	14_0,2_0,2_1,2_2,2_3																									2.255487807483023e-07			1.1316630392386761e-07		3.8891168488224174e-08												4.86985100535332e-08	
mus_musculus	14_0,2_0,2_1,2_2,2_3					7.118727706814347e-08				3.358423382537877e-08																	2.498831197732184e-08						5.815706088138696e-08									3.6925708032499286e-08		
homo_sapiens	14_0,2_3		5.120090031235639e-08	6.608885681116005e-08	4.508940530185576e-08	5.4144677610677687e-08								8.032557669848197e-08				3.021614880317158e-08		9.27198018713823e-08				8.765425724894132e-08	4.4631567747193945e-08	1.3267575338135434e-08		4.955037739797193e-08			7.155315940244887e-08	4.78019599268171e-08	1.080808133814652e-07		7.988395520726446e-08					1.3643574389460958e-08			1.6695275272966954e-07	
sus_scrofa	14_0,2_3																										8.444622907475223e-08							8.258445747296845e-08										
mus_musculus	14_0,2_3	1.8184347118305357e-07				2.427808827865108e-08				1.996044130975832e-07			2.9527278894716e-08	1.1326284593786088e-08				1.4306814384334427e-08									1.50050748308971e-08	7.811869017490091e-08					2.3775479092174968e-07				7.3574661425882514e-09					9.743526861307716e-08		3.151625817835477e-08
mus_musculus	1_2,2_0,2_1,2_2,2_3	9.978550844077893e-07				5.62160304675204e-07				7.090230579911051e-07	4.255901211340138e-08	2.877414986329726e-07	2.9527278894716e-08	3.6596885596703853e-07			5.468482927268704e-08	1.280179993908124e-06	5.097802357794763e-08			1.7149340033049585e-07					2.7400280388196733e-07	1.2406168487219505e-06					1.1644234689903029e-06			9.06101556711698e-08	5.795085686774238e-07			2.801296669741165e-07		1.5846151976901796e-06		3.021979973403345e-07
monodelphis_domestica	1_2,2_0,2_1,2_2,2_3					2.972963746213895e-07				1.2748867791560043e-06		6.943905842603782e-07						2.789566721631106e-06				1.393230816585815e-07					4.139930612639097e-07						7.136874608485355e-07							1.262983557903888e-06				
bos_taurus	1_2,2_0,2_1,2_2,2_3					5.400417022654343e-07				1.1631951945805677e-06				6.548142953259503e-07								1.1358618611252644e-07					3.075190045241513e-07	9.348658633020413e-07						4.510837852593213e-07		7.88048484695031e-08	9.605243691633894e-07			6.32555775715567e-07				
gorilla_gorilla	1_2,2_0,2_1,2_2,2_3					1.954751725397694e-06						1.5942779535047447e-06								1.4618985858860062e-06		4.584118830325717e-07					5.30172168186137e-07							2.9347114509281307e-06						1.5138172140227733e-06				
sus_scrofa	1_2,2_0,2_1,2_2,2_3					4.5619657790305866e-07																8.24601346479045e-07			1.4071609718275817e-06		4.806699614791783e-07	2.675698039449155e-06						8.31441673218353e-07										
