,path,adult mammalian kidney,brain,cerebellum,female gonad,heart,liver,placenta,testis,Species,prefrontal cortex,kidney,lung,frontal cortex,Ammon's horn,cerebral cortex,colon,spleen,thymus,zone of skin,embryonic stem cell,fibroblast,skeletal muscle tissue,brown adipose tissue,adipose tissue,adrenal gland,adrenal tissue,intestine,leukocyte,multi-cellular organism,muscle of leg,prostate gland,thyroid gland,heart left ventricle,stomach,thoracic mammary gland,lymph node,temporal lobe,bone marrow,bone marrow macrophage,blastula,egg cell,embryo,gastrula,mesonephros
0,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",1.0,1.0,,,1.0,1.0,,1.0,bos_taurus,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",1.0,,1.0,,1.0,1.0,,1.0,gorilla_gorilla,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"14_0,2_3",0.026903845144297,,,0.010003015146557975,,,0.04049752222984794,0.0032665908454287793,homo_sapiens,,0.018515114945579295,0.0211637924674326,0.015545630712494998,,,0.057159384368858826,,,,,,,,0.015990527305647186,0.03777533526075275,0.023883032984178265,0.024096239180860048,0.0062741946389554566,0.011714411449910363,0.14513412444133567,0.04937151760432782,0.0603779666562365,,,,,,,,,,,,
3,"14_0,1_1,1_2,2_3",0.42648145866925036,0.4093680361494191,0.46118568797654524,0.43314693927715053,0.44057316266449087,0.3995439175977618,0.4313982064458137,0.4074388628931564,homo_sapiens,0.40286841821101155,0.4362263622640552,0.4484430656880174,0.45251978296334944,,,0.30864455063810314,,,,,,0.324043589822043,,0.3755952516886935,0.3457894961172164,0.4155037967112165,0.4339763971073636,0.35834635230591083,0.41407802748104533,0.40330696786844283,0.37762751227342944,0.29433565211727536,0.3035069768288181,0.45432548357961694,0.4001856746801551,,,,,,,,,
4,"14_0,2_0,2_1,2_2,2_3",,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,0.10666130886224275,0.006367114369840867,,,0.017611671374964367,,,,0.1093951903367556,,,,,,,,
5,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",0.5466146961864525,0.5906319638505808,0.5388143120234546,0.5568500455762916,0.5594268373355091,0.6004560824022381,0.5281042713243382,0.589294546261415,homo_sapiens,0.5971315817889885,0.5452585227903655,0.53039314184455,0.5319345863241555,,,0.634196064993038,,,,,,0.675956410177957,,0.6084142210056592,0.6164351686220308,0.5606131703046052,0.5419273637117764,0.528718144192891,0.5678404466992034,0.45155890769022156,0.5730009701222427,0.6276747098515236,0.6964930231711819,0.545674516420383,0.5998143253198449,0.8906048096632445,1.0,,,,,,,
6,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"14_0,2_3",0.01817962809764318,0.08403808967788273,,0.0025435213212789323,,0.02340301431305235,0.03570138947008875,,mus_musculus,,,0.02722725746099007,,0.04116953884385253,0.09302325581395351,0.0131072302925394,0.003475443903478373,0.016001844324884704,0.03420480305402622,,,,,,,,,,,,,,,,,,,,,,,,,
8,"14_0,1_1,1_2,2_3",0.3968975995764957,0.40427668870909517,0.47777428167692865,0.46703892543497294,0.4333297421891973,0.40354145068281283,0.4509531497251371,0.4697108426828861,mus_musculus,,,0.43650103795150397,,0.45346179796534075,0.4418604651162791,0.42470842021948324,0.4682887359377163,0.44986202781405205,0.4368493089792238,0.4878048780487805,0.5,0.47702229909488225,,,,,,,,,,,,,,,,,,,,,,
9,"14_0,2_0,2_1,2_2,2_3",0.05330560658356071,0.014139741753106243,,,,0.03897360256145536,0.008732896077141138,,mus_musculus,,,,,,,,,0.006064328039866399,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",0.5316171657423004,0.49754547985991576,0.5222257183230713,0.5304175532437483,0.5666702578108028,0.5340819324426794,0.504612564727633,0.5302891573171139,mus_musculus,,,0.536271704587506,,0.5053686631908069,0.46511627906976744,0.5621843494879774,0.5282358201588054,0.5280717998211968,0.52894588796675,0.5121951219512195,0.5,0.5229777009051177,1.0,,,,,,,,,,,,,,,,,,,,,
11,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",1.0,1.0,1.0,1.0,1.0,1.0,,1.0,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"14_0,2_3",,,,,,0.03408606867354189,,,sus_scrofa,0.03801468382528386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"14_0,1_1,1_2,2_3",0.4420511875709679,,,,0.4676616915422886,0.4851347045472482,,,sus_scrofa,0.4440595969548096,0.43589743589743596,0.47717842323651455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"14_0,1_1,1_2,2_0,2_1,2_2,2_3",0.557948812429032,,,,0.5323383084577115,0.4807792267792099,,,sus_scrofa,0.5179257192199065,0.564102564102564,0.5228215767634855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"15_0,4_0,4_1,4_2",1.0,1.0,,,1.0,1.0,,1.0,bos_taurus,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,"15_0,4_2",0.4292969631584997,,0.4405517668080764,,0.43333333333333335,0.3699177328022839,,0.3261698666609593,gorilla_gorilla,0.3851412074954261,,,0.4016393442622951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"15_0,4_1,4_2",0.4292969631584997,,0.4405517668080764,,0.43333333333333335,0.3699177328022839,,0.3261698666609593,gorilla_gorilla,0.3851412074954261,,,0.4016393442622951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"15_0,4_0,4_1,4_2",0.14140607368300057,,0.11889646638384711,,0.1333333333333333,0.2601645343954322,,0.3476602666780814,gorilla_gorilla,0.22971758500914793,,,0.1967213114754099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"15_0,4_1,4_2",0.6770806733399806,0.5246629803419618,0.5800755866133156,0.5341132287328977,0.5714183717928969,0.6063410967436502,0.5574631118099694,0.4473833701929094,homo_sapiens,0.5726602744627637,0.6389892509743456,0.5925410031526974,0.5683609190164965,,,0.41883392516613127,,,,,,,,0.45617521946679923,0.6758979199851296,0.48305763111843525,0.5833038115532675,0.46395111204000083,0.45903867149303434,0.4560198494980814,0.4127363507592076,0.5281902622146137,0.5641618339164169,0.6078397302782345,0.533516781641528,0.5868457566762011,0.49999999999999994,,,,,,,
20,"15_0,4_0,4_1,4_2",0.32291932666001955,0.47533701965803815,0.41992441338668446,0.46588677126710243,0.4285816282071031,0.3936589032563498,0.44253688819003056,0.5526166298070906,homo_sapiens,0.42733972553723626,0.36101074902565455,0.40745899684730247,0.43163908098350345,,,0.5811660748338687,,,,,,1.0,,0.5438247805332007,0.3241020800148704,0.5169423688815648,0.41669618844673245,0.536048887959999,0.5409613285069657,0.5439801505019186,0.5872636492407923,0.47180973778538615,0.435838166083583,0.39216026972176554,0.466483218358472,0.41315424332379896,0.5,,,,,,,
21,"15_0,4_0,4_1,4_2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"15_0,4_2",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,mus_musculus,,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,
23,"15_0,4_1,4_2",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,mus_musculus,,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,
24,"15_0,4_2",0.5,0.5,0.5,0.5,0.5,0.5,,0.5,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"15_0,4_1,4_2",0.5,0.5,0.5,0.5,0.5,0.5,,0.5,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"15_0,4_2",0.30794561708218526,,,,0.4324324324324324,0.3497478416214184,,,sus_scrofa,0.3256151097102961,0.37931034482758624,0.2790697674418604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
