TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637																																																				2.1369480008215712e-08									
ENSBTAT00000073017	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637																																																				2.1369480008215712e-08									
ENSBTAT00000074884	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637																																																				2.1369480008215712e-08									
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637						7.253456290055853e-08																																																							
ENSBTAT00000073017	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637						7.253456290055853e-08																																																							
ENSBTAT00000074884	ENSBTAE00000135467/ENSBTAE00000519061	23_0				bos_taurus	1	GSE41637						7.253456290055853e-08																																																							
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0	ENSBTAT00000016665	ENSBTAE00000448567	20_1	bos_taurus	32	GSE41637						7.356913716947363e-07						1.1268130318624478e-06				6.42945886765885e-07													3.323735111786e-07						4.869195136956785e-07	1.1223117479141472e-06																4.4870520400242375e-08	5.976396589380992e-07				3.7273740497591605e-07				
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0	ENSBTAT00000016665	ENSBTAE00000448567	20_1	bos_taurus	32	GSE43013						4.812283534024587e-07																													2.769421488596648e-07														6.112537108273164e-07												
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0	ENSBTAT00000073017	ENSBTAE00000448567	20_1	bos_taurus	32	GSE41637						7.356913716947363e-07						1.1268130318624478e-06				6.42945886765885e-07													3.323735111786e-07						4.869195136956785e-07	1.1223117479141472e-06																4.4870520400242375e-08	5.976396589380992e-07				3.7273740497591605e-07				
ENSBTAT00000016665	ENSBTAE00000135467/ENSBTAE00000519061	23_0	ENSBTAT00000073017	ENSBTAE00000448567	20_1	bos_taurus	32	GSE43013						4.812283534024587e-07																													2.769421488596648e-07														6.112537108273164e-07												
