Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	1_0,11_0,12_0				2.5803590216165923e-06							1.761348431474766e-07						9.406701636183187e-07		5.797654930246952e-07		1.5704912366063485e-06	3.686425508252133e-06	2.122994601575413e-06				1.8954416505939956e-06				5.153691572232031e-06							3.154569383962256e-06	8.252691963557495e-07			
xenopus_tropicalis	1_0,11_0,12_0															7.697678265771728e-06					7.954510076008848e-06																						
gorilla_gorilla	1_0,12_0											1.1562587767267786e-07										4.7643243580608924e-08																	0.0				
homo_sapiens	1_0,12_0									8.062133898499667e-08		3.7824518739156787e-07		7.41281484309671e-08				1.278321678401139e-07				4.303603694448044e-08	8.911588814610443e-08					4.948526173027096e-08			2.9741279556095097e-08	8.992057237075524e-08				2.1710388814504574e-07			1.1602207555105287e-07			4.382756321536706e-07	
xenopus_tropicalis	1_0,12_0															1.9923787527948093e-07																											
mus_musculus	1_0,12_0					9.54929381727374e-09				1.0343958016025956e-08		3.45077065025701e-08										3.7724701051549634e-08						5.1584226389551385e-08					2.988399332630661e-08								3.538980601144094e-08		
mus_musculus	4_0,14_0,9_0	3.7243284401382103e-06				1.194934188748057e-06		9.993341103711228e-08	4.1364345528561885e-07	2.1537574636162482e-06	2.979130847938097e-07	5.528837986441062e-07	3.02654608670839e-07	1.8890974499359411e-06			1.8137135042107864e-06	8.921631672134404e-06	6.690865594605628e-07			3.845722413176555e-06					1.2294009415896327e-06	2.906992463078501e-06					1.1818130651577757e-05			1.0534999499620116e-05	2.1296544052061456e-06		4.635654445190257e-05		7.152811438751756e-06		3.6165055441287344e-06
xenopus_tropicalis	4_0,14_0,9_0						4.280270242646935e-06			3.5202390737313333e-06					1.5519598023037983e-06	3.1899972018728597e-06		1.1205912182297521e-05			3.86749643745433e-06	9.160450201471067e-06					1.551340701198961e-06			3.362578154895543e-06						1.7108957001198163e-05			1.5141232465164471e-05				
bos_taurus	4_0,14_0,9_0					2.9274473851783847e-06				5.444792592493623e-06				4.018867659402419e-06								2.9608648005161502e-06					1.6589831050060425e-06	4.908960828802435e-06						3.029998055066531e-06		1.5335562397839665e-05	5.797284104832434e-06		3.5898175542882626e-05				
gorilla_gorilla	4_0,14_0,9_0					1.5526171446567386e-06						6.201461929757252e-07								1.0070856924992483e-06		5.360921794929e-07					6.230778018728372e-07							1.1404283930745886e-06					8.567489832469172e-06				
sus_scrofa	4_0,14_0,9_0					4.361428246063502e-06																2.6412231006919706e-05			8.926677415031227e-06		3.60792878320841e-06	6.259222199425701e-06						4.809356142524874e-06									
ornithorhynchus_anatinus	4_0,14_0,9_0					1.825342338690363e-07				4.941851621478677e-07		4.951227366587306e-07						1.1763724830042265e-05				1.8618364193746e-06					1.51270047038351e-07												7.803968535277603e-06				
homo_sapiens	4_0,14_0,9_0		3.8085722689589616e-06	2.0795615786269455e-06	6.423225252401829e-06	1.7558283950719728e-06				2.3775906771320286e-06		2.3536829485328188e-07		5.496174716192262e-06				4.986636376650269e-06		2.3540903764540883e-06		3.897959701237017e-06	4.5382334909055e-06	4.896484947043807e-06	3.724909963613182e-06	3.844244455938384e-06	7.200139228896911e-07	4.690053941849108e-06	3.2722905203564403e-06		5.7353116058710425e-06	1.1140448080898357e-05	4.237034390258135e-06	1.5190310654620333e-06	4.316597483508196e-06	1.837301978145641e-05		5.121555283935253e-06	1.8568283447260616e-05	3.6490528223771873e-06		8.045103805114747e-06	
