,path,embryo,gastrula,Species,adult mammalian kidney,heart,kidney,liver,lung,prefrontal cortex,cerebellum,testis,frontal cortex,brain,placenta,thymus,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,colon,embryonic stem cell,female gonad,fibroblast,skeletal muscle tissue,spleen,zone of skin,heart left ventricle,multi-cellular organism,muscle of leg,thyroid gland,adrenal tissue,intestine,thoracic mammary gland,adipose tissue,adrenal gland,leukocyte,lymph node,prostate gland,stomach,blastula,egg cell,mesonephros
0,"1_0,12_0",,,gorilla_gorilla,,0.052764173687400405,,,,,0.12033542328373101,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1_0,16_1,16_2,11_0,12_0",,,gorilla_gorilla,1.0,0.9472358263125996,,1.0,,1.0,0.8796645767162689,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1_0,12_0",,,homo_sapiens,,0.009532355213761232,,,0.009204508625747423,,0.5179003855627446,0.014398295631390055,,0.059569579751154365,,,,,,,,0.024970799348114362,,0.04489063041131196,,0.016015904116323844,,,0.006946245205060326,0.013527016903402106,0.005759258986285271,0.11776162136374274,,,,,,,,,,,,
3,"1_0,11_0,12_0",,,homo_sapiens,,0.3478591754799318,,,0.35256172065107994,,0.24116712179784694,0.39148086572571567,0.40605545897681194,,,,,,,,,,,0.330333728727452,,,,,0.28734287502724976,,0.33008513755383134,,0.34084959325506825,0.38802848038187226,0.2765237508700257,,,,,,,,,
4,"1_0,16_1,16_2,11_0,12_0",,,homo_sapiens,1.0,0.642608469306307,1.0,1.0,0.6382337707231727,1.0,0.2409324926394084,0.5941208386428942,0.593944541023188,0.9404304202488456,1.0,,,,,,,0.9750292006518856,,0.624775640861236,,0.9839840958836761,,,0.7057108797676899,0.9864729830965978,0.6641556034598834,0.8822383786362572,0.6591504067449316,0.6119715196181277,0.7234762491299743,1.0,1.0,1.0,1.0,1.0,1.0,,,
5,"1_0,12_0",,,mus_musculus,0.006786746898170794,0.01330854073951354,,,0.022469228826582352,,0.03267418694342169,,,0.01082222266371117,0.009465098506034303,0.006386868913566629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1_0,16_1,16_2,11_0,12_0",,,mus_musculus,0.9932132531018292,0.9866914592604864,,1.0,0.9775307711734176,,0.9673258130565783,1.0,,0.9891777773362889,0.9905349014939657,0.9936131310864333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,"1_0,16_1,16_2,11_0,12_0",,,sus_scrofa,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1_0,12_0",0.02522983297793499,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1_0,11_0,12_0",0.974770167022065,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4_0,9_0",,,bos_taurus,,,,,,,,0.0016729927857464437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4_0,14_0,9_0",,,bos_taurus,1.0,1.0,,1.0,1.0,1.0,,0.9983270072142535,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12,"4_0,14_0,9_0",,,gorilla_gorilla,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4_0,9_0",,,homo_sapiens,,,0.011840051999927702,,,,0.1996451050840777,,,,0.006698035602318388,,,,,,,,,0.007179294377129901,,,,,,0.002711888841234132,,,,0.018467448620765346,0.012127784884130645,,,,,,0.013366741046021528,,,
14,"4_0,14_0,9_0",,,homo_sapiens,1.0,1.0,0.9881599480000723,1.0,1.0,1.0,0.8003548949159223,1.0,1.0,1.0,0.9933019643976817,,,,,,,1.0,,0.9928207056228702,,1.0,,,1.0,0.9972881111587659,1.0,1.0,1.0,0.9815325513792348,0.9878722151158693,1.0,1.0,1.0,1.0,1.0,0.9866332589539784,,,
15,"4_0,14_0,9_0",,,mus_musculus,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
16,"4_0,14_0,9_0",,,ornithorhynchus_anatinus,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,"4_0,14_0,9_0",,,rattus_norvegicus,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
18,"4_0,14_0,9_0",,,sus_scrofa,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4_0,14_0,9_0",1.0,1.0,xenopus_tropicalis,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0
20,"12_2,6_0,10_0,8_0",,,bos_taurus,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
21,"12_2,6_0,10_0,8_0",,,gorilla_gorilla,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"12_2,8_0",,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007306891547607328,,,,,,,,,,,,,
23,"12_2,6_0,10_0,8_0",,,homo_sapiens,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,0.9926931084523926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
24,"12_2,6_0,10_0,8_0",,,mus_musculus,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
25,"12_2,6_0,10_0,8_0",,,rattus_norvegicus,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
26,"12_2,6_0,10_0,8_0",,,sus_scrofa,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"12_2,8_0",,0.019906916489248007,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"12_2,6_0,10_0,8_0",1.0,0.9800930835107521,xenopus_tropicalis,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0
29,"2_4,12_3,1_2",,,gorilla_gorilla,0.14017006479235064,0.3144099171180389,,0.1428571428571428,,0.23623093654939106,0.4108410518750035,0.607461321562548,0.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"2_4,7_0,12_3,5_0",,,gorilla_gorilla,0.045009119816854605,0.5694790233274949,,,,0.09018131955257759,,0.24547282437332973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"2_4,12_3,5_0",,,gorilla_gorilla,0.14017006479235058,0.3144099171180389,,0.14285714285714277,,0.23623093654939098,0.4108410518750034,0.6074613215625481,0.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"2_4,5_0",,,gorilla_gorilla,0.8148208153907949,0.11611105955446616,,0.8571428571428573,,0.6735877438980313,0.5891589481249966,0.14706585406412226,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"2_4,7_0,12_3,1_2",,,gorilla_gorilla,0.045009119816854626,0.5694790233274948,,,,0.0901813195525776,,0.24547282437332968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"2_4,1_2",,,gorilla_gorilla,0.8148208153907948,0.11611105955446614,,0.8571428571428571,,0.6735877438980314,0.5891589481249965,0.14706585406412231,0.5714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"2_4,12_3,1_2",,,homo_sapiens,0.24750918322287235,0.7952852116285768,0.41133450664472404,0.21680967875792648,0.3744290508528768,0.34497957757795567,0.21996515208867998,0.8468229304363794,0.45451792637182376,0.22427618492675902,0.25841990011862986,,,,,,,0.5667682795752392,,0.32132059403818725,,0.9505804039433278,,,0.7721121328339698,0.49060600510425734,0.9657703561561957,0.3603621929320607,0.3112675809742791,0.413874440002915,0.30151590649274485,0.16589636652833017,0.2028190352361532,0.3525986064288603,0.3018880650297188,0.4964070054242182,0.44846714277344196,,,
36,"2_4,1_2",,,homo_sapiens,0.7524908167771276,0.20471478837142326,0.588665493355276,0.7831903212420734,0.6255709491471232,0.6550204224220443,0.7800348479113199,0.15317706956362062,0.5454820736281764,0.7757238150732411,0.7415800998813701,,,,,,,0.4332317204247607,,0.6786794059618126,,0.04941959605667225,,,0.22788786716603016,0.5093939948957428,0.03422964384380429,0.6396378070679393,0.6887324190257208,0.586125559997085,0.698484093507255,0.8341036334716698,0.7971809647638468,0.6474013935711398,0.6981119349702811,0.5035929945757818,0.5515328572265581,,,
37,"2_4,12_3,5_0",,,homo_sapiens,0.24750918322287244,0.7952852116285768,0.411334506644724,0.21680967875792642,0.37442905085287687,0.34497957757795567,0.21996515208868003,0.8468229304363794,0.45451792637182364,0.22427618492675896,0.25841990011862986,,,,,,,0.5667682795752391,,0.32132059403818736,,0.9505804039433278,,,0.77211213283397,0.4906060051042574,0.9657703561561957,0.3603621929320608,0.31126758097427915,0.413874440002915,0.30151590649274485,0.16589636652833017,0.2028190352361532,0.3525986064288604,0.3018880650297188,0.4964070054242182,0.44846714277344196,,,
38,"2_4,5_0",,,homo_sapiens,0.7524908167771277,0.20471478837142326,0.588665493355276,0.7831903212420736,0.6255709491471231,0.6550204224220444,0.78003484791132,0.15317706956362062,0.5454820736281764,0.7757238150732412,0.7415800998813701,,,,,,,0.43323172042476077,,0.6786794059618125,,0.049419596056672246,,,0.22788786716603016,0.5093939948957427,0.034229643843804294,0.6396378070679393,0.6887324190257208,0.586125559997085,0.698484093507255,0.8341036334716698,0.7971809647638467,0.6474013935711397,0.6981119349702812,0.5035929945757818,0.5515328572265581,,,
39,"2_4,1_2",,,mus_musculus,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
40,"2_4,12_3,5_0",,,ornithorhynchus_anatinus,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
41,"2_4,7_0,12_3,5_0",,,sus_scrofa,,0.5843806104129264,0.07363420427553442,,,0.16479516222397875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"2_4,12_3,5_0",,,sus_scrofa,0.25541681614527895,0.37432675044883307,0.19952494061757714,0.37883303538857693,0.34261838440111425,0.4120579101295225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"2_4,5_0",,,sus_scrofa,0.7445831838547211,0.041292639138240564,0.7268408551068885,0.621166964611423,0.6573816155988859,0.4231469276464987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"2_4,7_0,12_3,1_2",,,sus_scrofa,,0.5843806104129264,0.07363420427553441,,,0.16479516222397872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"2_4,12_3,1_2",,,sus_scrofa,0.25541681614527895,0.37432675044883307,0.1995249406175772,0.3788330353885769,0.34261838440111414,0.4120579101295225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"2_4,1_2",,,sus_scrofa,0.7445831838547211,0.041292639138240564,0.7268408551068883,0.6211669646114231,0.6573816155988859,0.42314692764649875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
