TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	4	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	4	SRP022612																																																													3.53408103414562e-08
						danio_rerio	4	GSE39703																			3.367217077582197e-08																																										
						danio_rerio	58	GSE39703																			1.335518153482361e-06																																										
						danio_rerio	58	GSE42846																			4.7612075145706086e-07																																										
						danio_rerio	58	GSE63191																											5.237309387487306e-07																																		
						danio_rerio	58	SRP022612																																																													1.8461818954073582e-07
						danio_rerio	58	GSE71755																													1.0742133159912336e-07																																
						danio_rerio	58	SRP044781											2.171706733846839e-07	1.0748876366209059e-07							4.7666607703630445e-06			2.448746562181256e-06							4.906335279262226e-08		1.0688160129160002e-07	2.0548661958655333e-06							2.586570623434428e-06					2.2321110410192814e-07		1.5668284334952284e-07											1.1841976829953306e-05				
						danio_rerio	58	GSE71681																					1.3647625246382053e-06																																								
						danio_rerio	58	GSE63133																												2.25244033609338e-07																									1.5958629275030857e-07								
						danio_rerio	58	GSE68666																			2.8575185163568083e-07																																										
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	GSE71681																					1.4633028699283614e-07																																								
						danio_rerio	63	GSE39703																			3.184731354896599e-06								1.0145877425625646e-07																												8.334369727642984e-07						
						danio_rerio	63	GSE42846																			9.213293001277191e-07																																										
						danio_rerio	63	GSE63191																											1.5216760577159582e-06																																		
						danio_rerio	63	SRP022612																																																													2.2034353456340183e-07
						danio_rerio	63	GSE71755																													1.24497453870289e-07																																
						danio_rerio	63	SRP044781											6.004130381811849e-07	3.2246629098627176e-07							6.188296438716934e-06			3.542867366560115e-06							8.177225465437043e-08		3.2064480387480006e-07	2.359290817475242e-06			2.002745483673749e-08				4.727180794552575e-06					2.550984046879179e-07		3.581322133703379e-07											1.619564478214202e-05				
						danio_rerio	63	GSE71681																					3.838523660988359e-06																																								
						danio_rerio	63	GSE63133																												5.63110084023345e-07																									2.6597715458384764e-07								
						danio_rerio	63	GSE68666																			1.633943168173775e-06																																										
						danio_rerio	2	GSE71681																					5.514491537159632e-08																																								
						danio_rerio	5	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	5	GSE39703																			7.072256861865064e-08																																										
						danio_rerio	3	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	3	GSE39703																			3.5114871102262475e-08																																										
						danio_rerio	2	GSE39703																			3.610052393051386e-08																																										
						danio_rerio	60	GSE39703																			3.4995637188319573e-06																																				3.7041643233968814e-07						
						danio_rerio	60	GSE42846																			7.990219932802459e-07																																										
						danio_rerio	60	GSE63191																											1.7035765246247298e-06																																		
						danio_rerio	60	SRP022612																																																													3.60906742441195e-07
						danio_rerio	60	SRP044781											5.237645652218847e-07	7.165917577472706e-08							4.8711928048008305e-06			3.6470693479295302e-06							9.812670558524452e-08		2.1376320258320005e-07	1.6489667003859217e-06							4.013644070846526e-06					1.913238035159384e-07		5.148150567198608e-07											1.358344401082879e-05				
						danio_rerio	60	GSE71681																					3.9601586722597475e-06																																								
