Species	path	Ammon's horn	adult mammalian kidney	bone marrow macrophage	brain	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	heart	liver	lung	placenta	prefrontal cortex	skeletal muscle tissue	spleen	testis	thymus	zone of skin
rattus_norvegicus	6_0,4_2,3_0		1.7260565815809746e-07		7.924490068071798e-08			1.6610496670040883e-06				3.646005676224818e-07	7.210298668690872e-08	1.4154138062224393e-06			1.9280901865653574e-07	3.62743623277748e-06	2.496603106400975e-07		
mus_musculus	6_0,4_2,3_0	1.8049637496879003e-07	1.3244256662883957e-07	6.267325080085134e-08	1.0315812257978963e-07	1.208918174898274e-07		2.705596108025002e-07		4.85764762397514e-07		2.8963720304627284e-07	7.299926012176389e-08	1.3125218748116027e-06	1.8898329441319763e-07		6.021908391676594e-08	1.9013357493601604e-06	4.5124119371551017e-07	6.161208509871623e-06	1.4026996412668463e-07
rattus_norvegicus	6_0,3_0		1.8981401801888105e-07					2.3072084779594106e-08				3.459215930657942e-08	0.0	1.7509796626734947e-07			3.5380197459358636e-08	1.3091880762093322e-07	9.75778494378662e-09		
bos_taurus	6_0,3_0							6.224882986205847e-08				5.2261455987273284e-08		1.2438339986019973e-07				5.105855043166104e-08			
mus_musculus	6_0,3_0		2.8871549962618475e-08		6.742057704328003e-08			2.430281018875005e-08		3.3562854433911765e-08		4.9033741274076384e-08	7.77242464984061e-08	8.215216747737374e-08	3.1699164972002796e-08			1.2908640799208982e-07	3.989685092365633e-08	1.259315294662943e-07	2.6277725693272585e-08
rattus_norvegicus	6_0,4_2,3_0		1.7260565815809746e-07		7.924490068071798e-08			1.6610496670040883e-06				3.646005676224818e-07	7.210298668690872e-08	1.4154138062224393e-06			1.9280901865653574e-07	3.62743623277748e-06	2.496603106400975e-07		
mus_musculus	6_0,4_2,3_0	1.8049637496879003e-07	1.3244256662883957e-07	6.267325080085134e-08	1.0315812257978963e-07	1.208918174898274e-07		2.705596108025002e-07		4.85764762397514e-07		2.8963720304627284e-07	7.299926012176389e-08	1.3125218748116027e-06	1.8898329441319763e-07		6.021908391676594e-08	1.9013357493601604e-06	4.5124119371551017e-07	6.161208509871623e-06	1.4026996412668463e-07
rattus_norvegicus	6_0,4_0,4_1,3_0		3.6645755637551643e-07		4.650235102479539e-06			2.428539051716698e-07				1.9498356736190698e-06	8.02105391376089e-08	1.3490098899687932e-06			2.107236500900368e-07	3.663437068759139e-07	7.612965495328314e-07		
bos_taurus	6_0,4_0,4_1,3_0		5.867060738808156e-07		4.613917978190349e-06			6.571797127431083e-07				8.821038085096435e-07	3.1486201577983693e-07	1.7537680811553897e-06		3.8684854669411645e-06	2.476984544378642e-07	2.042942124769937e-06	8.547515910826719e-07		
mus_musculus	6_0,4_0,4_1,3_0	5.933042357374931e-06	1.6888933301664172e-07		1.961318440333429e-06	1.3583695350198211e-06	3.198788546927566e-07	7.189994995441923e-08	6.07609214140967e-08	1.987564572022897e-06	2.931236355731989e-07	1.1419707867457845e-06	1.1803455724643929e-07	1.042515776335052e-06	3.944986764059766e-07		1.1840966252054618e-07	2.9373866634701454e-07	3.2265698411775507e-07	2.9007627793057587e-07	4.236289382090013e-07
rattus_norvegicus	6_0,4_0,4_1,3_0		3.6645755637551643e-07		4.650235102479539e-06			2.428539051716698e-07				1.9498356736190698e-06	8.02105391376089e-08	1.3490098899687932e-06			2.107236500900368e-07	3.663437068759139e-07	7.612965495328314e-07		
bos_taurus	6_0,4_0,4_1,3_0		5.867060738808156e-07		4.613917978190349e-06			6.571797127431083e-07				8.821038085096435e-07	3.1486201577983693e-07	1.7537680811553897e-06		3.8684854669411645e-06	2.476984544378642e-07	2.042942124769937e-06	8.547515910826719e-07		
mus_musculus	6_0,4_0,4_1,3_0	5.933042357374931e-06	1.6888933301664172e-07		1.961318440333429e-06	1.3583695350198211e-06	3.198788546927566e-07	7.189994995441923e-08	6.07609214140967e-08	1.987564572022897e-06	2.931236355731989e-07	1.1419707867457845e-06	1.1803455724643929e-07	1.042515776335052e-06	3.944986764059766e-07		1.1840966252054618e-07	2.9373866634701454e-07	3.2265698411775507e-07	2.9007627793057587e-07	4.236289382090013e-07
rattus_norvegicus	6_0,3_0		1.8981401801888105e-07					2.3072084779594106e-08				3.459215930657942e-08	0.0	1.7509796626734947e-07			3.5380197459358636e-08	1.3091880762093322e-07	9.75778494378662e-09		
bos_taurus	6_0,3_0							6.224882986205847e-08				5.2261455987273284e-08		1.2438339986019973e-07				5.105855043166104e-08			
mus_musculus	6_0,3_0		2.8871549962618475e-08		6.742057704328003e-08			2.430281018875005e-08		3.3562854433911765e-08		4.9033741274076384e-08	7.77242464984061e-08	8.215216747737374e-08	3.1699164972002796e-08			1.2908640799208982e-07	3.989685092365633e-08	1.259315294662943e-07	2.6277725693272585e-08
rattus_norvegicus	6_0,4_0,4_1,3_0		3.6645755637551643e-07		4.650235102479539e-06			2.428539051716698e-07				1.9498356736190698e-06	8.02105391376089e-08	1.3490098899687932e-06			2.107236500900368e-07	3.663437068759139e-07	7.612965495328314e-07		
bos_taurus	6_0,4_0,4_1,3_0		5.867060738808156e-07		4.613917978190349e-06			6.571797127431083e-07				8.821038085096435e-07	3.1486201577983693e-07	1.7537680811553897e-06		3.8684854669411645e-06	2.476984544378642e-07	2.042942124769937e-06	8.547515910826719e-07		
mus_musculus	6_0,4_0,4_1,3_0	5.933042357374931e-06	1.6888933301664172e-07		1.961318440333429e-06	1.3583695350198211e-06	3.198788546927566e-07	7.189994995441923e-08	6.07609214140967e-08	1.987564572022897e-06	2.931236355731989e-07	1.1419707867457845e-06	1.1803455724643929e-07	1.042515776335052e-06	3.944986764059766e-07		1.1840966252054618e-07	2.9373866634701454e-07	3.2265698411775507e-07	2.9007627793057587e-07	4.236289382090013e-07
rattus_norvegicus	6_0,4_2,3_0		1.7260565815809746e-07		7.924490068071798e-08			1.6610496670040883e-06				3.646005676224818e-07	7.210298668690872e-08	1.4154138062224393e-06			1.9280901865653574e-07	3.62743623277748e-06	2.496603106400975e-07		
mus_musculus	6_0,4_2,3_0	1.8049637496879003e-07	1.3244256662883957e-07	6.267325080085134e-08	1.0315812257978963e-07	1.208918174898274e-07		2.705596108025002e-07		4.85764762397514e-07		2.8963720304627284e-07	7.299926012176389e-08	1.3125218748116027e-06	1.8898329441319763e-07		6.021908391676594e-08	1.9013357493601604e-06	4.5124119371551017e-07	6.161208509871623e-06	1.4026996412668463e-07
