TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000015730	ENSBTAE00000127886	1_1	ENSBTAT00000015730	ENSBTAE00000127896	10_0	bos_taurus	32	GSE41637						7.019448284596408e-07						4.115183089687753e-06				2.1362224970340293e-06													1.104657483020941e-06						7.21252275577831e-07	3.5564092748884714e-06																3.1824072843800954e-07	7.765877498458464e-06				1.2208922493890223e-06				
ENSBTAT00000015730	ENSBTAE00000127886	1_1	ENSBTAT00000015730	ENSBTAE00000127896	10_0	bos_taurus	32	GSE43013						7.463322971240727e-07																													4.671344816421407e-07														4.162782943467803e-06												
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127908	9_0	bos_taurus	33	GSE41637						6.65608375002732e-07						5.348077802309072e-06				1.2267907931695612e-06													1.0982849345998803e-06						5.440151099333667e-07	3.102056718727285e-06																1.7851112978447437e-07	1.1088229255065316e-05				8.660595007837919e-07				
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127908	9_0	bos_taurus	33	GSE43013						6.500601149987625e-07																													4.671344816421407e-07														3.260273186258111e-06												
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	1	GSE41637																																				1.3212827414523973e-08																									
ENSBTAT00000015730	ENSBTAE00000127908	9_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	33	GSE41637						4.337265642114818e-07						3.965888115048927e-06				1.6701034129847662e-06													7.794121685011628e-07						4.574518212225948e-07	2.8186323189425043e-06																1.7671219936784614e-07	9.898553321688822e-06				1.1919844793339022e-06				
ENSBTAT00000015730	ENSBTAE00000127908	9_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	33	GSE43013						7.037026352359396e-07																													2.769421488596648e-07														3.5739598659538264e-06												
ENSBTAT00000015730	ENSBTAE00000127921	8_2	ENSBTAT00000015730	ENSBTAE00000404092	6_0	bos_taurus	31	GSE41637						7.126367930021025e-07						2.767147957712467e-06				1.41369086000701e-06													1.1236630576781778e-06						3.356401372304468e-07	2.7220303719394918e-06																3.0640435922827027e-07	8.005489003933758e-06				4.387654581966522e-07				
ENSBTAT00000015730	ENSBTAE00000127921	8_2	ENSBTAT00000015730	ENSBTAE00000404092	6_0	bos_taurus	31	GSE43013						1.0413661584285472e-06																													4.261852288226822e-07														5.212498470055988e-06												
ENSBTAT00000015730	ENSBTAE00000404092	6_0	ENSBTAT00000015730	ENSBTAE00000428504	4_0	bos_taurus	32	GSE41637						3.621002795273534e-07						2.5085604535561724e-06				4.189411030964636e-07													6.259028035462046e-07						1.8972920706534536e-07	1.2530031560218983e-06																1.8817067841683123e-07	1.6592722928458958e-06				5.812550357797917e-07				
