TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						sus_scrofa	1	GSE43013																																																	8.258445747296845e-08												
						gorilla_gorilla	3	GSE30352																																																	6.4876497106085e-08												
						gorilla_gorilla	3	GSE43520																									3.2486635241911244e-08																																				
						homo_sapiens	1	GSE43520																									0.0																																				
						homo_sapiens	6	GSE30352														4.987916824251619e-08											9.865698249726473e-08																																				
						homo_sapiens	6	GSE64283																																																						6.938596749295177e-08							
						homo_sapiens	6	GSE43520																									3.0906600623794104e-08																																				
						homo_sapiens	6	GSE30611																																																												1.3916990966188907e-08	
						mus_musculus	1	GSE43721												1.402678327299923e-08																																																	
						mus_musculus	2	GSE30617	7.009010328092123e-08																																																												
						mus_musculus	2	GSE43520												2.96173833900679e-08																																																	
						mus_musculus	1	GSE36026										0.0																																																			
						mus_musculus	2	GSE30352												0.0																																																	
						mus_musculus	2	GSE41338												2.430921136208303e-07																																																	
