TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						monodelphis_domestica	2	GSE43520												0.0																																													0.0				
						monodelphis_domestica	1	GSE43520																																																									0.0				
						monodelphis_domestica	1	GSE43520												0.0																																																	
						monodelphis_domestica	1	GSE30352						0.0																																																							
						monodelphis_domestica	1	GSE30352														8.708555982081276e-08																																															
ENSOANT00000011391	ENSOANE00000079306	3_1				ornithorhynchus_anatinus	1	GSE30352												5.621992831172061e-08																																																	
ENSOANT00000011391	ENSOANE00000079306	3_1	ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	4	GSE30352												8.466482423355313e-08		1.8493044454523413e-07																																															
ENSOANT00000011391	ENSOANE00000079307	2_2				ornithorhynchus_anatinus	3	GSE43520																						5.303647672540407e-07																																							
ENSOANT00000011391	ENSOANE00000079307	2_2				ornithorhynchus_anatinus	1	GSE43520																						5.48377657602642e-08																																							
ENSOANT00000011391	ENSOANE00000079307	2_2	ENSOANT00000011391	ENSOANE00000079310	13_0	ornithorhynchus_anatinus	5	GSE30352												2.263869061937574e-07		1.3880370775240221e-07															1.0608477892409454e-07																																
ENSOANT00000011391	ENSOANE00000079307	2_2	ENSOANT00000011391	ENSOANE00000079310	13_0	ornithorhynchus_anatinus	5	GSE43520																						3.636705618935657e-08																																							
ENSOANT00000011391	ENSOANE00000079310	13_0				ornithorhynchus_anatinus	1	GSE43520																						3.636705618935657e-08																																							
ENSOANT00000011391	ENSOANE00000079310	13_0				ornithorhynchus_anatinus	1	GSE30352												8.533468776549755e-08																																																	
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079312	6_0	ornithorhynchus_anatinus	8	GSE30352												1.4155461607721815e-07		3.89327402888927e-07																																											2.7082692940489845e-07				
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079312	6_0	ornithorhynchus_anatinus	8	GSE43520																						6.864709403963776e-08																																			2.242193590007996e-08				
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	1	GSE30352														7.7019060446022e-08																																															
ENSOANT00000011391	ENSOANE00000079312	6_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	7	GSE30352						1.2462980274965748e-07						2.971642142323665e-07		2.543322984214352e-07																																											1.3541346470244923e-07				
ENSOANT00000011391	ENSOANE00000079312	6_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	7	GSE43520																						3.636705618935657e-08																																							
ENSOANT00000011391	ENSOANE00000079314	8_0	ENSOANT00000011391	ENSOANE00000079315	10_0	ornithorhynchus_anatinus	5	GSE30352												3.4660785032960115e-07		3.6605228580555777e-07																																															
ENSOANT00000011391	ENSOANE00000079314	8_0	ENSOANT00000011391	ENSOANE00000079315	10_0	ornithorhynchus_anatinus	5	GSE43520																						2.909364495148526e-07																																							
ENSOANT00000011391	ENSOANE00000079315	10_0	ENSOANT00000011391	ENSOANE00000079316	12_0	ornithorhynchus_anatinus	6	GSE30352												2.394370929737709e-07		2.4671509185161435e-07																																											1.3541346470244923e-07				
ENSOANT00000011391	ENSOANE00000079315	10_0	ENSOANT00000011391	ENSOANE00000079316	12_0	ornithorhynchus_anatinus	6	GSE43520																						7.273411237871315e-08																																							
ENSOANT00000011391	ENSOANE00000079316	12_0	ENSOANT00000011391	ENSOANE00000079317	5_0	ornithorhynchus_anatinus	5	GSE30352												1.556095981551483e-07		1.4261231103731267e-07																																															
ENSOANT00000011391	ENSOANE00000079316	12_0	ENSOANT00000011391	ENSOANE00000079317	5_0	ornithorhynchus_anatinus	5	GSE43520																						1.2912015140112473e-07																																							
ENSOANT00000011391	ENSOANE00000079317	5_0	ENSOANT00000011391	ENSOANE00000079318	9_0	ornithorhynchus_anatinus	5	GSE30352												1.6029459218112502e-07		2.8522462207462534e-07																																															
ENSOANT00000011391	ENSOANE00000079317	5_0	ENSOANT00000011391	ENSOANE00000079318	9_0	ornithorhynchus_anatinus	5	GSE43520																																																									2.242193590007996e-08				
ENSOANT00000011391	ENSOANE00000079318	9_0	ENSOANT00000011391	ENSOANE00000079319	7_0	ornithorhynchus_anatinus	8	GSE30352												1.9099825217445286e-07		2.928418286444462e-07																																											1.3541346470244923e-07				
ENSOANT00000011391	ENSOANE00000079318	9_0	ENSOANT00000011391	ENSOANE00000079319	7_0	ornithorhynchus_anatinus	8	GSE43520																						1.0015299525884524e-07																																			2.242193590007996e-08				
ENSOANT00000011391	ENSOANE00000079319	7_0	ENSOANT00000011391	ENSOANE00000079320	4_0	ornithorhynchus_anatinus	6	GSE30352												2.9214428844041754e-07		6.550855111650935e-07																					5.439584224291899e-08																										
ENSOANT00000011391	ENSOANE00000079319	7_0	ENSOANT00000011391	ENSOANE00000079320	4_0	ornithorhynchus_anatinus	6	GSE43520																						1.8183528094678285e-07																																							
ENSOANT00000011391	ENSOANE00000079320	4_0	ENSOANT00000011391	ENSOANE00000079321	1_0	ornithorhynchus_anatinus	7	GSE30352												2.1910821633031315e-07		2.4671509185161435e-07																																											1.3541346470244923e-07				
ENSOANT00000011391	ENSOANE00000079320	4_0	ENSOANT00000011391	ENSOANE00000079321	1_0	ornithorhynchus_anatinus	7	GSE43520																						5.046356594495947e-08																																							
			ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	2	GSE43520																						1.46042587709885e-07																																							
			ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	1	GSE43520																						3.636705618935657e-08																																							
						ornithorhynchus_anatinus	1	GSE30352																																			5.3255239849617856e-08																										
						ornithorhynchus_anatinus	1	GSE30352														0.0																																															
						ornithorhynchus_anatinus	2	GSE30352														7.7019060446022e-08																																											0.0				
						ornithorhynchus_anatinus	1	GSE30352						0.0																																																							
						ornithorhynchus_anatinus	1	GSE30352																																																									0.0				
						ornithorhynchus_anatinus	1	GSE30352												8.533468776549755e-08																																																	
						ornithorhynchus_anatinus	1	GSE30352																													9.741394233153062e-08																																
