TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						monodelphis_domestica	2	GSE43520												4.658063440867678e-08																																													2.4259174540830836e-08				
						monodelphis_domestica	1	GSE43520																																																									2.4259174540830836e-08				
						monodelphis_domestica	1	GSE43520												4.658063440867678e-08																																																	
						monodelphis_domestica	1	GSE30352						8.144287454254556e-08																																																							
						monodelphis_domestica	1	GSE30352														0.0																																															
ENSOANT00000011391	ENSOANE00000079306	3_1				ornithorhynchus_anatinus	1	GSE30352												0.0																																																	
ENSOANT00000011391	ENSOANE00000079306	3_1	ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	4	GSE30352												0.0		0.0																																															
ENSOANT00000011391	ENSOANE00000079307	2_2				ornithorhynchus_anatinus	3	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079307	2_2				ornithorhynchus_anatinus	1	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079307	2_2	ENSOANT00000011391	ENSOANE00000079310	13_0	ornithorhynchus_anatinus	5	GSE30352												0.0		0.0															0.0																																
ENSOANT00000011391	ENSOANE00000079307	2_2	ENSOANT00000011391	ENSOANE00000079310	13_0	ornithorhynchus_anatinus	5	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079310	13_0				ornithorhynchus_anatinus	1	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079310	13_0				ornithorhynchus_anatinus	1	GSE30352												0.0																																																	
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079312	6_0	ornithorhynchus_anatinus	8	GSE30352												0.0		0.0																																											0.0				
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079312	6_0	ornithorhynchus_anatinus	8	GSE43520																						0.0																																			0.0				
ENSOANT00000011391	ENSOANE00000079310	13_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	1	GSE30352														0.0																																															
ENSOANT00000011391	ENSOANE00000079312	6_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	7	GSE30352						0.0						0.0		0.0																																											0.0				
ENSOANT00000011391	ENSOANE00000079312	6_0	ENSOANT00000011391	ENSOANE00000079314	8_0	ornithorhynchus_anatinus	7	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079314	8_0	ENSOANT00000011391	ENSOANE00000079315	10_0	ornithorhynchus_anatinus	5	GSE30352												0.0		0.0																																															
ENSOANT00000011391	ENSOANE00000079314	8_0	ENSOANT00000011391	ENSOANE00000079315	10_0	ornithorhynchus_anatinus	5	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079315	10_0	ENSOANT00000011391	ENSOANE00000079316	12_0	ornithorhynchus_anatinus	6	GSE30352												0.0		0.0																																											0.0				
ENSOANT00000011391	ENSOANE00000079315	10_0	ENSOANT00000011391	ENSOANE00000079316	12_0	ornithorhynchus_anatinus	6	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079316	12_0	ENSOANT00000011391	ENSOANE00000079317	5_0	ornithorhynchus_anatinus	5	GSE30352												0.0		0.0																																															
ENSOANT00000011391	ENSOANE00000079316	12_0	ENSOANT00000011391	ENSOANE00000079317	5_0	ornithorhynchus_anatinus	5	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079317	5_0	ENSOANT00000011391	ENSOANE00000079318	9_0	ornithorhynchus_anatinus	5	GSE30352												0.0		0.0																																															
ENSOANT00000011391	ENSOANE00000079317	5_0	ENSOANT00000011391	ENSOANE00000079318	9_0	ornithorhynchus_anatinus	5	GSE43520																																																									0.0				
ENSOANT00000011391	ENSOANE00000079318	9_0	ENSOANT00000011391	ENSOANE00000079319	7_0	ornithorhynchus_anatinus	8	GSE30352												0.0		0.0																																											0.0				
ENSOANT00000011391	ENSOANE00000079318	9_0	ENSOANT00000011391	ENSOANE00000079319	7_0	ornithorhynchus_anatinus	8	GSE43520																						0.0																																			0.0				
ENSOANT00000011391	ENSOANE00000079319	7_0	ENSOANT00000011391	ENSOANE00000079320	4_0	ornithorhynchus_anatinus	6	GSE30352												0.0		0.0																					0.0																										
ENSOANT00000011391	ENSOANE00000079319	7_0	ENSOANT00000011391	ENSOANE00000079320	4_0	ornithorhynchus_anatinus	6	GSE43520																						0.0																																							
ENSOANT00000011391	ENSOANE00000079320	4_0	ENSOANT00000011391	ENSOANE00000079321	1_0	ornithorhynchus_anatinus	7	GSE30352												0.0		0.0																																											0.0				
ENSOANT00000011391	ENSOANE00000079320	4_0	ENSOANT00000011391	ENSOANE00000079321	1_0	ornithorhynchus_anatinus	7	GSE43520																						0.0																																							
			ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	2	GSE43520																						0.0																																							
			ENSOANT00000011391	ENSOANE00000079307	2_1	ornithorhynchus_anatinus	1	GSE43520																						0.0																																							
						ornithorhynchus_anatinus	1	GSE30352																																			0.0																										
						ornithorhynchus_anatinus	1	GSE30352														6.940185387620111e-08																																															
						ornithorhynchus_anatinus	2	GSE30352														0.0																																											4.053359395893801e-08				
						ornithorhynchus_anatinus	1	GSE30352						1.2462980274965748e-07																																																							
						ornithorhynchus_anatinus	1	GSE30352																																																									4.053359395893801e-08				
						ornithorhynchus_anatinus	1	GSE30352												0.0																																																	
						ornithorhynchus_anatinus	1	GSE30352																													0.0																																
ENSRNOT00000044626	ENSRNOE00000340500	2_2	ENSRNOT00000044626	ENSRNOE00000364139	13_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000340500	2_2	ENSRNOT00000044626	ENSRNOE00000364139	13_0	rattus_norvegicus	7	GSE41637												0.0																																													0.0				
ENSRNOT00000044626	ENSRNOE00000364139	13_0				rattus_norvegicus	1	GSE41637												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000364139	13_0				rattus_norvegicus	2	GSE41637																0.0																																									0.0				
ENSRNOT00000044626	ENSRNOE00000364139	13_0	ENSRNOT00000044626	ENSRNOE00000298482	6_0	rattus_norvegicus	9	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000364139	13_0	ENSRNOT00000044626	ENSRNOE00000298482	6_0	rattus_norvegicus	9	GSE41637												2.073013483522331e-08				0.0																				0.0																					0.0				
ENSRNOT00000044626	ENSRNOE00000298482	6_0	ENSRNOT00000044626	ENSRNOE00000287119	8_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000298482	6_0	ENSRNOT00000044626	ENSRNOE00000287119	8_0	rattus_norvegicus	7	GSE41637												0.0																																									0.0								
ENSRNOT00000044626	ENSRNOE00000287119	8_0	ENSRNOT00000044626	ENSRNOE00000341053	10_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000287119	8_0	ENSRNOT00000044626	ENSRNOE00000341053	10_0	rattus_norvegicus	7	GSE41637												0.0																																													0.0				
ENSRNOT00000044626	ENSRNOE00000341053	10_0	ENSRNOT00000044626	ENSRNOE00000313846	12_0	rattus_norvegicus	6	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000341053	10_0	ENSRNOT00000044626	ENSRNOE00000313846	12_0	rattus_norvegicus	6	GSE41637												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000313846	12_0	ENSRNOT00000044626	ENSRNOE00000281258	5_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000313846	12_0	ENSRNOT00000044626	ENSRNOE00000281258	5_0	rattus_norvegicus	7	GSE41637												0.0																																													0.0				
ENSRNOT00000044626	ENSRNOE00000281258	5_0	ENSRNOT00000044626	ENSRNOE00000348418	9_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000281258	5_0	ENSRNOT00000044626	ENSRNOE00000348418	9_0	rattus_norvegicus	7	GSE41637												0.0																																													0.0				
ENSRNOT00000044626	ENSRNOE00000348418	9_0	ENSRNOT00000044626	ENSRNOE00000324534	7_0	rattus_norvegicus	6	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000348418	9_0	ENSRNOT00000044626	ENSRNOE00000324534	7_0	rattus_norvegicus	6	GSE41637												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000324534	7_0	ENSRNOT00000044626	ENSRNOE00000347911	4_0	rattus_norvegicus	7	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000324534	7_0	ENSRNOT00000044626	ENSRNOE00000347911	4_0	rattus_norvegicus	7	GSE41637												0.0																																													0.0				
ENSRNOT00000044626	ENSRNOE00000324534	7_0	ENSRNOT00000044626	ENSRNOE00000287841	1_0	rattus_norvegicus	1	GSE41637												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000347911	4_0	ENSRNOT00000044626	ENSRNOE00000287841	1_0	rattus_norvegicus	6	GSE43013												0.0																																																	
ENSRNOT00000044626	ENSRNOE00000347911	4_0	ENSRNOT00000044626	ENSRNOE00000287841	1_0	rattus_norvegicus	6	GSE41637												0.0																																																	
			ENSRNOT00000044626	ENSRNOE00000364139	13_0	rattus_norvegicus	1	GSE41637																																																									0.0				
			ENSRNOT00000044626	ENSRNOE00000364139	13_0	rattus_norvegicus	1	GSE41637																0.0																																													
			ENSRNOT00000044626	ENSRNOE00000348418	9_0	rattus_norvegicus	1	GSE41637												0.0																																																	
			ENSRNOT00000044626	ENSRNOE00000324534	7_0	rattus_norvegicus	1	GSE41637												0.0																																																	
						rattus_norvegicus	1	GSE41637												1.3558126528856717e-08																																																	
						rattus_norvegicus	1	GSE41637												1.0879816961440982e-08																																																	
						rattus_norvegicus	1	GSE41637												1.3558126528856717e-08																																																	
						rattus_norvegicus	1	GSE41637												1.3558126528856717e-08																																																	
						rattus_norvegicus	1	GSE41637												1.3558126528856717e-08																																																	
						rattus_norvegicus	1	GSE41637												1.0879816961440982e-08																																																	
						rattus_norvegicus	2	GSE41637												1.2218971745148849e-08																																																	
						rattus_norvegicus	1	GSE41637																																																									0.0				
						rattus_norvegicus	1	GSE41637																																																									0.0				
ENSSSCT00000065791	ENSSSCE00000280453	2_2	ENSSSCT00000065791	ENSSSCE00000373996	13_0	sus_scrofa	2	GSE43013																																																	0.0												
ENSSSCT00000065791	ENSSSCE00000373996	13_0	ENSSSCT00000065791	ENSSSCE00000167864	6_0	sus_scrofa	2	GSE43013																																																	2.0646114368242113e-08												
