TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000000263	ENSBTAE00000450321	3_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000450321	3_0				bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000450321	3_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000450321	3_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000450321	3_0				bos_taurus	2	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000450321	3_0	ENSBTAT00000000263	ENSBTAE00000002042	2_0	bos_taurus	7	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000450321	3_0	ENSBTAT00000000263	ENSBTAE00000002042	2_0	bos_taurus	7	GSE41637												0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002042	2_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000002042	2_0	ENSBTAT00000000263	ENSBTAE00000002044	13_0	bos_taurus	9	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002042	2_0	ENSBTAT00000000263	ENSBTAE00000002044	13_0	bos_taurus	9	GSE41637												6.664447405680575e-08																																									0.0				0.0				
ENSBTAT00000000263	ENSBTAE00000002044	13_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000002044	13_0	ENSBTAT00000000263	ENSBTAE00000002045	6_0	bos_taurus	10	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002044	13_0	ENSBTAT00000000263	ENSBTAE00000002045	6_0	bos_taurus	10	GSE41637						0.0						0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002045	6_0	ENSBTAT00000000263	ENSBTAE00000002047	8_0	bos_taurus	9	GSE43013						0.0																																											0.0												
ENSBTAT00000000263	ENSBTAE00000002045	6_0	ENSBTAT00000000263	ENSBTAE00000002047	8_0	bos_taurus	9	GSE41637												4.46241088414858e-09																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002047	8_0	ENSBTAT00000000263	ENSBTAE00000483291	10_0	bos_taurus	9	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002047	8_0	ENSBTAT00000000263	ENSBTAE00000483291	10_0	bos_taurus	9	GSE41637						0.0						3.560205733804765e-08																																													0.0				
ENSBTAT00000000263	ENSBTAE00000483291	10_1	ENSBTAT00000000263	ENSBTAE00000002050	11_0	bos_taurus	9	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000483291	10_1	ENSBTAT00000000263	ENSBTAE00000002050	11_0	bos_taurus	9	GSE41637						0.0						0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002050	11_0	ENSBTAT00000000263	ENSBTAE00000002051	4_0	bos_taurus	8	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002050	11_0	ENSBTAT00000000263	ENSBTAE00000002051	4_0	bos_taurus	8	GSE41637												0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002051	4_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000002051	4_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000000263	ENSBTAE00000002051	4_0				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000000263	ENSBTAE00000002051	4_0	ENSBTAT00000000263	ENSBTAE00000002052	9_0	bos_taurus	8	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002051	4_0	ENSBTAT00000000263	ENSBTAE00000002052	9_0	bos_taurus	8	GSE41637						0.0						0.0																																								0.0					0.0				
ENSBTAT00000000263	ENSBTAE00000002052	9_0	ENSBTAT00000000263	ENSBTAE00000002054	7_1	bos_taurus	7	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002052	9_0	ENSBTAT00000000263	ENSBTAE00000002054	7_1	bos_taurus	7	GSE41637												0.0																																													0.0				
ENSBTAT00000000263	ENSBTAE00000002054	7_1	ENSBTAT00000000263	ENSBTAE00000002055	5_0	bos_taurus	10	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002054	7_1	ENSBTAT00000000263	ENSBTAE00000002055	5_0	bos_taurus	10	GSE41637						0.0						0.0																																								0.0					0.0				
ENSBTAT00000000263	ENSBTAE00000002055	5_0	ENSBTAT00000000263	ENSBTAE00000002057	1_0	bos_taurus	4	GSE43013																																																	0.0												
ENSBTAT00000000263	ENSBTAE00000002055	5_0	ENSBTAT00000000263	ENSBTAE00000002057	1_0	bos_taurus	4	GSE41637												0.0																																													0.0				
			ENSBTAT00000000263	ENSBTAE00000002044	13_0	bos_taurus	1	GSE41637																																																									0.0				
			ENSBTAT00000000263	ENSBTAE00000002045	6_0	bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	1	GSE41637																																																									0.0				
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000385145	3_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000210769	2_0	sus_scrofa	3	GSE43013						0.0																																											0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000210769	2_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000181005	13_0	sus_scrofa	2	GSE43013																																																	0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000181005	13_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005071	6_0	sus_scrofa	2	GSE43013																																			0.0														0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005071	6_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005072	8_0	sus_scrofa	2	GSE43013																																																	0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005072	8_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005073	10_0	sus_scrofa	3	GSE43013						0.0																																											0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005073	10_1	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005074	11_0	sus_scrofa	2	GSE43013																																																	0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005074	11_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005075	4_0	sus_scrofa	2	GSE43013						0.0																																											0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005075	4_0				sus_scrofa	1	GSE43013																																																	0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005075	4_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005076	9_0	sus_scrofa	2	GSE43013																																																	0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005076	9_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005077	7_1	sus_scrofa	2	GSE43013						0.0																																											0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005077	7_1	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005078	5_0	sus_scrofa	3	GSE43013						0.0																																											0.0												
ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000005078	5_0	ENSSSCT00000000660/ENSSSCT00000061900	ENSSSCE00000273042	1_0	sus_scrofa	2	GSE43013						0.0																																											0.0												
						sus_scrofa	1	GSE43013																																																	0.0												
ENSXETT00000017534	ENSXETE00000432490	2_0	ENSXETT00000017534	ENSXETE00000421515	13_0	xenopus_tropicalis	20	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000432490	2_0	ENSXETT00000017534	ENSXETE00000421515	13_0	xenopus_tropicalis	20	GSE43520												0.0										0.0																																			0.0				
ENSXETT00000017534	ENSXETE00000432490	2_0	ENSXETT00000017534	ENSXETE00000421515	13_0	xenopus_tropicalis	20	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000421515	13_0	ENSXETT00000017534	ENSXETE00000398495	6_0	xenopus_tropicalis	20	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000421515	13_0	ENSXETT00000017534	ENSXETE00000398495	6_0	xenopus_tropicalis	20	GSE43520												0.0										0.0																																			0.0				
ENSXETT00000017534	ENSXETE00000421515	13_0	ENSXETT00000017534	ENSXETE00000398495	6_0	xenopus_tropicalis	20	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000398495	6_0	ENSXETT00000017534	ENSXETE00000374827	8_0	xenopus_tropicalis	23	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000398495	6_0	ENSXETT00000017534	ENSXETE00000374827	8_0	xenopus_tropicalis	23	GSE43520												0.0										0.0																																			0.0				
ENSXETT00000017534	ENSXETE00000398495	6_0	ENSXETT00000017534	ENSXETE00000374827	8_0	xenopus_tropicalis	23	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000374827	8_0	ENSXETT00000017534	ENSXETE00000382592	10_0	xenopus_tropicalis	8	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000374827	8_0	ENSXETT00000017534	ENSXETE00000382592	10_0	xenopus_tropicalis	8	GSE43520												3.4739777872470694e-08																																													0.0				
ENSXETT00000017534	ENSXETE00000374827	8_0	ENSXETT00000017534	ENSXETE00000382592	10_0	xenopus_tropicalis	8	GSE37452																										0.0																																			
ENSXETT00000017534	ENSXETE00000403403	4_0	ENSXETT00000017534	ENSXETE00000420137	9_0	xenopus_tropicalis	11	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000403403	4_0	ENSXETT00000017534	ENSXETE00000420137	9_0	xenopus_tropicalis	11	GSE43520												0.0																																													0.0				
ENSXETT00000017534	ENSXETE00000403403	4_0	ENSXETT00000017534	ENSXETE00000420137	9_0	xenopus_tropicalis	11	GSE43652																			0.0																																										
ENSXETT00000017534	ENSXETE00000403403	4_0	ENSXETT00000017534	ENSXETE00000420137	9_0	xenopus_tropicalis	11	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000420137	9_0	ENSXETT00000017534	ENSXETE00000400986	7_1	xenopus_tropicalis	15	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000420137	9_0	ENSXETT00000017534	ENSXETE00000400986	7_1	xenopus_tropicalis	15	GSE43520												0.0																																													0.0				
ENSXETT00000017534	ENSXETE00000420137	9_0	ENSXETT00000017534	ENSXETE00000400986	7_1	xenopus_tropicalis	15	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000420137	9_0	ENSXETT00000017534	ENSXETE00000361956	5_0	xenopus_tropicalis	1	GSE43520																																																									0.0				
ENSXETT00000017534	ENSXETE00000400986	7_1	ENSXETT00000017534	ENSXETE00000361956	5_0	xenopus_tropicalis	19	GSE41338												0.0																																																	
ENSXETT00000017534	ENSXETE00000400986	7_1	ENSXETT00000017534	ENSXETE00000361956	5_0	xenopus_tropicalis	19	GSE43520												0.0																																													0.0				
ENSXETT00000017534	ENSXETE00000400986	7_1	ENSXETT00000017534	ENSXETE00000361956	5_0	xenopus_tropicalis	19	GSE37452																			0.0							0.0																																			
ENSXETT00000017534	ENSXETE00000361956	5_0	ENSXETT00000017534	ENSXETE00000428357	1_0	xenopus_tropicalis	16	GSE43520																																																									0.0				
ENSXETT00000017534	ENSXETE00000361956	5_0	ENSXETT00000017534	ENSXETE00000428357	1_0	xenopus_tropicalis	16	GSE37452																			0.0							0.0																																			
			ENSXETT00000017534	ENSXETE00000420137	9_0	xenopus_tropicalis	1	GSE43520																																																									0.0				
						xenopus_tropicalis	1	GSE43520												6.947955574494139e-08																																																	
						xenopus_tropicalis	1	GSE43520												0.0																																																	
