TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000015137	ENSBTAE00000122727	3_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																														1.3212827414523973e-08																									
ENSBTAT00000015137	ENSBTAE00000122727	3_0	ENSBTAT00000015137	ENSBTAE00000122728	2_0	bos_taurus	7	GSE41637						1.134256583792777e-07						1.6064679182934886e-07																	9.67495451973192e-09																							5.768682078816119e-08	1.2911956121454455e-08								
ENSBTAT00000015137	ENSBTAE00000122727	3_0	ENSBTAT00000015137	ENSBTAE00000122728	2_0	bos_taurus	7	GSE43013																																																	3.93737423810608e-06												
ENSBTAT00000015137	ENSBTAE00000122728	2_0	ENSBTAT00000015137	ENSBTAE00000122730	12_0	bos_taurus	11	GSE41637						1.6966699248587507e-07						2.677446530489148e-08																	9.67495451973192e-09						5.833369791894533e-08	1.3212827414523973e-08																									
ENSBTAT00000015137	ENSBTAE00000122728	2_0	ENSBTAT00000015137	ENSBTAE00000122730	12_0	bos_taurus	11	GSE43013						1.593732319793956e-07																																											6.017872337034773e-07												
ENSBTAT00000015137	ENSBTAE00000122730	12_0	ENSBTAT00000015137	ENSBTAE00000122731	6_0	bos_taurus	12	GSE41637						2.6929441408508427e-07						1.2703286559552304e-07																	9.67495451973192e-09							5.171284908031789e-08																									
ENSBTAT00000015137	ENSBTAE00000122730	12_0	ENSBTAT00000015137	ENSBTAE00000122731	6_0	bos_taurus	12	GSE43013						9.782651085744617e-08																																											1.2740218597215886e-06												
ENSBTAT00000015137	ENSBTAE00000122731	6_0				bos_taurus	6	GSE41637												4.0161697957337216e-08																	9.67495451973192e-09						2.534636280010648e-08																										
ENSBTAT00000015137	ENSBTAE00000122731	6_0				bos_taurus	6	GSE43013						8.836798124053799e-08																																											1.6963640269183436e-07												
ENSBTAT00000015137	ENSBTAE00000122731	6_0	ENSBTAT00000015137	ENSBTAE00000122732	8_0	bos_taurus	14	GSE41637						1.8506469021771347e-07						1.0709786121956592e-07																	2.902486355919576e-08						5.833369791894533e-08	9.72952142165016e-08																1.0684740004107856e-08	1.2911956121454455e-08								
ENSBTAT00000015137	ENSBTAE00000122731	6_0	ENSBTAT00000015137	ENSBTAE00000122732	8_0	bos_taurus	14	GSE43013						2.398370123351614e-07																																											9.890767980884397e-07												
ENSBTAT00000015137	ENSBTAE00000122732	8_0	ENSBTAT00000015137	ENSBTAE00000451473	10_0	bos_taurus	15	GSE41637						3.702133162456746e-07						1.197579415970011e-07				3.440011136462719e-08													4.83747725986596e-08							3.963848224357192e-08																	1.4144224328184223e-07				3.660281334347752e-08				
ENSBTAT00000015137	ENSBTAE00000122732	8_0	ENSBTAT00000015137	ENSBTAE00000451473	10_0	bos_taurus	15	GSE43013						3.0138373345711076e-07																																											4.897709418131954e-06												
ENSBTAT00000015137	ENSBTAE00000451473	10_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																																																							
ENSBTAT00000015137	ENSBTAE00000451473	10_0				bos_taurus	2	GSE43013																																																	2.88100554007762e-07												
ENSBTAT00000015137	ENSBTAE00000451473	10_0	ENSBTAT00000015137	ENSBTAE00000122736	11_0	bos_taurus	13	GSE41637						1.3558470600978873e-07						1.2048509387201166e-07																							4.18400303595259e-08	3.963848224357192e-08																	8.333844073529717e-08								
ENSBTAT00000015137	ENSBTAE00000451473	10_0	ENSBTAT00000015137	ENSBTAE00000122736	11_0	bos_taurus	13	GSE43013						2.3037848271825316e-07																																											9.186294057738058e-07												
ENSBTAT00000015137	ENSBTAE00000451473	10_0				bos_taurus	1	GSE43013																																																	1.9206703600517468e-07												
ENSBTAT00000015137	ENSBTAE00000122736	11_0	ENSBTAT00000015137	ENSBTAE00000122739	5_0	bos_taurus	15	GSE41637						2.8419253025405835e-07						1.740340244817946e-07																	9.67495451973192e-09						2.534636280010648e-08	3.850002166579392e-08																5.245274820404413e-08	1.2911956121454455e-07				1.049575656562052e-07				
ENSBTAT00000015137	ENSBTAE00000122736	11_0	ENSBTAT00000015137	ENSBTAE00000122739	5_0	bos_taurus	15	GSE43013						2.8402100295543035e-07																																											1.2740218597215886e-06												
ENSBTAT00000015137	ENSBTAE00000122739	5_0	ENSBTAT00000015137	ENSBTAE00000122741	9_0	bos_taurus	14	GSE41637						3.3638283720033146e-07						1.3372648192174593e-07																	2.902486355919576e-08							2.6425654829047946e-08																	1.5258637724082632e-07				2.4401875562318345e-08				
ENSBTAT00000015137	ENSBTAE00000122739	5_0	ENSBTAT00000015137	ENSBTAE00000122741	9_0	bos_taurus	14	GSE43013						3.8184751381287653e-07																													7.219588476237266e-08														1.4660888957267635e-06												
ENSBTAT00000015137	ENSBTAE00000122739	5_0				bos_taurus	1	GSE41637						2.3222450313129197e-08																																																							
ENSBTAT00000015137	ENSBTAE00000122741	9_0	ENSBTAT00000015137	ENSBTAE00000255301	7_0	bos_taurus	15	GSE41637						1.5710003000892013e-07						1.740340244817946e-07																	1.934990903946384e-08						2.534636280010648e-08																	3.156874410407599e-08	9.561205743219106e-08				2.4401875562318345e-08				
ENSBTAT00000015137	ENSBTAE00000122741	9_0	ENSBTAT00000015137	ENSBTAE00000255301	7_0	bos_taurus	15	GSE43013						2.398370123351614e-07																																											1.299607985409542e-06												
ENSBTAT00000015137	ENSBTAE00000255301	7_0	ENSBTAT00000015137	ENSBTAE00000397484	4_0	bos_taurus	12	GSE41637						9.288980125251679e-08						1.3198255890484873e-07				6.880022272925438e-08																				6.492567649484187e-08																	1.6278602033046827e-07								
ENSBTAT00000015137	ENSBTAE00000255301	7_0	ENSBTAT00000015137	ENSBTAE00000397484	4_0	bos_taurus	12	GSE43013						9.782651085744617e-08																																											1.3700553777241762e-06												
ENSBTAT00000015137	ENSBTAE00000397484	4_1	ENSBTAT00000015137	ENSBTAE00000405955	1_0	bos_taurus	11	GSE41637						1.1236225569665955e-07						1.0709786121956592e-07																	9.67495451973192e-09							1.3212827414523973e-08																1.0684740004107856e-08	1.2911956121454455e-08				1.2200937781159173e-08				
ENSBTAT00000015137	ENSBTAE00000397484	4_1	ENSBTAT00000015137	ENSBTAE00000405955	1_0	bos_taurus	11	GSE43013						5.3642520237177185e-08																																											1.3444692520362228e-06												
			ENSBTAT00000015137	ENSBTAE00000122728	2_0	bos_taurus	1	GSE41637						2.3222450313129197e-08																																																							
			ENSBTAT00000015137	ENSBTAE00000122731	6_0	bos_taurus	1	GSE41637												9.371062856712017e-08																																																	
			ENSBTAT00000015137	ENSBTAE00000451473	10_0	bos_taurus	2	GSE41637																													1.934990903946384e-08																																
			ENSBTAT00000015137	ENSBTAE00000451473	10_0	bos_taurus	2	GSE43013																																																	9.603351800258734e-08												
			ENSBTAT00000015137	ENSBTAE00000255301	7_0	bos_taurus	2	GSE41637																																				3.1893607958531935e-08																									
			ENSBTAT00000015137	ENSBTAE00000405955	1_0	bos_taurus	1	GSE41637						1.1611225156564598e-08																																																							
						gorilla_gorilla	1	GSE30352														0.0																																															
						gorilla_gorilla	1	GSE30352														5.7812938836338855e-08																																															
						monodelphis_domestica	6	GSE30352														1.7316180614693099e-06																																											1.2472355025086896e-07				
						monodelphis_domestica	6	GSE43520																						8.275040643212323e-08																																			2.4259174540830836e-08				
						monodelphis_domestica	4	GSE30352														3.025055650667207e-07																																															
						monodelphis_domestica	4	GSE43520																						4.123033675148148e-08																																							
						monodelphis_domestica	2	GSE30352														1.7325356191917595e-07																																															
						monodelphis_domestica	1	GSE30352														8.616800209836318e-08																																															
ENSSSCT00000026855	ENSSSCE00000149863	3_0	ENSSSCT00000026855	ENSSSCE00000239875	2_0	sus_scrofa	2	GSE43013																																																	3.2429706584122253e-06												
ENSSSCT00000026855	ENSSSCE00000149863	3_0	ENSSSCT00000026855	ENSSSCE00000239875	2_0	sus_scrofa	2	GSE43892																																8.794756073922387e-08																													
ENSSSCT00000026855	ENSSSCE00000239875	2_0	ENSSSCT00000026855	ENSSSCE00000200652	12_0	sus_scrofa	1	GSE43013																																																	3.0628056218337685e-06												
ENSSSCT00000026855	ENSSSCE00000200652	12_0	ENSSSCT00000026855	ENSSSCE00000247036	6_0	sus_scrofa	1	GSE43013																																																	2.0718979206522553e-06												
ENSSSCT00000026855	ENSSSCE00000200652	12_0				sus_scrofa	1	GSE43013																																																	9.008251828922848e-08												
ENSSSCT00000026855	ENSSSCE00000247036	6_0	ENSSSCT00000026855	ENSSSCE00000226646	8_0	sus_scrofa	1	GSE43013																																																	2.7024755486768546e-07												
ENSSSCT00000026855	ENSSSCE00000247036	6_0				sus_scrofa	1	GSE43013																																																	9.909077011815132e-07												
ENSSSCT00000026855	ENSSSCE00000226646	8_0	ENSSSCT00000026855	ENSSSCE00000185458	10_0	sus_scrofa	1	GSE43013																																																	2.7024755486768545e-06												
ENSSSCT00000026855	ENSSSCE00000185458	10_0				sus_scrofa	1	GSE43013																																																	9.008251828922848e-08												
ENSSSCT00000026855	ENSSSCE00000185458	10_0				sus_scrofa	1	GSE43013																																																	9.008251828922848e-08												
ENSSSCT00000026855	ENSSSCE00000185458	10_0				sus_scrofa	1	GSE43013																																																	1.8016503657845696e-07												
ENSSSCT00000026855	ENSSSCE00000185458	10_0	ENSSSCT00000026855	ENSSSCE00000149865	11_0	sus_scrofa	1	GSE43013																																																	1.1710727377599702e-06												
ENSSSCT00000026855	ENSSSCE00000149865	11_0	ENSSSCT00000026855	ENSSSCE00000149866	5_0	sus_scrofa	1	GSE43013																																																	4.053713323015281e-06												
ENSSSCT00000026855	ENSSSCE00000149866	5_0	ENSSSCT00000026855	ENSSSCE00000149867	9_0	sus_scrofa	1	GSE43013																																																	5.044621024196795e-06												
ENSSSCT00000026855	ENSSSCE00000149866	5_0				sus_scrofa	1	GSE43013																																																	1.8016503657845696e-07												
ENSSSCT00000026855	ENSSSCE00000149867	9_0	ENSSSCT00000026855	ENSSSCE00000149868	7_0	sus_scrofa	1	GSE43013																																																	2.5223105120983977e-06												
ENSSSCT00000026855	ENSSSCE00000149868	7_0	ENSSSCT00000026855	ENSSSCE00000351210	4_0	sus_scrofa	1	GSE43013																																																	4.233878359593739e-06												
ENSSSCT00000026855	ENSSSCE00000301946	4_1	ENSSSCT00000026855	ENSSSCE00000355408	1_0	sus_scrofa	1	GSE43013																																																	1.1710727377599702e-06												
ENSSSCT00000026855	ENSSSCE00000301946	4_1				sus_scrofa	1	GSE43013																																																	9.008251828922848e-08												
			ENSSSCT00000026855	ENSSSCE00000247036	6_0	sus_scrofa	1	GSE43013																																																	1.8016503657845696e-07												
			ENSSSCT00000026855	ENSSSCE00000185458	10_0	sus_scrofa	1	GSE43013																																																	9.909077011815132e-07												
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	1	GSE43520												5.635737700594221e-08																																																	
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	1	GSE43520												5.635737700594221e-08																																																	
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	1	GSE43520												6.052595725281638e-08																																																	
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	1	GSE43520												6.052595725281638e-08																																																	
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	9	GSE30352														2.639452248951931e-07											4.9328491248632365e-08																								7.315041195020242e-08												
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	9	GSE43520												5.635737700594221e-08																																																	
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	9	GSE30611												1.58700454035651e-08																													1.5803774769532762e-08																2.7287148778921922e-08			2.781937082820715e-08	
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	9	GSE30352														2.639452248951931e-07											4.9328491248632365e-08																								7.315041195020242e-08												
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	9	GSE43520												5.635737700594221e-08																																																	
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	9	GSE30611												1.58700454035651e-08																													1.5803774769532762e-08																2.7287148778921922e-08			2.781937082820715e-08	
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	3	GSE30352														1.4582621303245778e-07																																															
			ENST00000293190	ENSE00002475396	3_0	homo_sapiens	3	GSE43520												5.635737700594221e-08																																																	
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	3	GSE30352														1.4582621303245778e-07																																															
			ENST00000347612	ENSE00002475396	3_0	homo_sapiens	3	GSE43520												5.635737700594221e-08																																																	
