TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000042550	ENSBTAE00000255311	4_1	ENSBTAT00000042550	ENSBTAE00000255310	3_0	bos_taurus	9	GSE41637						5.8056125782822997e-08						1.4042009824796878e-07				1.1466703788209064e-08													1.2577440875651495e-07																												4.185069162628778e-07				
ENSBTAT00000042550	ENSBTAE00000255311	4_1	ENSBTAT00000042550	ENSBTAE00000255310	3_0	bos_taurus	9	GSE43013																																																	1.4720576937849404e-07												
ENSBTAT00000042550	ENSBTAE00000255310	3_0				bos_taurus	1	GSE41637																																																									1.2200937781159173e-08				
ENSBTAT00000042550	ENSBTAE00000255310	3_0	ENSBTAT00000042550	ENSBTAE00000255309	17_0	bos_taurus	16	GSE41637						4.6444900626258393e-08						2.2045180495722029e-07				4.259111871923829e-08													2.2460343216505996e-07																							5.245274820404413e-08	1.5258637724082632e-07				1.0826149545358852e-06				
ENSBTAT00000042550	ENSBTAE00000255310	3_0	ENSBTAT00000042550	ENSBTAE00000255309	17_0	bos_taurus	16	GSE43013						5.3642520237177185e-08																																											6.175646955765426e-07												
ENSBTAT00000042550	ENSBTAE00000255309	17_0	ENSBTAT00000042550	ENSBTAE00000255307	11_0	bos_taurus	16	GSE41637						7.27863703313016e-08						1.7374233527637168e-07				5.733351894104532e-08													2.549182030850083e-07																							5.245274820404413e-08	7.629318862041316e-08				1.2933139809621365e-06				
ENSBTAT00000042550	ENSBTAE00000255309	17_0	ENSBTAT00000042550	ENSBTAE00000255307	11_0	bos_taurus	16	GSE43013						5.3642520237177185e-08																																											3.2946414156878053e-07												
ENSBTAT00000042550	ENSBTAE00000255309	17_0				bos_taurus	2	GSE41637																																																									6.467972060926177e-08				
ENSBTAT00000042550	ENSBTAE00000255307	11_0	ENSBTAT00000042550	ENSBTAE00000255306	7_0	bos_taurus	14	GSE41637						1.1611225156564598e-08						2.0900615927997272e-07				5.733351894104532e-08													3.0682967092126916e-07							1.3212827414523973e-08																1.7306046236448357e-07					2.6671213035813985e-06				
ENSBTAT00000042550	ENSBTAE00000255307	11_0	ENSBTAT00000042550	ENSBTAE00000255306	7_0	bos_taurus	14	GSE43013																																																	8.352178572696705e-07												
