TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000036098	ENSBTAE00000283284	2_1	ENSBTAT00000036098	ENSBTAE00000283283	1_0	bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000036098	ENSBTAE00000283282	8_0	ENSBTAT00000036098	ENSBTAE00000199573	9_0	bos_taurus	4	GSE41637												4.0015853354625744e-08																																													1.2200937781159173e-08				
ENSBTAT00000036098	ENSBTAE00000283282	8_0	ENSBTAT00000036098	ENSBTAE00000199573	9_0	bos_taurus	4	GSE43013																																																	1.0234450275181341e-07												
ENSBTAT00000036098	ENSBTAE00000199573	9_0	ENSBTAT00000036098	ENSBTAE00000283281	7_0	bos_taurus	6	GSE41637						2.3222450313129197e-08						2.677446530489148e-08																																													6.341925150447072e-07				
ENSBTAT00000036098	ENSBTAE00000199573	9_0	ENSBTAT00000036098	ENSBTAE00000283281	7_0	bos_taurus	6	GSE43013																																																	1.0234450275181341e-07												
ENSBTAT00000036098	ENSBTAE00000199573	9_0				bos_taurus	1	GSE41637																																																									6.100468890579586e-08				
ENSBTAT00000036098	ENSBTAE00000283281	7_0				bos_taurus	2	GSE41637																																																									1.3251700309985087e-07				
ENSBTAT00000036098	ENSBTAE00000283281	7_0	ENSBTAT00000036098	ENSBTAE00000283280	5_0	bos_taurus	8	GSE41637						2.3222450313129197e-08						9.18208609475115e-08																																								2.3074728315264475e-07					2.3275940565263306e-06				
ENSBTAT00000036098	ENSBTAE00000283281	7_0	ENSBTAT00000036098	ENSBTAE00000283280	5_0	bos_taurus	8	GSE43013																																																	5.1172251375906704e-08												
ENSBTAT00000036098	ENSBTAE00000283280	5_0	ENSBTAT00000036098	ENSBTAE00000283279	10_0	bos_taurus	9	GSE41637												3.921681414753288e-08																																								5.506978449610266e-08					2.450540038188078e-06				
ENSBTAT00000036098	ENSBTAE00000283280	5_0	ENSBTAT00000036098	ENSBTAE00000283279	10_0	bos_taurus	9	GSE43013																																																	1.4720576937849404e-07												
ENSBTAT00000036098	ENSBTAE00000283279	10_0				bos_taurus	1	GSE41637																																																									2.4401875562318345e-08				
ENSBTAT00000036098	ENSBTAE00000283279	10_0	ENSBTAT00000036098	ENSBTAE00000283278	3_0	bos_taurus	6	GSE41637						2.3222450313129197e-08						4.0161697957337216e-08																								1.3212827414523973e-08																					2.3541127790526976e-06				
						gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
						gorilla_gorilla	1	GSE30352																																																									0.0				
						gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENST00000234389	ENSE00000769054	4_1	ENST00000234389	ENSE00000769056	2_0	homo_sapiens	5	GSE30352						6.160080154962977e-08																																																			1.816820524112751e-07				
ENST00000234389	ENSE00000769054	4_1	ENST00000234389	ENSE00000769056	2_0	homo_sapiens	5	GSE43520																																																4.47345589946391e-08													
ENST00000234389	ENSE00000769054	4_1	ENST00000234389	ENSE00000769056	2_0	homo_sapiens	5	GSE30611																																				3.460698619988644e-08																									
ENST00000234389	ENSE00000769056	2_1	ENST00000234389	ENSE00000769058	1_0	homo_sapiens	5	GSE30352						6.160080154962977e-08																																																							
ENST00000234389	ENSE00000769056	2_1	ENST00000234389	ENSE00000769058	1_0	homo_sapiens	5	GSE64283																																				5.200927429379207e-08																									
ENST00000234389	ENSE00000769056	2_1	ENST00000234389	ENSE00000769058	1_0	homo_sapiens	5	GSE30611																						1.3988072482498753e-08														1.0496735546461378e-07																									
ENST00000234389	ENSE00000769058	1_0				homo_sapiens	1	GSE30611																																				1.4148500310609102e-08																									
