Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
monodelphis_domestica	10_1,33_2,25_0					5.654086839430896e-07	1.3878636107983063e-06																													
homo_sapiens	10_1,33_2,25_0					5.200801559852871e-07																				7.15883947788178e-07										
bos_taurus	10_1,33_2,25_0					3.884879182469582e-06																				3.988413302214047e-06										
mus_musculus	10_1,33_2,25_0	2.575367835352294e-06				1.6737346756314953e-06	7.131355574450424e-07																													
gorilla_gorilla	10_1,25_0						1.1633667112620392e-06							1.8192515735470294e-06												2.2889097686029355e-06						1.3546166336095205e-07				
mus_musculus	10_1,25_0	3.914452778525576e-06			4.040278669332604e-08	1.6834355964618784e-06	1.1088024249459674e-06	3.3956370728923396e-07			3.645655284845802e-08	3.1518045215535517e-08	2.5489011788973816e-08								8.664167418026607e-08											5.843132802663908e-08		3.318894923488022e-08		2.8521641842063766e-08
monodelphis_domestica	10_1,25_0					3.871579543819762e-07	1.2554001556221884e-06					4.123033675148148e-08																				5.5947559399087224e-08				
homo_sapiens	10_1,25_0			3.224899223210222e-07		2.342793558261697e-06	1.0613316490202403e-06		1.3470324414862325e-08			6.043229760634316e-08		1.3744139752768158e-06		7.56815224177419e-08	2.1457902849058738e-07	1.5870140105676027e-07	1.1157891936798493e-07				2.3117603615540548e-07		4.47345589946391e-08	1.8467315883308384e-06				1.727955389410892e-07		1.6889322730680328e-07			3.478517186338693e-08	
bos_taurus	10_1,25_0				1.0947933496195978e-07	3.1817121718708093e-06			4.5866815152836276e-08							5.1310662116021015e-08					2.6425654829047956e-08					4.2490077976555e-06						5.405756376876626e-08				
rattus_norvegicus	10_1,25_0				9.435188427859132e-08	5.5815161163039555e-06			1.6921158063752494e-08												3.4789914232003775e-08											7.314902489268602e-08				
mus_musculus	27_1,33_2,25_0	5.710408010851703e-06				3.465206899850488e-06	1.5019310019786679e-06	6.20072856789036e-07																												2.622452565210802e-08
monodelphis_domestica	27_1,33_2,25_0					1.1249044485539287e-06	3.035148785614152e-06																													
bos_taurus	27_1,33_2,25_0				1.7416837734846898e-08	7.255460900569408e-06			1.1589586561234397e-07																	6.2310391656666766e-06										
gorilla_gorilla	27_1,33_2,25_0						7.766833413843826e-07							1.3806819977812278e-06												2.024741077236954e-06										
homo_sapiens	27_1,33_2,25_0					8.903398997524128e-07	5.17674195126178e-07							7.057058544309074e-07				1.2969023508615108e-07	3.2536049394453284e-08				6.375044933973839e-08			1.4809589679779461e-06				1.0458191729530199e-07	4.3416043791158407e-07					
