,path,brain,embryo,gastrula,testis,Species,adult mammalian kidney,colon,heart,liver,lung,skeletal muscle tissue,spleen,cerebellum,female gonad,frontal cortex,prefrontal cortex,Ammon's horn,cerebral cortex,embryonic stem cell,fibroblast,placenta,thymus,zone of skin,adrenal tissue,heart left ventricle,intestine,kidney,lymph node,multi-cellular organism,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland,adipose tissue,muscle of leg
0,"27_1,10_1,33_2,25_0",0.14814842297925776,,,,bos_taurus,,,,,,,,,,,0.15736152771327064,,,,,,,,,,,,,,,,,,,,
1,"27_1,10_1,25_0",0.13838164787960602,,,0.0855220746117972,bos_taurus,0.2841418891803339,0.1592800776888486,,,0.6000000000000001,,,,,,0.17067380033675197,,,,,,,,,,,,,,,,,,,,
2,"27_1,25_0",0.44830041058540765,,,0.9144779253882027,bos_taurus,0.6619111730295468,0.4382524211986614,,1.0,0.4000000000000001,,,,,,0.4534381554066702,,,,,,,,,,,,,,,,,,,,
3,"27_1,33_2,25_0",0.26516951855572857,,,,bos_taurus,0.05394693779011941,0.40246750111248997,,,,,,,,,0.21852651654330718,,,,,,,,,,,,,,,,,,,,
4,"27_1,25_0",,,,0.7491739687641299,gorilla_gorilla,1.0,,1.0,,,,,0.6766219185284278,,0.7152317880794702,0.7553850790265946,,,,,,,,,,,,,,,,,,,,
5,"27_1,10_1,25_0",,,,0.25082603123587005,gorilla_gorilla,,,,,,,,0.20398703255072634,,0.17218543046357615,0.13775458337280908,,,,,,,,,,,,,,,,,,,,
6,"27_1,33_2,25_0",,,,,gorilla_gorilla,,,,,,,,0.1193910489208458,,0.11258278145695365,0.10686033760059634,,,,,,,,,,,,,,,,,,,,
7,"27_1,10_1,33_2,25_0",0.07947677121317939,,,,homo_sapiens,,,,,,,,,,,0.07041189913723522,,,,,,,,,,,,,,,,,,,,
8,"27_1,33_2,25_0",0.05933089789209213,,,,homo_sapiens,,,,,,,,0.0792587882425398,,0.08322780123170397,0.08517054912403876,,,,,,,,,,0.17663869795331916,0.05172058715646889,,0.10031403397499918,,0.1288588198572054,0.051282051282051315,,,,
9,"27_1,10_1,25_0",0.16261790679651114,,,0.23653717534056296,homo_sapiens,,1.0,0.10383679035605568,,,,,0.1983200790098699,0.35383087495475135,0.1797157557988051,0.1175502135932791,,,,,,,,0.16903927894569912,0.19607642720382404,0.2288863821844806,0.2660553754098507,,0.3661980651853838,,0.22483082894551368,,,0.7332866640455925,,
10,"27_1,25_0",0.6985744240982174,,,0.7634628246594372,homo_sapiens,1.0,,0.8961632096439444,1.0,1.0,,,0.7224211327475903,0.6461691250452486,0.737056442969491,0.7268673381454469,,,,,,,,0.8309607210543007,0.803923572796176,0.5944749198622001,0.6822240374336803,1.0,0.533487900839617,1.0,0.6463103511972809,0.9487179487179487,1.0,0.2667133359544075,,
11,"27_1,25_0",0.7160892437416848,,,0.9717332560968873,monodelphis_domestica,,,1.0,,,,,0.6296042484363261,0.6658867824714543,,,,,,,,,,,,,,,,,,,,,,
12,"27_1,10_1,25_0",0.05648685355727145,,,0.02826674390311272,monodelphis_domestica,,,,,,,,0.08853038973368384,0.3341132175285456,,,,,,,,,,,,,,,,,,,,,,
13,"27_1,33_2,25_0",0.15549973043105744,,,,monodelphis_domestica,,,,,,,,0.19096060507535026,,,,,,,,,,,,,,,,,,,,,,,
14,"27_1,10_1,33_2,25_0",0.0719241722699862,,,,monodelphis_domestica,,,,,,,,0.09090475675463977,,,,,,,,,,,,,,,,,,,,,,,
15,"27_1,25_0",0.4759762263027744,,,0.9053090116433714,mus_musculus,1.0,1.0,1.0,1.0,0.6865173372519068,1.0,1.0,0.6528076067549317,1.0,,,0.49123473138783164,0.4769230769230768,0.8888888888888888,0.9285714285714286,1.0,0.6607886169868602,0.5817382352381442,,,,,,,,,,,,,
16,"27_1,33_2,25_0",0.257301212335207,,,,mus_musculus,,,,,,,,0.15320962055099493,,,,0.2040308946014311,0.3230769230769231,,,,,0.1985059091831795,,,,,,,,,,,,,
17,"27_1,10_1,25_0",0.1353217135494284,,,0.09469098835662858,mus_musculus,,,,,0.3134826627480933,,,0.10991276721320299,,,,0.17400623274852978,0.20000000000000007,0.11111111111111115,0.0714285714285714,,0.33921138301313974,0.21975585557867625,,,,,,,,,,,,,
18,"27_1,10_1,33_2,25_0",0.13140084781259015,,,,mus_musculus,,,,,,,,0.08407000548087047,,,,0.13072814126220755,,,,,,,,,,,,,,,,,,,
19,"27_1,25_0",1.0,,,1.0,ornithorhynchus_anatinus,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
20,"27_1,10_1,25_0",0.3023818841806219,,,0.16321633999254986,rattus_norvegicus,0.29039452010888334,0.586493476469589,,,0.1813845235582044,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"27_1,25_0",0.697618115819378,,,0.8367836600074502,rattus_norvegicus,0.7096054798911167,0.4135065235304109,1.0,1.0,0.8186154764417957,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,"27_1,25_0",1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"13_2,4_1",0.39313503827433904,,,1.0,bos_taurus,0.9499174671013744,0.5196706089302399,,1.0,,,,,,,0.5453883598360915,,,,,,,,,,,,,,,,,,,,
24,"13_2,26_0,4_1",0.606864961725661,,,,bos_taurus,0.05008253289862561,0.48032939106976,,,,,,,,,0.45461164016390854,,,,,,,,,,,,,,,,,,,,
25,"13_2,4_1",,,,1.0,gorilla_gorilla,1.0,,1.0,,,,,0.5276027882032379,,0.2947019867549668,0.2883471508932948,,,,,,,,,,,,,,,,,,,,
26,"13_2,26_0,4_1",,,,,gorilla_gorilla,,,,,,,,0.4723972117967622,,0.7052980132450332,0.7116528491067052,,,,,,,,,,,,,,,,,,,,
27,"13_2,4_1",0.43362490351907074,,,1.0,homo_sapiens,1.0,1.0,0.8183325221635217,,1.0,,,0.5099524935202321,1.0,0.4866226391637401,0.4572309853548812,,,,,,,,0.9214951587474379,1.0,0.532782690972099,1.0,1.0,0.48535635892158746,,0.7396883875126773,0.3647798742138367,1.0,1.0,1.0,1.0
28,"13_2,26_0,4_1",0.5663750964809293,,,,homo_sapiens,,,0.18166747783647827,,,,,0.49004750647976786,,0.51337736083626,0.5427690146451187,,,,,,,,0.07850484125256203,,0.4672173090279011,,,0.5146436410784124,,0.26031161248732265,0.6352201257861633,,,,
29,"13_2,4_1",0.3844142596324059,,,1.0,monodelphis_domestica,,,,,,,,0.28562032467963344,1.0,,,,,,,,,,,,,,,,,,,,,,
30,"13_2,26_0,4_1",0.6155857403675941,,,,monodelphis_domestica,,,,,,,,0.7143796753203666,,,,,,,,,,,,,,,,,,,,,,,
