Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	22_0,4_2,48_0					4.1370812385857344e-07						1.3819015683739005e-06								1.5106285387488728e-06		1.5774107614537247e-07					6.371193813125705e-08							1.973434247079188e-06						1.7618096818957618e-06				
homo_sapiens	22_0,4_2,48_0		7.748708778964129e-07	2.6415205911768474e-07	3.2890003074992147e-06	1.829432719092449e-07				1.7182977422006881e-06		6.877442091821429e-07		3.162630747046943e-07				4.853702851612422e-07		2.1628923385027357e-06		9.116785836004604e-07	3.122696260138711e-07	2.389128862773803e-06	2.056966891975922e-06	1.8638795988636413e-07	1.7202783144319348e-07	1.1404891854015427e-06	1.5957646754945677e-07		2.1137049195216244e-06	1.469882742402616e-06	5.616473600782763e-07	1.215840727604762e-06	2.1236575103632787e-07	2.334906216722017e-06		2.022362542520452e-06		1.0302296815934648e-06	2.9955760256430224e-07		1.0156517712244192e-06	
sus_scrofa	22_0,4_2,48_0					6.337798715590156e-07																3.2234416271453558e-06			7.915280466530149e-07		6.250305177572449e-07	2.962379972247278e-06						5.85948297893736e-06										
gorilla_gorilla	22_0,7_1,4_0,4_1,48_0											1.8123006908366527e-06								1.4375336094545726e-06		1.5365030002462082e-07												2.0271813136268545e-06						3.3259258580786175e-07				
homo_sapiens	22_0,7_1,4_0,4_1,48_0				1.2021318152922727e-06					1.8184245054174563e-06		1.1932926249609326e-06								1.999166588717441e-06		5.87766553587666e-07	6.82160315835689e-07	9.965746993376688e-07	8.430185880487812e-07			4.476130031453747e-07			1.3920104875982174e-06	1.3131015106610588e-06		1.2099155623207667e-06		1.5512775101955666e-06		8.252668112364855e-07		4.0607060112629255e-07	1.5566539659447882e-07		6.591457665491941e-07	
sus_scrofa	22_0,7_1,4_0,4_1,48_0																					2.0552563863000432e-06												5.3846620191530816e-06										
ornithorhynchus_anatinus	22_0,7_1,4_0,4_1,48_0									1.2325158762168778e-06		3.14244334561397e-06										5.155042730601519e-07																						
gorilla_gorilla	22_0,4_2,48_0					4.1370812385857344e-07						1.3819015683739005e-06								1.5106285387488728e-06		1.5774107614537247e-07					6.371193813125705e-08							1.973434247079188e-06						1.7618096818957618e-06				
homo_sapiens	22_0,4_2,48_0		7.748708778964129e-07	2.6415205911768474e-07	3.2890003074992147e-06	1.829432719092449e-07				1.7182977422006881e-06		6.877442091821429e-07		3.162630747046943e-07				4.853702851612422e-07		2.1628923385027357e-06		9.116785836004604e-07	3.122696260138711e-07	2.389128862773803e-06	2.056966891975922e-06	1.8638795988636413e-07	1.7202783144319348e-07	1.1404891854015427e-06	1.5957646754945677e-07		2.1137049195216244e-06	1.469882742402616e-06	5.616473600782763e-07	1.215840727604762e-06	2.1236575103632787e-07	2.334906216722017e-06		2.022362542520452e-06		1.0302296815934648e-06	2.9955760256430224e-07		1.0156517712244192e-06	
sus_scrofa	22_0,4_2,48_0					6.337798715590156e-07																3.2234416271453558e-06			7.915280466530149e-07		6.250305177572449e-07	2.962379972247278e-06						5.85948297893736e-06										
