,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow,brown adipose tissue,cerebral cortex,embryonic stem cell,female gonad,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,blastula,embryo,gastrula,mesonephros,bone marrow macrophage,temporal lobe,egg cell
0,"22_0,7_1,4_0,4_1,48_0",,,,0.34187341325441223,,,,,0.1491394939959751,gorilla_gorilla,,0.29470204991357213,0.3224858817005997,,0.27579908675799086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"22_0,4_0,4_1,48_0",0.3232826965137781,,,0.2705294428762469,,,,,0.22333106384435683,gorilla_gorilla,,0.20393577628612664,0.19733195809425116,,0.23013698630136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"22_0,4_2,48_0",0.6767173034862219,,,0.38759714386934074,1.0,,,,0.6275294421596681,gorilla_gorilla,,0.2614287693164609,0.23744700664487162,,0.2547945205479452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"22_0,7_1,4_2,48_0",,,,,,,,,,gorilla_gorilla,,0.23993340448384023,0.24273515356027744,,0.2392694063926941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"22_0,7_1,4_0,4_1,48_0",,0.2772867154681653,,0.22611519009365633,,0.2298937830865057,0.2160912320981872,,0.1806915729771728,homo_sapiens,0.23441196643870746,0.27099409052469514,0.3556647771815498,,0.26868860576724224,,,,,,,,,,,,0.17910465336406675,0.3697497686096631,0.19108081298219814,,,0.2267248839779969,0.2449395918299085,,0.19070691398739176,0.19826184273625996,0.22031279013965765,,,,,,,
5,"22_0,7_1,4_2,48_0",,0.20712293019852013,,0.20861880251483575,0.3036548028868139,,0.21497818093147314,,0.18272562122144403,homo_sapiens,,0.20858925395358438,0.2675942651662268,,0.22074765557497744,,,,,,,,,,,,0.1784867577530557,0.25721903317905287,0.18602764451603568,,,0.20702044121890303,0.21373656940785388,,0.17834521555669094,0.1712368226059842,0.20707533984569268,,,,,,,
6,"22_0,4_2,48_0",0.5551533370128812,0.249900320631388,0.6809606418632097,0.29606147041486897,0.6963451971131861,0.4668986787565817,0.2630814446918077,,0.35273643931263987,homo_sapiens,0.4676462213130805,0.2543905518566088,0.1975488154826954,0.563784270037085,0.25926262214988754,,,,,,0.643605394164825,,,,0.7309841812854895,1.0,0.38791644348860466,0.17962754367735334,0.3648532924849077,1.0,1.0,0.2843585696034174,0.24351955168129014,0.5420182993353169,0.3802327762745185,0.3746339540323383,0.2897797886577039,,,,,,,
7,"22_0,4_0,4_1,48_0",0.44484666298711895,0.2656900337019266,0.31903935813679035,0.26920453697663893,,0.30320753815691254,0.3058491422785319,,0.2838463664887433,homo_sapiens,0.297941812248212,0.2660261036651116,0.179192142169528,0.43621572996291513,0.25130111650789266,,,,,,0.356394605835175,,,,0.2690158187145106,,0.254492145394273,0.19340365453393074,0.2580382500168585,,,0.2818961051996827,0.2978042870809474,0.45798170066468313,0.2507150941813988,0.2558673806254175,0.2828320813569458,,,,,,,
8,"22_0,4_0",1.0,0.08019226567650724,,,,,,,1.0,monodelphis_domestica,,,0.20649359732968567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"22_0,7_1,4_0",,0.9198077343234928,,1.0,,,,,,monodelphis_domestica,,,0.7935064026703142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"22_0,7_1,4_1",0.055970521959215605,0.8716060475225472,0.13978734506755833,0.7640081100453375,0.12946362038998946,0.09982662624389349,0.942713802446068,,,mus_musculus,,,0.721334714365913,,,0.8591015930667087,,,,,0.026292882202990683,,,0.5010549749960332,,,,,,,,,,,,,,,,,,,,
11,"22_0,4_1",0.9440294780407844,0.12839395247745278,0.8602126549324417,0.23599188995466247,0.8705363796100105,0.9001733737561065,0.05728619755393207,1.0,1.0,mus_musculus,,,0.27866528563408693,1.0,,0.14089840693329134,1.0,1.0,1.0,1.0,0.9737071177970092,1.0,1.0,0.49894502500396687,,,,,,,,,,,,,,,,,,,,
12,"22_0,7_1,4_0,4_1,48_0",,0.5596256522002181,,1.0,,,,,,ornithorhynchus_anatinus,,,0.6616955661775057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
