TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000009255	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE30352						4.6376866648257525e-06								3.820862972625138e-06															8.557390903521313e-06						1.3508817435201549e-06														7.4463820675983905e-06								2.4495287589150784e-06				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000009255	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE43520																									3.963369499513171e-06																																1.1022033447252756e-06				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000043507	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE30352						4.6376866648257525e-06								3.820862972625138e-06															8.557390903521313e-06						1.3508817435201549e-06														7.4463820675983905e-06								2.4495287589150784e-06				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000043507	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE43520																									3.963369499513171e-06																																1.1022033447252756e-06				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000009255	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE30352						4.6376866648257525e-06								3.820862972625138e-06															8.557390903521313e-06						1.3508817435201549e-06														7.4463820675983905e-06								2.4495287589150784e-06				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000009255	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE43520																									3.963369499513171e-06																																1.1022033447252756e-06				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000043507	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE30352						4.6376866648257525e-06								3.820862972625138e-06															8.557390903521313e-06						1.3508817435201549e-06														7.4463820675983905e-06								2.4495287589150784e-06				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000043507	ENSGGOE00000094135	22_0	gorilla_gorilla	13	GSE43520																									3.963369499513171e-06																																1.1022033447252756e-06				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000009255	ENSGGOE00000094129	14_0	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000043507	ENSGGOE00000356067	14_0	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000009255	ENSGGOE00000094135	22_1	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000009255	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000043507	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE30352						5.6372402696101655e-06								3.7652611015415124e-06															5.7702443645125505e-06						1.199938605824206e-06														6.081849223388158e-06								1.6330191726100524e-06				
ENSGGOT00000043507	ENSGGOE00000094135	22_1	ENSGGOT00000068478	ENSGGOE00000094138	10_1	gorilla_gorilla	13	GSE43520																									5.23034827394771e-06																																7.173069386307349e-07				
ENSGGOT00000009255	ENSGGOE00000094135	22_1				gorilla_gorilla	1	GSE30352						5.017154906915471e-08																																																							
ENSGGOT00000043507	ENSGGOE00000094135	22_1				gorilla_gorilla	1	GSE30352						5.017154906915471e-08																																																							
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000043507	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000009255	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000043507	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE30352						2.8231932639313866e-06								1.5502061524618077e-06															2.7318333996987573e-06						5.536914296195718e-07														2.9079905589080958e-06								5.195970094668348e-07				
ENSGGOT00000068478	ENSGGOE00000094138	10_1	ENSGGOT00000068478	ENSGGOE00000094143	15_0	gorilla_gorilla	13	GSE43520																									1.7867649383051183e-06																																3.4115817812925196e-07				
ENSGGOT00000009255	ENSGGOE00000094138	10_1				gorilla_gorilla	1	GSE30352														8.18225414719597e-08																																															
ENSGGOT00000043507	ENSGGOE00000094138	10_1				gorilla_gorilla	1	GSE30352														8.18225414719597e-08																																															
ENSGGOT00000068478	ENSGGOE00000094138	10_1				gorilla_gorilla	1	GSE30352														8.18225414719597e-08																																															
