Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	2_0,13_1,3_0	1.6522225961162437e-07					7.916666571562252e-08	1.4983690436901807e-07				3.1088241601290314e-08			5.5677437674623745e-08													9.376617349285036e-09				1.0787819379959695e-07		4.1716776789819747e-08		
bos_taurus	2_0,13_1,3_0					9.562299864639976e-08	4.422903657698705e-07													6.367767065325282e-08						2.304462245371047e-07						3.1539545579932097e-07				
gorilla_gorilla	2_0,13_1,3_0					6.195224814872607e-08		7.582014081305449e-08					3.2486635241911244e-08						4.3995924569515276e-08							1.7321606285448095e-07						4.6986884229824614e-08				
sus_scrofa	2_0,13_1,3_0														3.7481879385411124e-08			2.198689018480597e-07								1.951876053345041e-07										
homo_sapiens	2_0,13_1,3_0		1.0593046497508682e-07		3.7306435373701993e-07	7.981564756327558e-08	2.2172318500627507e-07	8.806742157373825e-08		4.702204300434507e-08		1.5355661942810096e-07	1.0718355968936325e-07		2.2994940765689156e-07		3.668895505524397e-07	3.572257121493091e-07		2.6544940612120004e-07			8.780234047892053e-08	5.448412506767537e-08	9.342168266913913e-08	1.5917657162272092e-07	1.836357819323073e-07			4.059208878915764e-07		1.0447520167526993e-07	7.143831767624898e-08		2.991075488798026e-07	
gorilla_gorilla	2_0,3_0					1.4746589445659482e-07		5.7812938836338914e-08							4.9300691871119464e-08											8.692613728462189e-08						1.749529118611545e-08				
sus_scrofa	2_0,3_0					1.561515025600258e-07												2.638426822176717e-07	8.444622907475223e-08							9.008251828922849e-08										
mus_musculus	2_0,3_0	5.5731394837554494e-08				2.970940083368647e-08	1.685541205211751e-08	6.901541300514021e-08				6.013167398420435e-08													2.988399332630661e-08							1.0917339733398129e-08		7.316153030656031e-08		
ornithorhynchus_anatinus	2_0,3_0											1.9593179070238573e-07																				7.632163672966891e-08				
monodelphis_domestica	2_0,3_0						2.462004556621924e-07	1.7325356191917595e-07																												
