,path,brain,embryo,gastrula,mesonephros,testis,Species,adult mammalian kidney,colon,spleen,kidney,liver,prefrontal cortex,lung,heart,cerebellum,female gonad,frontal cortex,Ammon's horn,placenta,thymus,cerebral cortex,skeletal muscle tissue,zone of skin,adrenal tissue,intestine,multi-cellular organism,stomach,adipose tissue,adrenal gland,heart left ventricle,lymph node,muscle of leg,prostate gland,temporal lobe,thoracic mammary gland,thyroid gland
0,"2_0,13_1,3_0",0.02756565969676799,,,,0.1393320371362458,bos_taurus,0.48277023946550124,,,,,0.03413967956341764,0.37848893395596256,,,,,,,,,,,,,,,,,,,,,,,
1,"2_0,3_0",,,,,0.02156000011747987,bos_taurus,0.05862139891733665,,,,,0.014226978717232759,0.07853473456808734,,,,,,,,,,,,,,,,,,,,,,,
2,"2_0,13_0,3_0",0.9724343403032321,,,,0.8391079627462743,bos_taurus,0.4586083616171621,1.0,,,,0.9516333417193497,0.54297633147595,,,,,,,,,,,,,,,,,,,,,,,
3,"2_0,13_1,3_0",,,,,0.14579339746792114,gorilla_gorilla,0.0716173778574954,,,,1.0,0.022037006656239113,,,0.03945743065149391,,0.005277044854881263,,,,,,,,,,,,,,,,,,,
4,"2_0,3_0",,,,,0.05428531777587646,gorilla_gorilla,0.17047195218869,,,,,0.011058973598491607,,0.40545238894987645,0.03008633326754703,,,,,,,,,,,,,,,,,,,,,
5,"2_0,13_0,3_0",,,,,0.7999212847562025,gorilla_gorilla,0.7579106699538146,,,,,0.9669040197452694,,0.5945476110501237,0.930456236080959,,0.9947229551451188,,,,,,,,,,,,,,,,,,,
6,"2_0,3_0",0.01277626303202829,,,,0.048353288443941086,homo_sapiens,,,,0.06943861849430676,,0.009838970304569952,0.1029498132262012,0.16640214613346754,,0.05653704107968026,0.009337747395335763,,,,,,,0.033489956568444126,0.05427623637896666,0.023581879929185708,0.038764117401007145,,,,,,,,,
7,"2_0,13_0,3_0",0.9425988846140072,,,,0.8107861857368256,homo_sapiens,0.8190721083746295,0.9007414212679069,,0.6589061786999311,,0.9640427581120626,0.5661775668257266,0.31550878412276806,0.9389670750067248,0.6378484433169489,0.9761666933538623,,0.47211086251074075,,,,,0.6959730643338752,0.7813822936470929,0.9215485564108031,0.7171524449511664,0.6508287269250446,1.0,1.0,1.0,0.6034070318713369,0.8096482373771974,1.0,0.9377871336289861,0.4788263563082572
8,"2_0,13_1,3_0",0.04462485235396448,,,,0.14086052581923322,homo_sapiens,0.18092789162537043,0.09925857873209314,,0.2716552028057622,,0.026118271583367447,0.3308726199480722,0.5180890697437643,0.0610329249932751,0.3056145156033709,0.014495559250801981,,0.5278891374892591,,,,,0.2705369790976807,0.16434146997394047,0.054869563660011215,0.2440834376478266,0.3491712730749555,,,,0.396592968128663,0.19035176262280268,,0.06221286637101397,0.5211736436917429
9,"2_0,13_0,3_0",0.9562203735914458,,,,,monodelphis_domestica,,,,,,,,,0.9557791087014097,,,,,,,,,,,,,,,,,,,,,
10,"2_0,3_0",0.04377962640855418,,,,,monodelphis_domestica,,,,,,,,,0.04422089129859035,,,,,,,,,,,,,,,,,,,,,
11,"2_0,3_0",0.0016688804085426595,,,,0.004379990228949009,mus_musculus,0.2563178263285384,,,,,,,,0.016322300040674132,0.1198477748487417,,0.003202791875098799,1.0,0.36147516059205126,,,,,,,,,,,,,,,,
12,"2_0,13_0,3_0",0.9904927056141585,,,,0.9523397376262334,mus_musculus,0.7436821736714616,1.0,1.0,,,,1.0,0.9060684729505198,0.9482409358542591,0.8181905943998268,,0.9873021557901802,,0.43241134606935083,1.0,0.8749999999999999,1.0,,,,,,,,,,,,,
13,"2_0,13_1,3_0",0.007838413977298784,,,,0.04328027214481767,mus_musculus,,,,,,,,0.0939315270494801,0.03543676410506675,0.06196163075143145,,0.009495052334720915,,0.20611349333859794,,0.12500000000000003,,,,,,,,,,,,,,
14,"2_0,3_0",,,,,0.13900028114183738,ornithorhynchus_anatinus,,,,,,,,,,0.18909134034305677,,,,,,,,,,,,,,,,,,,,
15,"2_0,13_0,3_0",1.0,,,,0.8609997188581626,ornithorhynchus_anatinus,1.0,,,,,,,,1.0,0.8109086596569431,,,,,,,,,,,,,,,,,,,,
16,"2_0,13_0,3_0",1.0,,,,1.0,rattus_norvegicus,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"2_0,13_1,3_0",,,,,,sus_scrofa,,,,0.45454545454545453,,0.021280575974643213,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,"2_0,13_0,3_0",,,,,,sus_scrofa,,,,,,0.9688980633341602,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,"2_0,3_0",,,,,,sus_scrofa,1.0,,,0.5454545454545455,1.0,0.009821360691196698,,,,,,,,,,,,,,,,,,,,,,,,
20,"2_0,13_0,3_0",1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
