Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow macrophage	brain	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	14_0,2_0,4_0	3.87712955446614e-06				3.565919855307571e-07			1.521996653799117e-06	2.7601068449398177e-07	1.62400033920938e-07	7.743805784910271e-07			2.278534553028626e-07	1.3256293156873154e-06	8.283928831416492e-08			4.935781692470572e-07					3.106415396157283e-07	3.6589699708677384e-07					1.3951362731094728e-06			4.879491958553303e-07	3.81416315990129e-07			9.607736868337286e-07		1.6067779689479988e-06		3.003006160615536e-07
monodelphis_domestica	14_0,2_0,4_0					4.103506574960934e-07			1.991699366351521e-06	6.934730265379285e-07						6.161371878389402e-07				1.2623651897463125e-07					2.3336486247635643e-07						3.570636583070068e-07							2.5125652000035334e-07				
xenopus_tropicalis	14_0,2_0,4_0						5.948672738710044e-07		3.92137025919819e-06				6.419497456657521e-07	6.652959675663227e-07		4.214574811668368e-06			3.7163430280788434e-07	1.285693797599455e-06					5.243303742692661e-07			1.3097004062464607e-06						2.5651335815092006e-06				2.310018825219125e-06				
bos_taurus	14_0,2_0,4_0					5.709162508937922e-07			2.162855992797312e-06			7.159959161417683e-07								2.6711207949778214e-07					5.557085258606794e-07	6.27316453933562e-07						1.131207142213965e-06		4.0488752472942897e-07	8.687648641567492e-07			1.7975455402173908e-06				
gorilla_gorilla	14_0,2_0,4_0					2.3602829351533286e-07				2.0945322046244782e-07								6.01002751975358e-07		7.229358951616869e-08					1.1566424554579669e-07							8.355507008636502e-07						2.982914300330703e-07				
sus_scrofa	14_0,2_0,4_0					6.980752448468082e-07														1.7491543713191856e-06			4.837115840657314e-07		2.1850255389120926e-07	1.9589932074538443e-06						1.2509115402356586e-06										
homo_sapiens	14_0,2_0,4_0		4.423316331856704e-07	3.170230722609955e-07	2.4301356706795473e-06	3.355163166757678e-07			6.151597948046401e-07	2.5295009308164997e-07		3.7022710066259233e-07				7.47384052232814e-07		1.0216992541075805e-06		9.340088794569444e-07	1.7368836976741143e-07	2.4581810678710523e-06	2.035608021932946e-06	6.206562975540552e-07	2.71154884728131e-07	1.2844081790278312e-06	3.261554496334267e-07		5.144403045125295e-07	3.815886920602707e-07	4.479020829848805e-07	7.87725864396503e-07	1.5940893067832313e-07	4.704638597675503e-07		1.5172553502290473e-06		7.488733645430247e-07	3.3887360933382715e-07		4.834802833614858e-07	
rattus_norvegicus	14_0,2_0,4_0					5.161147625656468e-07			2.478874334676393e-06			4.4669494747525715e-07								2.6616822537015237e-07					3.76580107534226e-07	5.375428135457244e-07								3.803632307368944e-07	5.499662235283535e-07			7.310936068115017e-07				
homo_sapiens	14_0,4_0																			7.385617101544113e-08		6.981561138508311e-08																				
sus_scrofa	14_0,4_0					8.572716438372371e-08														2.498791959027408e-08																						
