,path,blastula,brain,egg cell,embryo,female gonad,gastrula,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,cerebellum,placenta,kidney,prefrontal cortex,frontal cortex,Ammon's horn,thymus,zone of skin,cerebral cortex,embryonic stem cell,fibroblast,intestine,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,bone marrow macrophage,temporal lobe
0,"14_0,2_0,4_0",,1.0,,,,,1.0,1.0,,1.0,1.0,bos_taurus,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,"14_0,2_0,4_0",,,,,,,1.0,1.0,,,1.0,gorilla_gorilla,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,"14_0,4_0",,,,,,,0.0732798215205744,,,,,homo_sapiens,,,,,,,,,,,,,,,,0.027616971160589657,,,,,,,,,,,,,,
3,"14_0,2_0,4_0",,1.0,,,1.0,,0.9267201784794256,1.0,,1.0,1.0,homo_sapiens,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.9723830288394104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
4,"14_0,2_0,4_0",,1.0,,,1.0,,1.0,1.0,,,1.0,monodelphis_domestica,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,"14_0,4_0",,0.019088112559049186,,,0.06735714722046965,,,0.08876156566078697,,,0.04782218078159404,mus_musculus,0.3048766501958089,0.055271352718399544,0.20982468735175328,0.14046094799591669,,0.028995399331424497,,,,0.008957946709678552,0.06313958102934115,0.10629316360916902,,,,,,,,,,,,,,,,,,
6,"14_0,2_0,4_0",,0.9809118874409508,,,0.9326428527795304,,1.0,0.911238434339213,,1.0,0.9521778192184058,mus_musculus,0.6951233498041911,0.9447286472816004,0.7901753126482467,0.8595390520040833,1.0,0.9710046006685755,,,,0.9910420532903214,0.9368604189706589,0.893706836390831,1.0,1.0,1.0,,,,,,,,,,,,,,,
7,"14_0,4_0",,0.008701646940783812,,,,,,,,,0.035039788161414405,rattus_norvegicus,0.10713448254692223,0.03649821018206347,0.05339484544000468,0.07692657359809121,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"14_0,2_0,4_0",,0.9912983530592161,,,,,1.0,1.0,,1.0,0.9649602118385856,rattus_norvegicus,0.8928655174530779,0.9635017898179365,0.9466051545599954,0.9230734264019087,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"14_0,4_0",,,,,,,0.014084507042253521,,,,,sus_scrofa,0.10937343822135363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"14_0,2_0,4_0",,,,,,,0.9859154929577465,1.0,,,,sus_scrofa,0.8906265617786464,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11,"14_0,2_0,4_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"8_0,1_0,14_0",,1.0,,,,,1.0,1.0,,1.0,1.0,bos_taurus,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
13,"8_0,1_0,14_0",,,,,,,1.0,1.0,,,1.0,gorilla_gorilla,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14,"8_0,1_0,14_0",,1.0,,,1.0,,1.0,1.0,,,1.0,homo_sapiens,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
15,"8_0,1_0,14_0",,1.0,,,1.0,,1.0,1.0,,,1.0,monodelphis_domestica,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,"8_0,14_0",,0.005928357001792767,,,,,0.024876524343826718,0.029605946519578902,,,,rattus_norvegicus,0.09658058978376403,0.07627806489712907,0.019550741039088635,0.020496721638007382,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"8_0,1_0,14_0",,0.9940716429982073,,,,,0.9751234756561733,0.970394053480421,,1.0,1.0,rattus_norvegicus,0.9034194102162361,0.9237219351028709,0.9804492589609113,0.9795032783619927,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"8_0,1_0,14_0",,,,,,,1.0,1.0,,,,sus_scrofa,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
19,"8_0,14_0",,0.02365599343027661,,0.1462147739983848,0.010981963040326654,0.16549778250360117,0.09745041762536565,,,0.02898550724637681,0.06253830548662198,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"8_0,1_0,14_0",1.0,0.9763440065697233,1.0,0.8537852260016152,0.9890180369596734,0.8345022174963989,0.9025495823746343,1.0,1.0,0.9710144927536232,0.937461694513378,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
