TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																																																			6.100468890579586e-08				
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																																																			6.100468890579586e-08				
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																																																			6.100468890579586e-08				
ENSBTAT00000084331	ENSBTAE00000509193	8_0				bos_taurus	2	GSE41637						1.1611225156564598e-08																																																			6.100468890579586e-08				
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637																													9.67495451973192e-09																																
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637																													9.67495451973192e-09																																
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637																													9.67495451973192e-09																																
ENSBTAT00000084331	ENSBTAE00000509193	8_0				bos_taurus	1	GSE41637																													9.67495451973192e-09																																
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637												2.677446530489148e-08																																																	
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637												2.677446530489148e-08																																																	
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0				bos_taurus	1	GSE41637												2.677446530489148e-08																																																	
ENSBTAT00000084331	ENSBTAE00000509193	8_0				bos_taurus	1	GSE41637												2.677446530489148e-08																																																	
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000010361	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000085194	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000085194	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000087439	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000087439	ENSBTAE00000084187/ENSBTAE00000539022	8_0	ENSBTAT00000084331	ENSBTAE00000536805	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
ENSBTAT00000084331	ENSBTAE00000509193	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE41637						5.984834751811974e-07						1.6691009235075488e-06				3.7103179117061175e-07													1.6257263909293807e-07						2.906340652573816e-07	3.961108552284336e-07																1.591918508271858e-07	5.347775208952128e-07				8.650539478321777e-07				
ENSBTAT00000084331	ENSBTAE00000509193	8_0	ENSBTAT00000010361	ENSBTAE00000084191	1_0	bos_taurus	29	GSE43013						3.471220528095157e-07																													5.802796192239718e-07														4.703589261980485e-07												
