Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	3_0,10_0,2_2	3.086717151829687e-06				1.407153277175854e-07		1.7515103592980752e-06		8.674122808147445e-07	1.2549093530254301e-07	1.1018776634996419e-07	3.645655284845802e-08	1.6035341400597815e-07			1.0374731272722116e-07					1.0966274000613344e-07	2.080347160214296e-07				2.6721983848287646e-07			1.0443641327265613e-07	2.004175594268784e-07			9.953369884431817e-08		3.5406385328199356e-07		9.651830571246851e-08
bos_taurus	3_0,10_0,2_2					6.497169780325782e-08		8.207012894792103e-07				1.1466703788209064e-08					1.934990903946384e-08						1.3212827414523973e-08					7.102716278589923e-07			1.9367934182181683e-08							
gorilla_gorilla	3_0,10_0,2_2									1.3256688946910407e-06						1.9004681616518078e-06												2.9525168300416304e-06						7.422814420954784e-08				
sus_scrofa	3_0,10_0,2_2					8.190145783186831e-08											8.745771856595928e-08											1.5737248621877457e-06										
homo_sapiens	3_0,10_0,2_2			8.672891405671285e-08	6.099252123718379e-08	5.3290447487001014e-08		1.2980566327794627e-06		1.2516757419727235e-06		6.098873720989944e-08		2.0119783659617323e-08		2.9905802330623793e-06	4.761704112648692e-08					2.9112297976362376e-08	5.455358941957829e-08		2.0465038726428502e-07	6.47704148036024e-08		2.010638385697915e-06				6.114907022317091e-08	1.9537219706021285e-06				7.651422810569767e-08	
rattus_norvegicus	3_0,10_0,2_2					1.002044523291234e-07		3.4683206788278914e-06				8.76100586287948e-08					1.2740322316940871e-07					2.0163729074276612e-07	9.389127953198662e-08							5.749934788365502e-08	1.7220785533706967e-07							
mus_musculus	3_0,10_1,2_2	3.892851380684394e-06				9.871903053470158e-07	6.267325080085134e-08	1.625594336944293e-06	9.575777725515313e-08	1.112584766581401e-06	1.77163673368296e-07	7.884940230190891e-07	1.0936965854537408e-07	2.35638907678089e-06	1.593063236810864e-07		1.0764423953107649e-06					1.2209281168351257e-06	2.7332984972678726e-06				1.8539019674603681e-06			1.0969525400151784e-06	1.7164626429921663e-06			9.772986134911217e-07		3.178865597194517e-06		5.5415182073624e-07
monodelphis_domestica	3_0,10_1,2_2					1.007930278816747e-06		3.1459964359813274e-07		3.469659026995767e-07				8.760722227366912e-07			5.995318135448161e-07					8.40997157189213e-07					6.114850802670624e-07							9.225732763803503e-07				
bos_taurus	3_0,10_1,2_2					7.753988573317422e-07		2.761724837338816e-06				1.0854826430942742e-06					4.0484411439586536e-07					5.768840392904069e-07	7.031455472112721e-07					1.4654045223446654e-06		5.390315687452772e-07	5.516294035271971e-07			2.6865107951469116e-07				
gorilla_gorilla	3_0,10_1,2_2					8.732218236219505e-07				1.0403955334155383e-06						1.3969253154021835e-06	2.3169211395205182e-07					4.035089414979615e-07						2.2719498221425005e-06						1.6032903163544513e-06				
