,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adrenal gland,adrenal tissue,multi-cellular organism,muscle of leg,stomach,temporal lobe,thyroid gland,adipose tissue,heart left ventricle,intestine,leukocyte,lymph node,prostate gland,thoracic mammary gland
0,"3_0,10_1,2_2",0.9226868464081056,0.7709090821621013,0.9895467335654128,0.9543842959343017,1.0,0.9815555622960004,1.0,0.9660805175381757,1.0,bos_taurus,,0.6735398198888626,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"3_0,10_0,2_2",0.0773131535918944,0.22909091783789876,0.010453266434587246,0.04561570406569823,,0.0184444377039997,,0.03391948246182438,,bos_taurus,,0.32646018011113753,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"3_0,10_1,2_2",1.0,,,1.0,1.0,,,,0.955751220654471,gorilla_gorilla,,0.4348673220438096,0.4397156396320556,,,0.4236453201970443,,,,,,,,,,,,,,,,,,,,,,
3,"3_0,10_0,2_2",,,,,,,,,0.04424877934552897,gorilla_gorilla,,0.5651326779561904,0.5602843603679444,,,0.5763546798029556,,,,,,,,,,,,,,,,,,,,,,
4,"3_0,10_0,2_2",1.0,1.0,1.0,1.0,1.0,1.0,,,,homo_sapiens,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
5,"3_0,10_1,2_2",1.0,1.0,,1.0,1.0,,,,1.0,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,"3_0,10_1,2_2",0.8752419319555559,0.481357400246743,0.8773895636326126,0.9120926813540031,0.9175834258575426,0.9292719658277738,0.9130702733807852,0.8954459651813621,0.9075680607796316,mus_musculus,,,0.5619123362050156,0.936285331299094,0.8740195693928826,,0.5577495747122017,1.0,1.0,0.5853658536585366,0.7500000000000001,1.0,0.8997817934818261,0.8516632287404132,,,,,,,,,,,,,,
7,"3_0,10_0,2_2",0.12475806804444418,0.518642599753257,0.12261043636738744,0.08790731864599678,0.0824165741424573,0.07072803417222617,0.08692972661921484,0.10455403481863787,0.09243193922036844,mus_musculus,,,0.4380876637949844,0.06371466870090595,0.1259804306071174,,0.44225042528779834,,,0.4146341463414634,0.24999999999999994,,0.1002182065181739,0.14833677125958683,,,,,,,,,,,,,,
8,"3_0,10_1,2_2",1.0,1.0,,1.0,1.0,,,,1.0,ornithorhynchus_anatinus,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,"3_0,10_1,2_2",0.9477283155546092,0.4752556699933747,0.9457774950280093,0.8974498096799706,0.9408608180499538,0.9470630097024204,0.9678303381206245,0.90336193311268,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
