Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	27_0,2_1,15_0	2.513524330542391e-07				3.0495223450792775e-07	1.2970158616271449e-07	2.536469748042521e-07	2.4229670370300228e-06	3.959091453437268e-06	3.1861264736217276e-08		4.4834975181595167e-07				6.491045393027566e-08	1.4527382659561497e-06				1.636897134646672e-07			2.0324763182999264e-07	8.223205156171488e-07		1.7566421577093574e-07		5.457035404897945e-07		3.5686037526514034e-07
monodelphis_domestica	27_0,2_1,15_0					8.980122807254083e-07	2.420983159813637e-07	2.605685111706011e-07		1.0799595766061128e-05			3.2758504763849065e-07									1.6038383303547477e-06						2.0298358310225375e-06				
bos_taurus	27_0,2_1,15_0					1.4231358015426914e-06	1.4759835938608585e-07		0.00014407310684682226				4.0943968761574056e-07				7.404990901205506e-07	7.63037201600914e-06					8.334690177368394e-07		5.357226827190939e-07	4.369751122871674e-06		2.1816299386483838e-06				
gorilla_gorilla	27_0,2_1,15_0					2.2287565569787035e-06		2.5038822776228376e-06				1.9816847497565864e-06	5.262531789608857e-07				1.4228999515980748e-06						2.7156966935105905e-06					2.0096753064373074e-06				
sus_scrofa	27_0,2_1,15_0					3.3373479621598254e-07							1.7241664517289116e-06			6.596067055441791e-07	3.121717100580327e-07	2.4654646220638637e-05					1.067895060165814e-06									
ornithorhynchus_anatinus	27_0,2_1,15_0					2.9268792883884914e-07	2.476776989899767e-07	7.149658568290185e-07		4.382529256383115e-06			9.644512168160784e-07				5.382554104626842e-08											1.0507155993949858e-07				
homo_sapiens	27_0,2_1,15_0		7.430650776719299e-06	1.973473934982925e-05	1.7005132865325642e-07	9.513623163346601e-07	8.000663504490169e-07	1.7665668047078983e-07	6.171998337050484e-05	5.882846865265126e-06		3.8705729169131393e-07	9.222510708655135e-07	3.7323532838951297e-06	1.1747929656026051e-05	3.7210290139837404e-07	9.633920113768988e-08	6.646538088406673e-06	6.346979759571672e-06	1.7171213374143494e-05	5.12361621333162e-07	3.549333267406513e-06	1.8827903824644677e-07	0.00011182960924629095	3.515370777820145e-06		4.6836127359489e-05	1.6956245456381625e-05	1.6630167700525496e-06		1.8921646813833129e-06	
rattus_norvegicus	27_0,2_1,15_0					4.3221894575437376e-07	4.646708922256782e-07		1.1731776763858214e-05				2.3504545121662716e-07				9.61727615658601e-08	2.9395994823845447e-06							2.4990655170968187e-07	5.518997989417002e-07		7.941996749089681e-07				
homo_sapiens	27_0,15_0													5.335271673100648e-08						2.320348900654656e-08				3.9822317691563626e-08								
bos_taurus	27_0,15_0								2.586888112077366e-07																							
