TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000037268	ENSMODE00000304913	1_0	ENSMODT00000037268	ENSMODE00000046225	18_0	monodelphis_domestica	16	GSE30352						7.290033747790775e-07						2.740902644337218e-07		8.662678095958798e-08															7.33517566089536e-08																												1.3953035574819114e-06				
ENSMODT00000037268	ENSMODE00000304913	1_0	ENSMODT00000037268	ENSMODE00000046225	18_0	monodelphis_domestica	16	GSE43520												1.3974190322603035e-07										5.831239451448389e-06																										1.295451101292862e-06									4.487947290053705e-07				
ENSMODT00000037268	ENSMODE00000046225	18_1	ENSMODT00000037268	ENSMODE00000046226	14_0	monodelphis_domestica	18	GSE30352						1.231898183808747e-06						2.1748163869998993e-07		3.909674614712078e-07															6.03108889578403e-07						7.712993347157589e-08																						2.445287593161358e-06				
ENSMODT00000037268	ENSMODE00000046225	18_1	ENSMODT00000037268	ENSMODE00000046226	14_0	monodelphis_domestica	18	GSE43520												1.8632253763470713e-07										5.673851160600629e-06																										1.3014388207152223e-06									4.002763799237088e-07				
ENSMODT00000037268	ENSMODE00000046226	14_0	ENSMODT00000037268	ENSMODE00000046227	3_1	monodelphis_domestica	19	GSE30352						8.40912620922332e-07						2.0010424082790223e-07		1.3016956086999434e-07															3.788520794425051e-07						9.1301630424591e-08																						1.916177336799943e-06				
ENSMODT00000037268	ENSMODE00000046226	14_0	ENSMODT00000037268	ENSMODE00000046227	3_1	monodelphis_domestica	19	GSE43520												1.8632253763470713e-07										7.3671922967029725e-06																										1.2488821845554482e-06									4.6092431627578584e-07				
ENSMODT00000037268	ENSMODE00000046226	14_0				monodelphis_domestica	1	GSE43520																						4.152006968064174e-08																																							
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000265182	25_0	monodelphis_domestica	13	GSE30352						5.538713119715063e-07						1.7179992796103632e-07																	2.792706275926131e-07						7.712993347157589e-08																						1.1829440629736988e-06				
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000265182	25_0	monodelphis_domestica	13	GSE43520																						1.6399420163261309e-06																										5.150017698035819e-08									7.27775236224925e-08				
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000046228	34_0	monodelphis_domestica	15	GSE30352						4.317070001576879e-07						1.0278384916264568e-07		8.662678095958798e-08															9.204943540512082e-08																												1.5183798123241038e-06				
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000046228	34_0	monodelphis_domestica	15	GSE43520																						4.275786239129343e-06																										1.1119243905501376e-06									3.0323968176038546e-07				
ENSMODT00000037268	ENSMODE00000265182	25_0	ENSMODT00000037268	ENSMODE00000046228	34_0	monodelphis_domestica	12	GSE30352						5.131498747002334e-07						1.541757737439685e-07																	1.8742934694597567e-07						7.712993347157589e-08																						1.0565732173141532e-06				
ENSMODT00000037268	ENSMODE00000265182	25_0	ENSMODT00000037268	ENSMODE00000046228	34_0	monodelphis_domestica	12	GSE43520												4.658063440867678e-08										1.660991784095612e-06																																			7.27775236224925e-08				
ENSMODT00000037268	ENSMODE00000046228	34_1	ENSMODT00000037268	ENSMODE00000046229	36_0	monodelphis_domestica	17	GSE30352						8.124374973735392e-07						1.3158167471947177e-07		1.737123407804007e-07															3.6259568787510045e-07																												1.8200225464983364e-06				
ENSMODT00000037268	ENSMODE00000046228	34_1	ENSMODT00000037268	ENSMODE00000046229	36_0	monodelphis_domestica	17	GSE43520												4.658063440867678e-08										7.1329365188170205e-06																										1.6558807655078514e-06									1.940733963266467e-07				
ENSMODT00000037268	ENSMODE00000046229	36_0	ENSMODT00000037268	ENSMODE00000046230	32_1	monodelphis_domestica	17	GSE30352						8.389213728704157e-07						3.269627270849252e-07		3.0388190165039505e-07															2.794787823510965e-07																												2.0038132810572865e-06				
ENSMODT00000037268	ENSMODE00000046229	36_0	ENSMODT00000037268	ENSMODE00000046230	32_1	monodelphis_domestica	17	GSE43520												4.658063440867678e-08										6.331407682060994e-06																										1.6547798962727638e-06									6.064793635207709e-08				
ENSMODT00000037268	ENSMODE00000046230	32_1	ENSMODT00000037268	ENSMODE00000046231	21_1	monodelphis_domestica	16	GSE30352						4.032318766088952e-07						1.2884994597077724e-07		1.737123407804007e-07															5.215622071098584e-08						7.712993347157589e-08																						9.892695559626887e-07				
ENSMODT00000037268	ENSMODE00000046230	32_1	ENSMODT00000037268	ENSMODE00000046231	21_1	monodelphis_domestica	16	GSE43520																						4.4317258653313e-06																										1.2670251720155523e-06									1.0916628543373876e-07				
ENSMODT00000037268	ENSMODE00000046230	32_1	ENSMODT00000037268	ENSMODE00000046232	33_0	monodelphis_domestica	1	GSE43520																						4.0940603822321216e-08																																							
ENSMODT00000037268	ENSMODE00000046231	21_1	ENSMODT00000037268	ENSMODE00000046232	33_0	monodelphis_domestica	15	GSE30352						7.717160601022665e-07						2.2343860888733925e-07		1.3016956086999434e-07															2.468528594702114e-07																												1.8974923493027403e-06				
ENSMODT00000037268	ENSMODE00000046231	21_1	ENSMODT00000037268	ENSMODE00000046232	33_0	monodelphis_domestica	15	GSE43520																						4.673602960186145e-06																										1.8982021411880836e-06									1.4555504724498503e-07				
ENSMODT00000037268	ENSMODE00000046232	33_0	ENSMODT00000037268	ENSMODE00000046233	27_0	monodelphis_domestica	18	GSE30352						1.081258748446136e-06						2.924546876857299e-07		1.3016956086999434e-07															5.108512994147988e-07						1.2986659716037894e-07																						2.561492297367964e-06				
ENSMODT00000037268	ENSMODE00000046232	33_0	ENSMODT00000037268	ENSMODE00000046233	27_0	monodelphis_domestica	18	GSE43520																						6.9960185298804215e-06																										1.545791822889687e-06									2.062029835970621e-07				
ENSMODT00000037268	ENSMODE00000046233	27_0	ENSMODT00000037268	ENSMODE00000046238	2_1	monodelphis_domestica	18	GSE30352						1.081258748446136e-06						2.750772898136421e-07		3.469659026995767e-07															4.687815221234225e-07						7.712993347157589e-08																						4.388386394501886e-06				
ENSMODT00000037268	ENSMODE00000046233	27_0	ENSMODT00000037268	ENSMODE00000046238	2_1	monodelphis_domestica	18	GSE43520												1.3974190322603035e-07										1.104190746030971e-05																										1.7479427053691014e-06									1.0067557434444796e-06				
ENSMODT00000037268	ENSMODE00000046238	2_1	ENSMODT00000037268	ENSMODE00000046243	15_0	monodelphis_domestica	15	GSE30352						7.14765813004681e-07						2.740902644337218e-07		1.741711196416255e-07															1.8638857315355876e-07																												1.826611728133043e-06				
ENSMODT00000037268	ENSMODE00000046238	2_1	ENSMODT00000037268	ENSMODE00000046243	15_0	monodelphis_domestica	15	GSE43520												2.794838064520607e-07										1.0557284071812542e-05																										1.4597339553403942e-06									8.97589458010741e-07				
ENSMODT00000037268	ENSMODE00000046243	15_1				monodelphis_domestica	1	GSE43520																																																1.3210673114179716e-07													
ENSMODT00000037268	ENSMODE00000046243	15_1	ENSMODT00000037268	ENSMODE00000046247	14_1	monodelphis_domestica	17	GSE30352						9.590944366323177e-07						2.517429217542052e-07		2.5850400629508957e-07															4.1002091901400655e-07						1.5425986694315178e-07																						2.5378654236447313e-06				
ENSMODT00000037268	ENSMODE00000046243	15_1	ENSMODT00000037268	ENSMODE00000046247	14_1	monodelphis_domestica	17	GSE43520												4.658063440867678e-08										9.497842093038638e-06																										1.984526670982347e-06									6.913864744136787e-07				
ENSMODT00000037268	ENSMODE00000046243	15_1	ENSMODT00000037268	ENSMODE00000046253	28_0	monodelphis_domestica	1	GSE43520																																																									2.4259174540830836e-08				
ENSMODT00000037268	ENSMODE00000046247	14_1	ENSMODT00000037268	ENSMODE00000046253	28_0	monodelphis_domestica	17	GSE30352						1.5536871858750967e-06						3.0933857286785736e-07		2.598803428787639e-07															3.8010100799340534e-07																												2.0947438161319836e-06				
ENSMODT00000037268	ENSMODE00000046247	14_1	ENSMODT00000037268	ENSMODE00000046253	28_0	monodelphis_domestica	17	GSE43520												4.1922570967809104e-07										1.2958683519859858e-05																										2.2689408173269566e-06									1.1280516161486338e-06				
