TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000037268	ENSMODE00000304913	1_0	ENSMODT00000037268	ENSMODE00000046225	18_0	monodelphis_domestica	16	GSE30352						0.0						0.0		0.0															0.0																												0.0				
ENSMODT00000037268	ENSMODE00000304913	1_0	ENSMODT00000037268	ENSMODE00000046225	18_0	monodelphis_domestica	16	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000037268	ENSMODE00000046225	18_1	ENSMODT00000037268	ENSMODE00000046226	14_0	monodelphis_domestica	18	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000037268	ENSMODE00000046225	18_1	ENSMODT00000037268	ENSMODE00000046226	14_0	monodelphis_domestica	18	GSE43520												0.0										4.0940603822321216e-08																										0.0									0.0				
ENSMODT00000037268	ENSMODE00000046226	14_0	ENSMODT00000037268	ENSMODE00000046227	3_1	monodelphis_domestica	19	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000037268	ENSMODE00000046226	14_0	ENSMODT00000037268	ENSMODE00000046227	3_1	monodelphis_domestica	19	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000037268	ENSMODE00000046226	14_0				monodelphis_domestica	1	GSE43520																						0.0																																							
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000265182	25_0	monodelphis_domestica	13	GSE30352						0.0						0.0																	0.0						0.0																						0.0				
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000265182	25_0	monodelphis_domestica	13	GSE43520																						0.0																										0.0									0.0				
ENSMODT00000037268	ENSMODE00000046227	3_4	ENSMODT00000037268	ENSMODE00000046228	34_0	monodelphis_domestica	15	GSE30352						0.0						0.0		0.0															0.0																												0.0				
