TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000037254	ENSBTAE00000290896	1_0				bos_taurus	7	GSE41637						3.4833675469693797e-08						1.338723265244574e-08				9.419128576617907e-08																			2.534636280010648e-08																		1.2911956121454455e-07				3.660281334347752e-08				
ENSBTAT00000037254	ENSBTAE00000290896	1_0	ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	33	GSE41637						4.6914832313446015e-06						8.032179144481327e-06				8.20890709151341e-06													9.150842195203552e-07						1.939526993707735e-06	2.8912210741602056e-06																4.6798944377613734e-07	4.713201403176613e-06				4.162015955531666e-06				
ENSBTAT00000037254	ENSBTAE00000290896	1_0	ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	33	GSE43013						7.297732424332787e-06																													2.5786553840024635e-06														3.717667956266658e-06												
ENSBTAT00000037254	ENSBTAE00000456974	3_0	ENSBTAT00000037254	ENSBTAE00000407216	2_0	bos_taurus	33	GSE41637						7.2424806853720235e-06						1.0222403041586016e-05				1.2771819973915639e-05													1.104724462494248e-06						2.779650460294441e-06	4.012659966118387e-06																6.495941063992335e-07	7.503757473377125e-06				5.6596720765270384e-06				
ENSBTAT00000037254	ENSBTAE00000456974	3_0	ENSBTAT00000037254	ENSBTAE00000407216	2_0	bos_taurus	33	GSE43013						1.008585426238205e-05																													3.370671347075281e-06														5.116122765362352e-06												
ENSBTAT00000037254	ENSBTAE00000456974	3_0				bos_taurus	1	GSE41637																																				0.0																									
			ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	1	GSE41637						1.1611225156564598e-08																																																							
			ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	3	GSE41637						1.1611225156564598e-08																														6.606413707261986e-08																	1.2911956121454455e-08								
						bos_taurus	1	GSE41637																																																									1.2200937781159173e-08				
						bos_taurus	3	GSE41637						1.1611225156564598e-08																													1.267318140005324e-08																		1.2911956121454455e-08								
						bos_taurus	9	GSE41637						9.288980125251679e-08						1.338723265244574e-08				2.0640066818776315e-07																			4.511815104600168e-08	5.0574388502539894e-08																	1.5494347345745347e-07				2.4401875562318345e-08				
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0				homo_sapiens	1	GSE43520																																																									7.054108786809528e-07				
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE30611			1.7690924748112593e-05	3.0445806920292043e-05		4.040140165760272e-05						1.1942896937331763e-05				1.744859139719685e-05						2.1707254466095467e-05							8.590403602943718e-06					2.242794889245477e-05	9.911617375132144e-06	2.9785699287065475e-05	1.4569902435233223e-05				1.83987186016857e-05									1.5342817162571333e-05		6.157303100969601e-06					2.115673157591216e-05	1.7811114556320392e-05		2.710333986377471e-05	
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE58387																																											3.4749900732186036e-06																		
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE57344																														2.403137329784552e-05																															
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE64283					2.573582304095846e-05																								1.780778272494522e-05		2.6560017125022625e-05	2.6807684644958866e-05				2.208327416540693e-05																		1.6713467831535634e-05							
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE30352						1.1238873698218377e-05								3.0928873532699577e-06											6.292738642260764e-06				3.90227820448363e-06						4.5710247781605964e-06														9.887398311610058e-06							3.690363722248465e-06	1.0180199388303164e-05				
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE58608																																											6.724350678077392e-06																		
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	1_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	homo_sapiens	160	GSE43520												7.636685686503053e-06										2.49981054084589e-05			5.294183448082815e-06																							3.063113966735196e-05									3.5883944698118035e-06				
ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001749122	3_0	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00001541868	2_0	homo_sapiens	160	GSE30611			1.859373510759398e-05	3.3062723583388136e-05		3.103046203686996e-05						7.928067614191558e-06				1.339949820425317e-05						2.168972038492305e-05							8.933781552756538e-06					2.3955392360873192e-05	1.1430256392076523e-05	3.971900269508365e-05	1.4377533504285201e-05				2.32753925329599e-05									1.7504533834240075e-05		6.359049874363331e-06					1.9320067993225977e-05	2.0343869515828986e-05		2.987129420566047e-05	
