Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	1_1,1_2,1_3,1_4	1.2037508886407075e-06				3.0162977325806594e-06		6.885831967183593e-07	9.930436159793654e-08	3.8701881452073624e-07	2.9527278894716e-08	1.3814987859619188e-05			8.506528997973538e-08	1.6975701385146037e-05	4.107979066656281e-06			3.665013304274489e-06					1.6312431440296904e-07	4.473978467518722e-06					2.2131262015809584e-06			1.466254072294636e-06	3.9273296675002126e-06			2.0926052163433227e-06		1.323903490106816e-06		2.361828542783457e-06
monodelphis_domestica	1_1,1_2,1_3,1_4																																									
xenopus_tropicalis	1_1,1_2,1_3,1_4						1.6029393168666153e-07	1.5843329396866322e-06					5.485074481552132e-08	9.626970709668753e-06		9.789708816039646e-07			2.4544381491221646e-05	7.403205775204178e-05					1.2356624832530337e-05			1.63134326684688e-05						2.323139847404559e-06				1.929955715398348e-05				
bos_taurus	1_1,1_2,1_3,1_4					2.8766370506685298e-05		2.4260184917147438e-06				0.0007200525529297208								2.9440478729972754e-05					2.123368802103606e-06	4.4712306225329e-05						2.9863026814617375e-06		4.95329137182714e-06	5.833625715981095e-05			6.9663558197562054e-06				
gorilla_gorilla	1_1,1_2,1_3,1_4					1.2026821857748445e-05				2.287662535811764e-06								3.3677811867447994e-06		2.6771254226927062e-05					6.831183302569151e-06							4.7759816382950624e-06						2.0345057166091003e-05				
sus_scrofa	1_1,1_2,1_3,1_4					1.3218796408984377e-05														4.927617743202048e-05			3.0928225526627056e-05		2.4221823708715966e-06	3.991249575511655e-05						1.7103710649396853e-06										
ornithorhynchus_anatinus	1_1,1_2,1_3,1_4					3.2200612717526283e-06		8.648858207904798e-07		3.070889431690473e-06						1.721222532204639e-05				0.00011164962021400262					2.960404757544764e-07													9.67731407940988e-07				
homo_sapiens	1_1,1_2,1_3,1_4		1.952749122142037e-05	3.913754184424475e-05	2.6039941789925244e-05	9.772992826208326e-06		2.3813815950563578e-06		6.148336885563373e-07		0.00017445850933090777				2.937646180842773e-05		1.191162644592398e-06		3.478136706711528e-05	0.00027154761332647215	1.0540301179488349e-05	2.4198664862065194e-06	1.3348404192209158e-06	1.1699599963731948e-06	2.1034100704495936e-05	3.363967173310511e-05		1.608951630271485e-05	2.210770817511646e-06	2.673116942939064e-05	9.936290561547741e-07	0.00023819794248278932	1.0930501382418504e-05		4.1453095633480563e-05	1.5195615326905443e-06	2.837202938394738e-05	2.0158940545755912e-05		9.277618944826164e-06	
rattus_norvegicus	1_1,1_2,1_3,1_4					2.3624550005754747e-06		1.6000418884318755e-06				5.153516837529552e-05								5.772815586089839e-06					1.1168544827578894e-06	9.499797156452334e-06								2.2851741836801325e-06	1.9320223412674226e-05			9.512089817072297e-06				
gorilla_gorilla	1_1,1_4					7.373294722829741e-08												6.497327048382249e-08		9.860138374223902e-08					4.399592456951528e-08							1.713074277101927e-07						2.1843745316355763e-07				
sus_scrofa	1_1,1_4																			9.995167836109632e-08						1.9112128853208245e-07																
mus_musculus	1_1,1_4															2.8613628768668855e-08										9.515619747080537e-08																
homo_sapiens	1_1,1_4		1.7527457576351294e-07	5.596199175618279e-07	4.604033445372016e-07	3.5268915491032623e-07		1.796889010119001e-08		4.26044764012101e-08		6.792172792199392e-07				6.059314669219194e-07		6.904549096695103e-08		2.047932589569448e-07	2.2644406080127853e-06	1.4977449443941072e-07	2.086894065334259e-07		3.798201449681787e-08	8.103047468355407e-07	9.212497817917877e-07		1.8661108895470947e-07	8.613958957955007e-08	2.8330484436484017e-07		1.0600778153091805e-06	2.425240749102936e-07		1.6840551659134676e-07		5.333843221486659e-07	3.294230898769701e-07		2.4349620304370856e-07	
bos_taurus	1_1,1_4					1.1611225156564598e-08						1.1466703788209064e-08																										8.371325197521418e-08				
