,path,blastula,brain,egg cell,embryo,female gonad,gastrula,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,kidney,prefrontal cortex,cerebellum,frontal cortex,Ammon's horn,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,placenta,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,leukocyte,temporal lobe
0,"1_1,1_4",,,,,,,,,,,0.011433411122902745,bos_taurus,0.00043879324610181014,1.7301010499202415e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1_1,1_2,1_3,1_4",,1.0,,,,,1.0,1.0,,1.0,0.9885665888770973,bos_taurus,0.9995612067538981,0.9999826989895008,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,"1_1,1_4",,,,,,,0.0036070934169271773,0.00693596743144898,,,0.01190731217180737,gorilla_gorilla,0.006564462352987127,,,,,0.037542904760416426,,0.02030456852791878,,,,,,,,,,,,,,,,,,,,,,
3,"1_1,1_2,1_3,1_4",,,,,,,0.9963929065830729,0.993064032568551,,,0.9880926878281926,gorilla_gorilla,0.9934355376470128,,,,,0.9624570952395836,1.0,0.9796954314720813,,,,,,,,,,,,,,,,,,,,,,
4,"1_1,1_4",,0.007239567681848306,,,0.021246807981355358,,0.006200984997695926,0.032033569484261344,,0.022326429249413964,0.01737968474905908,homo_sapiens,0.0357184006939071,0.0035669597354258294,0.03855072023693956,,0.08959354673723306,,0.06371281976239816,0.056376337400932244,,,,,,0.011714860021911036,,,0.00865194123418043,0.01424566911158323,0.018911278809828458,0.009048811397521013,0.015615031422958121,0.026646516546542827,0.011782248282100645,0.04030690857989448,0.0043881557146677515,0.00448002721379193,0.016119332130953148,0.025502744881900442,,
5,"1_1,1_2,1_3,1_4",,0.9927604323181517,,,0.9787531920186446,,0.9937990150023042,0.9679664305157386,,0.977673570750586,0.9826203152509408,homo_sapiens,0.9642815993060929,0.9964330402645741,0.9614492797630604,,0.9104064532627669,1.0,0.9362871802376018,0.9436236625990678,,,,,,0.988285139978089,,,0.9913480587658196,0.9857543308884167,0.9810887211901715,0.990951188602479,0.9843849685770419,0.9733534834534572,0.9882177517178994,0.9596930914201056,0.9956118442853322,0.9955199727862082,0.9838806678690469,0.9744972551180995,1.0,1.0
6,"1_1,1_2,1_3,1_4",,,,,,,,,,,,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1_1,1_4",,,,,0.0019586504651020755,,,,,,,mus_musculus,,,0.021408751795950642,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1_1,1_2,1_3,1_4",,1.0,,,0.9980413495348979,,1.0,1.0,,1.0,1.0,mus_musculus,1.0,1.0,0.9785912482040494,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,"1_1,1_2,1_3,1_4",,1.0,,,1.0,,1.0,1.0,,,1.0,ornithorhynchus_anatinus,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,"1_1,1_2,1_3,1_4",,1.0,,,,,1.0,1.0,,1.0,1.0,rattus_norvegicus,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1_1,1_4",,,,,,,0.0021745039412883935,,,,,sus_scrofa,,,0.004667444574095683,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1_1,1_2,1_3,1_4",,,,,,,0.9978254960587116,1.0,,,,sus_scrofa,1.0,,0.9953325554259044,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,"1_1,1_2,1_3,1_4",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
