gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
MYO1B	11_0	I	5_1,11_0,11_1,15_1	5_1,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	sus_scrofa,mus_musculus	[9.826798610302637e-05, 9.680032763390664e-06, 3.0483100994313677e-05, 7.418712648058702e-06, 1.1900445847396416e-05, 0.00014277970208132227]	[1.2616624926665867e-07, 1.8658794959669347e-07]	ENSDART00000138204,ENSMMUT00000073334,ENSSSCT00000055105	
MYO1B	11_0	I	5_1,11_0,11_1,11_3	5_1,11_3	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.0001093545783083829, 1.2010927700372895e-05, 3.5412511621468944e-05, 9.963996639417093e-06, 1.2393172219148996e-05, 0.00016928821534688154, 1.8803411939404266e-05]	[1.2616624926665867e-07, 1.3765864852055915e-07]	ENSBTAT00000014951/ENSBTAT00000072917,ENST00000304164/ENST00000392318,ENSGGOT00000053358,ENSMMUT00000002496,ENSMMUT00000044960,ENSMODT00000015097,ENSMUST00000018561,ENSRNOT00000068433,ENSSSCT00000054157	
MYO1B	11_0	I	5_1,11_0,11_1,11_3,15_1	5_1,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.00013410111199327758, 1.119326484582733e-05, 3.750768898182928e-05, 9.170591140316419e-06, 1.221403997645461e-05, 0.0001572188777292343, 1.7350552596665395e-05]	[1.2616624926665867e-07, 1.8658794959669347e-07]	ENSBTAT00000014951/ENSBTAT00000072917,ENST00000304164/ENST00000392318,ENSGGOT00000053358,ENSMMUT00000002496,ENSMMUT00000044960,ENSMODT00000015097,ENSMUST00000018561,ENSRNOT00000068433,ENSSSCT00000054157	
MYO1B	11_0	I	5_1,11_0,11_3	5_1,11_3	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.00020801903953091813, 1.248137369922923e-05, 5.656401730934515e-05, 1.0132211788524708e-05, 2.2413854690411873e-05, 0.00018189295725861023, 2.5670811709520975e-05]	[1.2616624926665867e-07, 1.3765864852055915e-07]	ENSBTAT00000084166,ENSGGOT00000002341,ENSMMUT00000044966,ENSMUST00000046390,ENSSSCT00000053923	
MYO1B	11_0	I	5_1,11_0,11_3,15_1	5_1,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.0002081262640365993, 1.1234341226883032e-05, 5.2307085227200195e-05, 9.018266073354603e-06, 1.8834784209731732e-05, 0.00016159892646450436, 2.1444532662496908e-05]	[1.2616624926665867e-07, 1.8658794959669347e-07]	ENSBTAT00000084166,ENSGGOT00000002341,ENSMMUT00000044966,ENSMUST00000046390,ENSSSCT00000053923	
MYO1B	11_0	I	5_1,11_0,15_1	5_1,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.00016611523696452975, 1.1999117459612876e-05, 6.601141392565879e-05, 1.0931432644248619e-05, 2.8699847557613174e-05, 0.00021712667763035859, 2.1214811918631977e-05]	[1.2616624926665867e-07, 1.8658794959669347e-07]	ENSBTAT00000076425,ENST00000339514,ENSGGOT00000046961,ENSGGOT00000051534,ENSMMUT00000002495,ENSMMUT00000044961,ENSSSCT00000017486,ENSSSCT00000064666	
MYO1B	11_0	E	5_1,11_0,11_1,15_1	5_1,11_3,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	sus_scrofa,mus_musculus	[9.826798610302637e-05, 9.680032763390664e-06, 3.0483100994313677e-05, 7.418712648058702e-06, 1.1900445847396416e-05, 0.00014277970208132227]	[5.901404748819057e-06, 0.00010423918584824108]	ENSDART00000138204,ENSMMUT00000073334,ENSSSCT00000055105	
MYO1B	11_0	E	5_1,11_0,15_1	5_1,11_3,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,mus_musculus	[0.00016611523696452975, 1.1999117459612876e-05, 6.601141392565879e-05, 1.0931432644248619e-05, 2.8699847557613174e-05, 0.00021712667763035859, 2.1214811918631977e-05]	[5.901404748819057e-06, 0.00010423918584824108]	ENSBTAT00000076425,ENST00000339514,ENSGGOT00000046961,ENSGGOT00000051534,ENSMMUT00000002495,ENSMMUT00000044961,ENSSSCT00000017486,ENSSSCT00000064666	
MYO1B	20_1	I	25_0,20_1,20_2,18_0	25_0,18_0	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,rattus_norvegicus	[7.426385492162817e-06, 4.529611088265965e-05, 3.4552055561387345e-06, 2.660790541907426e-05, 0.00016864283642685645, 2.533606623487131e-05]	[2.285079732963541e-07, 3.853684317690482e-07]	ENSBTAT00000014951/ENSBTAT00000072917,ENSBTAT00000073370,ENSBTAT00000076425,ENSBTAT00000084166,ENSDART00000138204,ENST00000304164/ENST00000392318,ENST00000339514,ENSGGOT00000002341,ENSGGOT00000046961,ENSGGOT00000051534,ENSGGOT00000053358,ENSGGOT00000067637,ENSGGOT00000068549,ENSMMUT00000002496,ENSMMUT00000044961,ENSMMUT00000044966,ENSMODT00000015097,ENSMUST00000018561,ENSMUST00000046390,ENSRNOT00000068433,ENSSSCT00000017486,ENSSSCT00000053923,ENSSSCT00000054157,ENSSSCT00000055105,ENSSSCT00000064666	
MYO1B	11_3	I	11_0,11_3,15_1	11_0,15_1	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,sus_scrofa,mus_musculus,monodelphis_domestica,homo_sapiens,bos_taurus,rattus_norvegicus	[0.00017514537910075055, 8.12649432846015e-06, 3.8472848684340015e-05, 5.719751389821508e-06, 1.1065995724592019e-05, 9.152915942172078e-05, 1.3072501456930937e-05]	[6.247569848076444e-06, 2.3027333935215178e-05, 5.8142440020762706e-05, 6.5481998954969555e-06, 0.0001325148947106456, 5.2047269538397005e-05, 4.241028763635104e-06]	ENSBTAT00000084166,ENSGGOT00000002341,ENSMMUT00000044966,ENSMUST00000046390,ENSSSCT00000053923	ENSBTAT00000076425,ENST00000339514,ENSGGOT00000046961,ENSGGOT00000051534,ENSMMUT00000002495,ENSMMUT00000044961,ENSSSCT00000017486,ENSSSCT00000064666
