Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	5_1,11_0,11_1,15_1	2.2493793112146536e-07					4.5853265990684954e-07						1.626200507064683e-06			2.3781781385579394e-07					1.2072770592281292e-06	2.5748759861142453e-06														1.3819722995323146e-07
monodelphis_domestica	5_1,11_0,11_1,15_1												4.0692859819022925e-07								1.667510525926482e-06					7.640428048252485e-07						1.8109534278538122e-07				
bos_taurus	5_1,11_0,11_1,15_1					8.179060891276159e-07															2.458080427536043e-06	2.611877811153844e-06					6.271452349307315e-07					4.674138584364412e-07				
gorilla_gorilla	5_1,11_0,11_1,15_1														2.2740644669337884e-07						1.8610437647057298e-06						4.938538680423822e-07									
sus_scrofa	5_1,11_0,11_1,15_1															5.497342309860301e-07					3.1001488926234676e-06	2.0386270776755457e-06														
homo_sapiens	5_1,11_0,11_1,15_1		1.203530905001885e-06	4.7014589531930167e-07	4.43305625486107e-07	5.09503215756372e-07	3.4061383273728395e-07				4.884566235914302e-07		1.354197120505951e-06			6.799806381738579e-07		2.1227134785445007e-06	2.2006129896069124e-06		2.215443768721783e-06	3.3101405028254336e-06	5.651817632012739e-07	1.0173940455753182e-06	1.470522310714692e-07	9.527760218365135e-07	4.1909494312057235e-07				1.994154685083292e-06	7.822365534803238e-07	4.245237252056985e-07		3.73326021535413e-07	
sus_scrofa	5_1,15_1																				1.2616624926665867e-07															
mus_musculus	5_1,15_1																				4.6852230181821375e-08	1.0457364441524608e-08				3.557389460970475e-08										
mus_musculus	5_1,11_0,11_1,11_3	2.980495960253689e-07				1.5554561562873735e-07	8.039353116906908e-07		2.267956123382185e-07	4.4290918342074e-08	1.8758801678590568e-07		2.504669651005695e-06	3.8233517683460726e-08		2.5905610664912174e-07					1.2304206397423938e-06	2.624412311516228e-06				1.7107582434048386e-06			1.1975927058311588e-07	1.9321761843628946e-07		1.0857663255869701e-07				1.4022468343014082e-07
monodelphis_domestica	5_1,11_0,11_1,11_3					2.9188677134595196e-07	7.202987092465583e-07		1.440721156918301e-07				5.244722179756608e-07			9.826917995738671e-08					2.0835940700925584e-06					8.684523297280213e-07						2.2855439684491873e-07				
bos_taurus	5_1,11_0,11_1,11_3					9.332136177603861e-07	3.24170669853606e-07				7.845032534202448e-07					2.0612099972447828e-07					2.6822911223410446e-06	2.7026609596482135e-06					9.450392377925976e-07		1.5270742655653037e-07	3.568292578124696e-07		7.8830174187078e-07				
gorilla_gorilla	5_1,11_0,11_1,11_3					5.309600824285227e-07			2.3435808944134706e-07						2.923797171772013e-07	1.3830408672607983e-07					2.37756482413448e-06						8.134313203723459e-07					6.028687670428073e-07				
sus_scrofa	5_1,11_0,11_1,11_3															6.246979897568524e-07			5.276853644353435e-07		3.099584463846094e-06	2.134187721941587e-06					2.7589754760340745e-07									
homo_sapiens	5_1,11_0,11_1,11_3		1.2838609198207935e-06	6.128977874684116e-07	5.484618383607474e-07	6.634605059555287e-07	4.5676306111758216e-07		5.715386008382227e-08		4.839940915526256e-07		1.668179031296765e-06		1.0883159937101905e-06	7.977551601291685e-07	4.105380899971667e-07	2.5691790337450747e-06	2.881726280034061e-06		2.431569458058663e-06	3.7248556499588778e-06		1.0895538834309064e-06	1.3797856182488146e-07	1.1599925518598779e-06	5.330827506475459e-07				2.3314948860735846e-06	1.1946044762968564e-06	4.1709496710409913e-07		4.79997382843896e-07	
rattus_norvegicus	5_1,11_0,11_1,11_3					1.869763618750103e-07	7.05901391665682e-07				2.89893738488464e-07					5.128458925316749e-07					9.639319358910265e-07	1.3769570826674445e-06							8.685947585997846e-08	2.788107662795275e-07		8.114475607294566e-08				
sus_scrofa	5_1,11_3																				1.2616624926665867e-07															
mus_musculus	5_1,11_3																				4.303721106550391e-08	5.1584226389551385e-08														
mus_musculus	5_1,11_0,11_1,11_3,15_1	2.9140793824268253e-07				2.0994834414639916e-07	8.063073411965113e-07		2.2194734283932904e-07	6.6436377513111e-08	2.3376242746274954e-07		2.7276905416410126e-06	1.3700343836573427e-07		3.560579011117975e-07					1.5379156660538611e-06	3.336454766410426e-06				2.0661933906053793e-06			1.2900753415380595e-07	2.1075870056873308e-07		1.1416075186971847e-07				1.345550020329205e-07
monodelphis_domestica	5_1,11_0,11_1,11_3,15_1					3.0341953148262957e-07	6.194246777335623e-07		1.5136747724866655e-07				4.908778304889187e-07			1.1323536001824617e-07					1.90664452883826e-06					7.412966007186783e-07						2.462316283589232e-07				
bos_taurus	5_1,11_0,11_1,11_3,15_1					9.371471408391119e-07	3.925337401810329e-07				7.979565160746423e-07					2.189709080137724e-07					2.6397082589694593e-06	3.1307533536467912e-06					9.383512331151374e-07		2.0082704250720012e-07	4.5131212394915945e-07		7.693439748890007e-07				
gorilla_gorilla	5_1,11_0,11_1,11_3,15_1					4.970387835842667e-07			2.209052548420799e-07						2.6801474074576785e-07	1.4028922187527186e-07					2.1508483991106807e-06						7.939962673656273e-07					5.215067350948495e-07				
sus_scrofa	5_1,11_0,11_1,11_3,15_1															7.871194670936338e-07			6.156329251745673e-07		2.748814595812053e-06	2.436796428784051e-06					3.6035652028044097e-07									
homo_sapiens	5_1,11_0,11_1,11_3,15_1		1.4049357212954817e-06	6.948479723244373e-07	5.425570681189317e-07	5.920098771748508e-07	4.573159039631308e-07		5.221773910833849e-08		3.697720950211247e-07		1.3832713867198523e-06		8.561405979927858e-07	7.761129423394828e-07	3.644625699208809e-07	2.6103417630637496e-06	2.7146527664280087e-06		2.0129456439016423e-06	3.42727556081645e-06		8.598073946512291e-07	1.3374368311231387e-07	1.0119477029834508e-06	5.098984548316846e-07				2.260287029421625e-06	1.0147438303024142e-06	4.801375443836149e-07		4.904378656505696e-07	
rattus_norvegicus	5_1,11_0,11_1,11_3,15_1					1.6826338526040728e-07	6.460066101965593e-07				2.6427130860991005e-07					4.600114152764789e-07					9.524628106403534e-07	1.1989749092274466e-06							7.524806689022938e-08	2.4017173947135215e-07		6.8987633771694e-08				
sus_scrofa	5_1,15_1																				1.2616624926665867e-07															
mus_musculus	5_1,15_1																				4.6852230181821375e-08	1.0457364441524608e-08				3.557389460970475e-08										
mus_musculus	5_1,11_0,11_3	2.200799167186992e-07				3.61623842535513e-07	4.3997279797733755e-07		9.211821480500431e-08		3.3752167086792283e-07	2.0051104066651914e-07	2.9103114148395257e-06	8.283928831416491e-08		4.793114320792264e-07					2.9034336724160793e-06	5.5569931808604895e-06				3.607969495896882e-06			1.7939072116916843e-07	3.078891920672869e-07		1.1918908476289154e-07		4.0894575837026757e-07		2.4478601804008215e-07
monodelphis_domestica	5_1,11_0,11_3					4.042275006348534e-07	2.638200633214734e-07		1.5171156139458513e-07				5.897777289096031e-07			1.783644547490982e-07					2.287183409781261e-06					9.84659005054773e-07						2.376834784455203e-07				
bos_taurus	5_1,11_0,11_3					1.481258432612091e-06	1.9496366128459872e-07				1.0808222508539525e-06					3.1627642294691503e-07					4.234049644203473e-06	5.717123349758854e-06					6.079271251071791e-07		3.471646048019555e-07	7.653020006882574e-07		6.213981605716764e-07				
gorilla_gorilla	5_1,11_0,11_3					7.411404132215609e-07			2.672661592987866e-07						3.08623034798157e-07	2.4318856277457645e-07					2.5890809644208063e-06						6.188715693668582e-07					3.560226062570526e-07				
sus_scrofa	5_1,11_0,11_3					3.199544182237624e-07										1.2993718186942526e-06			9.234493877618511e-07		5.64442078978324e-06	3.965766737040709e-06					3.519079783003849e-07									
homo_sapiens	5_1,11_0,11_3		2.2259061269896345e-06	8.329228193363378e-07	4.6098053770801677e-07	6.102750714240068e-07	3.0507751346456894e-07		6.157008315381028e-08		7.498744361741299e-07		1.6273061119461217e-06		4.101315153090236e-07	8.558990099829472e-07	5.507813888618629e-07	2.5178720605337027e-06	2.374874280505733e-06		2.887377231476949e-06	4.335100224178244e-06	7.97811958286555e-07	1.263240935213194e-06	1.9373272658689173e-07	1.3816214387761101e-06	2.7036441242614435e-07	6.79432428953988e-07			2.5970928001514057e-06	6.37140523449607e-07	8.412645042353692e-07		5.530433215361744e-07	
rattus_norvegicus	5_1,11_0,11_3					3.0302103404630725e-07	3.4711226174026824e-07				4.350999511434501e-07					4.241063514237891e-07					1.592941467061245e-06	2.656397643385936e-06							1.719976393533542e-07	4.1631015701857044e-07		7.350965010518012e-08				
sus_scrofa	5_1,11_3																				1.2616624926665867e-07															
mus_musculus	5_1,11_3																				4.303721106550391e-08	5.1584226389551385e-08														
mus_musculus	5_1,11_0,11_3,15_1	2.372142661106739e-07				3.6546807159013685e-07	5.644563418895492e-07		1.3054632131755645e-07		3.4910966707637563e-07	1.8228276424229013e-07	3.0724586810753387e-06	1.996639256802949e-07		5.352287162194259e-07					2.7557560299401405e-06	5.528856164271334e-06				3.4494792746669217e-06			1.7184458906807101e-07	2.930534437002126e-07		1.2309709310952197e-07		3.873120254498573e-07		2.0237266464047463e-07
monodelphis_domestica	5_1,11_0,11_3,15_1					3.821576043874564e-07	2.814809032791737e-07		1.588922282361154e-07				5.232167086159662e-07			1.7162093656634032e-07					1.9833875748792955e-06					7.763824746000652e-07						2.5821009326399243e-07				
bos_taurus	5_1,11_0,11_3,15_1					1.3038215250998238e-06	3.291834245775037e-07				9.9998693524858e-07					2.966911595918283e-07					3.66001965242055e-06	5.283092411720077e-06					7.113804897657049e-07		3.465050333210401e-07	7.551215745785813e-07		6.517556650290052e-07				
gorilla_gorilla	5_1,11_0,11_3,15_1					6.258519044982069e-07			2.383596898806172e-07						2.707219603492605e-07	2.1087391762400028e-07					2.216287017626965e-06						6.578114156930627e-07					3.2982195058836037e-07				
sus_scrofa	5_1,11_0,11_3,15_1					3.069417930104269e-07										1.2910425121641612e-06			9.087914609719804e-07		4.3284488570921365e-06	3.758718674464287e-06					4.3918313163743705e-07									
homo_sapiens	5_1,11_0,11_3,15_1		2.0733241265662718e-06	8.688480551883966e-07	4.822679442698394e-07	5.327360445602769e-07	3.563764864763049e-07		5.351651416316923e-08		5.089516592582939e-07		1.2610535589604525e-06		3.2662581381953965e-07	8.076614363121067e-07	4.425995958052498e-07	2.5898580240290598e-06	2.3210602622071065e-06		2.177276221461493e-06	3.734911913915218e-06	5.932668927641033e-07	8.990165995795285e-07	1.6950150004946486e-07	1.11035201130213e-06	3.2702479741212966e-07	5.21604310833723e-07			2.413616353256186e-06	5.831476464061006e-07	7.839314282309667e-07		5.426153190476464e-07	
rattus_norvegicus	5_1,11_0,11_3,15_1					2.393888411697376e-07	3.868489297565758e-07				3.525346404203828e-07					3.832402287861565e-07					1.3679794563369413e-06	1.9926078918931083e-06							1.2813637289589685e-07	3.1895832436132234e-07		5.984518902609976e-08				
sus_scrofa	5_1,15_1																				1.2616624926665867e-07															
mus_musculus	5_1,15_1																				4.6852230181821375e-08	1.0457364441524608e-08				3.557389460970475e-08										
